_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
1,2009-01-06 00:01:00,"A bill to create jobs, restore economic growth, and strengthen America's middle class through measures that modernize the nation's infrastructure, enhance America's energy independence, expand educational opportunities, preserve and improve affordable health care, provide tax relief, and protect those in greatest need, and for other purposes.",False,False,111,American Recovery and Reinvestment Act of 2009,REPORTED,Economics and public finance,s
2,2009-01-06 00:01:00,A bill to improve the lives of middle class families and provide them with greater opportunity to achieve the American dream.,False,False,111,Middle Class Opportunity Act of 2009,REPORTED,Economics and public finance,s
3,2009-01-06 00:01:00,"A bill to protect homeowners and consumers by reducing foreclosures, ensuring the availability of credit for homeowners, businesses, and consumers, and reforming the financial regulatory system, and for other purposes.",False,False,111,Homeowner Protection and Wall Street Accountability Act of 2009,REPORTED,Finance and financial sector,s
4,2009-01-06 00:01:00,"A bill to guarantee affordable, quality health coverage for all Americans, and for other purposes.",False,False,111,Comprehensive Health Reform Act of 2009,REPORTED,Health,s
5,2009-01-06 00:01:00,"A bill to improve the economy and security of the United States by reducing the dependence of the United States on foreign and unsustainable energy sources and the risks of global warming, and for other purposes.",False,False,111,"Cleaner, Greener, and Smarter Act of 2009",REPORTED,Energy,s
6,2009-01-06 00:01:00,A bill to restore and enhance the national security of the United States.,False,False,111,Restoring America's Power Act of 2009,REPORTED,Armed forces and national security,s
7,2009-01-06 00:01:00,"A bill to expand educational opportunities for all Americans by increasing access to high-quality early childhood education and after school programs, advancing reform in elementary and secondary education, strengthening mathematics and science instruction, and ensuring that higher education is more affordable, and for other purposes.",False,False,111,Education Opportunity Act of 2009,REPORTED,Education,s
8,2009-01-06 00:01:00,"A bill to return the Government to the people by reviewing controversial ""midnight regulations"" issued in the waning days of the Bush Administration.",False,False,111,Returning Government to the American People Act,REPORTED,Government operations and politics,s
9,2009-01-06 00:01:00,"A bill to strengthen the United States economy, provide for more effective border and employment enforcement, and for other purposes.",False,False,111,"Stronger Economy, Stronger Borders Act of 2009",REPORTED,Immigration,s
10,2009-01-06 00:01:00,"A bill to restore fiscal discipline and begin to address the long-term fiscal challenges facing the United States, and for other purposes.",False,False,111,Fiscal Responsibility Act of 2009,REPORTED,Economics and public finance,s
11,2010-01-28 00:09:00,A bill to restore the application of the 340B drug discount program to orphan drugs with respect to children's hospitals.,False,False,111,,REFERRED,Health,s
12,2010-01-29 00:09:00,"A bill to require the Secretary of the Army to operate the Buford Dam/Lake Sidney Lanier Project, and for other purposes.",False,False,111,,REFERRED,Water resources development,s
13,2010-01-29 00:09:00,"A bill to require the Secretary of the Army to calculate the aggregate withdrawals of non-Federal entities, and for other purposes.",False,False,111,,REFERRED,Water resources development,s
14,2010-01-29 00:09:00,A bill to ensure that women seeking an abortion are fully informed regarding the pain experienced by their unborn child.,False,False,111,Unborn Child Pain Awareness Act of 2010,REFERRED,Health,s
15,2010-01-29 00:09:00,"A bill to amend the Internal Revenue Code of 1986 to provide a carbon sequestration investment tax credit, and for other purposes.",False,False,111,Global Forest Restoration Investment Tax Credit Act,REFERRED,Taxation,s
16,2010-01-29 00:09:00,A bill to amend the Immigration and Nationality Act to remove the temporary suspension of waiver authority for participation in the Visa Waiver Program and for other purposes.,False,False,111,Visa Waiver Program Expansion Act of 2010,REFERRED,Immigration,s
17,2010-01-29 00:09:00,A bill to provide for an exchange of land between the Department of Homeland Security and the South Carolina State Ports Authority.,False,False,111,Former Charleston Naval Base Land Exchange Act of 2009,REFERRED,Public lands and natural resources,s
18,2010-01-29 00:09:00,"A bill to prohibit aliens who engage in certain activities with respect to Iran from being admitted into the United States, and for other purposes.",False,False,111,No Entry for Supporters of the Iranian Regime Act of 2010,REFERRED,Immigration,s
19,2010-01-29 00:09:00,"A bill to amend the Energy Independence and Security Act of 2007 to promote energy security through the production of petroleum from oil sands, and for other purposes.",False,False,111,Oil Sands Energy Security Act of 2010,REFERRED,Energy,s
20,2010-01-29 00:09:00,A bill to amend the Public Utility Regulatory Policies Act of 1978 to establish a Federal clean energy standard.,False,False,111,Clean Energy Standard Act of 2010,REFERRED,Energy,s
21,2009-01-06 00:01:00,"A bill to reduce unintended pregnancy, reduce abortions, and improve access to women's health care.",False,False,111,Prevention First Act,REFERRED,Health,s
22,2009-01-07 00:01:00,"A bill to designate certain land as components of the National Wilderness Preservation System, to authorize certain programs and activities in the Department of the Interior and the Department of Agriculture, and for other purposes.",False,True,111,Omnibus Public Land Management Act of 2009,PROV_KILL:SUSPENSIONFAILED,Public lands and natural resources,s
23,2009-01-07 00:01:00,A bill to amend the Internal Revenue Code of 1986 to permanently extend the election to deduct State and local sales taxes.,False,False,111,,REFERRED,Taxation,s
24,2009-01-07 00:01:00,A bill to amend the Internal Revenue Code of 1986 to strengthen the earned income tax credit.,False,False,111,Strengthen the Earned Income Tax Credit Act of 2009,REFERRED,Taxation,s
25,2009-01-07 00:01:00,"A bill to ensure access to basic broadcast television after the Digital Television Transition, and for other purposes.",False,False,111,Digital TV Transition Fairness Act,REFERRED,"Science, technology, communications",s
26,2009-01-07 00:01:00,A bill to amend the Internal Revenue Code of 1986 to reset the income threshold used to calculate the refundable portion of the child tax credit and to repeal the sunset for certain prior modifications made to the credit.,False,False,111,Working Family Child Assistance Act,REFERRED,Taxation,s
27,2009-01-07 00:01:00,A bill to establish the Daniel Webster Congressional Clerkship Program.,False,False,111,Daniel Webster Congressional Clerkship Act of 2009,REFERRED,Congress,s
28,2009-01-07 00:01:00,"A bill to ensure that the courts of the United States may provide an impartial forum for claims brought by United States citizens and others against any railroad organized as a separate legal entity, arising from the deportation of United States citizens and others to Nazi concentration camps on trains owned or operated by such railroad, and by the heirs and survivors of such persons.",False,False,111,,REFERRED,Law,s
29,2009-01-07 00:01:00,"A bill to amend the Internal Revenue Code of 1986 to increase the credit for the health insurance costs of eligible individuals, to expand such credit to individuals covered under COBRA, and to extend the period of COBRA continuation coverage for certain individuals.",False,False,111,Coverage Continuity Act,REFERRED,Taxation,s
30,2009-01-07 00:01:00,A bill to amend the Communications Act of 1934 to prohibit manipulation of caller identification information.,True,True,111,Truth in Caller ID Act of 2009,ENACTED:SIGNED,"Science, technology, communications",s
31,2009-01-06 00:01:00,"A bill to amend the Internal Revenue Code of 1986 with respect to the proper tax treatment of certain indebtedness discharged in 2009 or 2010, and for other purposes.",False,False,111,,REFERRED,Taxation,s
32,2009-01-06 00:01:00,A bill to require the Federal Energy Regulatory Commission to hold at least 1 public hearing before issuance of a permit affecting public or private land use in a locality.,False,False,111,,REFERRED,Energy,s
33,2009-01-06 00:01:00,"A bill to amend the Internal Revenue Code of 1986 with respect to the proper tax treatment of certain indebtedness discharged in 2009 or 2010, and for other purposes.",False,False,111,,REPORTED,Taxation,s
34,2009-01-06 00:01:00,A bill to prevent the Federal Communications Commission from repromulgating the fairness doctrine.,False,False,111,Broadcaster Freedom Act of 2009,REPORTED,"Science, technology, communications",s
35,2009-01-06 00:01:00,A bill to provide a permanent deduction for State and local general sales taxes.,False,False,111,,REFERRED,Taxation,s
36,2009-01-06 00:01:00,"A bill to repeal the perimeter rule for Ronald Reagan Washington National Airport, and for other purposes.",False,False,111,Abolishing Aviation Barriers Act of 2009,REFERRED,Transportation and public works,s
