_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
1204,2013-01-14 00:03:00,"To amend title 49, United States Code, to direct the Assistant Secretary of Homeland Security (Transportation Security Administration) to establish an Aviation Security Advisory Committee, and for other purposes.",True,True,113,Aviation Security Stakeholder Participation Act of 2014,ENACTED:SIGNED,Transportation and public works,hr
1205,2013-01-14 00:03:00,"To amend title XXVII of the Public Health Service Act to require health insurance issuers and group health plans to disclose information regarding how certain taxes and fees impact the amount of premiums, and for other purposes.",False,False,113,Patients Right to Know Act of 2013,REFERRED,Health,hr
1206,2013-01-14 00:03:00,"To grant the Secretary of the Interior permanent authority to authorize States to issue electronic duck stamps, and for other purposes.",True,True,113,Permanent Electronic Duck Stamp Act of 2013,ENACTED:SIGNED,Animals,hr
1207,2013-01-14 00:03:00,For the relief of Allan Bolor Kelley.,False,False,113,,REFERRED,Private legislation,hr
1208,2013-01-15 00:03:00,"To establish the Manhattan Project National Historical Park in Oak Ridge, Tennessee, Los Alamos, New Mexico, and Hanford, Washington, and for other purposes.",False,False,113,Manhattan Project National Historical Park Act,REPORTED,Public lands and natural resources,hr
1209,2013-01-15 00:03:00,"To award a Congressional Gold Medal to the World War II members of the ""Doolittle Tokyo Raiders"", for outstanding heroism, valor, skill, and service to the United States in conducting the bombings of Tokyo.",True,True,113,,ENACTED:SIGNED,Armed forces and national security,hr
1210,2013-01-15 00:03:00,To amend the Homeland Security Act of 2002 to direct the Secretary of Homeland Security to prioritize the assignment of officers and analysts to certain State and urban area fusion centers to enhance the security of mass transit systems.,False,False,113,Mass Transit Intelligence Prioritization Act,REFERRED,Emergency management,hr
1211,2013-01-15 00:03:00,"To amend section 552 of title 5, United States Code (commonly known as the Freedom of Information Act), to provide for greater public access to information, and for other purposes.",True,False,113,FOIA Act,PASS_OVER:HOUSE,Government operations and politics,hr
1212,2013-01-15 00:03:00,To amend the Internal Revenue Code of 1986 to provide that reimbursements for costs of using passenger automobiles for charitable and other organizations are excluded from gross income.,False,False,113,Charitable Driving Tax Relief Act of 2013,REFERRED,Taxation,hr
1213,2013-01-15 00:03:00,"To amend the Internal Revenue Code of 1986 to replace the mortgage interest deduction with a nonrefundable credit for indebtedness secured by a residence, to provide affordable housing to extremely low-income families, and for other purposes.",False,False,113,Common Sense Housing Investment Act of 2013,REFERRED,Taxation,hr
1214,2013-01-15 00:03:00,"To provide liability protection for claims based on the design, manufacture, sale, offer for sale, introduction into commerce, or use of certain fuels and fuel additives, and for other purposes.",False,False,113,Domestic Fuels Protection Act of 2013,REFERRED,Environmental protection,hr
1215,2013-01-15 00:03:00,"To amend the Wild and Scenic Rivers Act to make technical corrections to the segment designations for the Chetco River, Oregon.",False,False,113,Chetco River Protection Act of 2013,REFERRED,Public lands and natural resources,hr
1216,2013-01-15 00:03:00,"To designate the Department of Veterans Affairs Vet Center in Prescott, Arizona, as the ""Dr. Cameron McKinley Department of Veterans Affairs Veterans Center"".",True,True,113,,ENACTED:SIGNED,Armed forces and national security,hr
1217,2013-01-15 00:03:00,"To establish within the Smithsonian Institution the Smithsonian American Latino Museum, and for other purposes.",False,False,113,Smithsonian American Latino Museum Act,REFERRED,"Arts, culture, religion",hr
1218,2013-01-15 00:03:00,"To prohibit the payment of surcharges for commemorative coin programs to private organizations or entities, and for other purposes.",False,False,113,Commemorative Coins Reform Act of 2013,REFERRED,Finance and financial sector,hr
1219,2013-01-15 00:03:00,"To amend the Magnuson-Stevens Fishery Conservation and Management Act to provide that each of the States of Texas, Louisiana, Mississippi, Alabama, and Florida have exclusive fishery management authority over reef fish in the Gulf of Mexico in waters that, on average, are 20 fathoms or less in depth, and for other purposes.",False,False,113,Gulf Fisheries Fairness Act,REFERRED,Public lands and natural resources,hr
1220,2013-01-15 00:03:00,"To direct the Administrator of the Environmental Protection Agency to allow for the distribution, sale, and consumption in the United States of remaining inventories of over-the-counter CFC epinephrine inhalers.",False,False,113,Asthma Inhalers Relief Act of 2013,REFERRED,Environmental protection,hr
