_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Rogers, Harold",KY,5,Rep,KY5,Rogers,CongressmanHalRogers,Harold Rogers,Republican,RepHalRogers,TO GET LATER
"Cantor, Eric",VA,7,Rep,VA7,Cantor,,Eric Cantor,Republican,EricCantor,TO GET LATER
"Adams, Sandy",FL,24,Rep,FL24,Adams,,Sandy Adams,Republican,,TO GET LATER
"Aderholt, Robert B.",AL,4,Rep,AL4,Aderholt,RobertAderholt,Robert B. Aderholt,Republican,Robert_Aderholt,TO GET LATER
"Akin, W. Todd",MO,2,Rep,MO2,Akin,,W. Todd Akin,Republican,,TO GET LATER
"Alexander, Rodney",LA,5,Rep,LA5,Alexander,,Rodney Alexander,Republican,,TO GET LATER
"Amash, Justin",MI,3,Rep,MI3,Amash,repjustinamash,Justin Amash,Republican,,TO GET LATER
"Bachmann, Michele",MN,6,Rep,MN6,Bachmann,,Michele Bachmann,Republican,MicheleBachmann,TO GET LATER
"Bachus, Spencer",AL,6,Rep,AL6,Bachus,,Spencer Bachus,Republican,,TO GET LATER
"Bartlett, Roscoe G.",MD,6,Rep,MD6,Bartlett,,Roscoe G. Bartlett,Republican,,TO GET LATER
"Barton, Joe",TX,6,Rep,TX6,Barton,RepJoeBarton,Joe Barton,Republican,RepJoeBarton,TO GET LATER
"Benishek, Dan",MI,1,Rep,MI1,Benishek,CongressmanDan,Dan Benishek,Republican,CongressmanDan,TO GET LATER
"Berg, Rick",ND,0,Rep,ND0,Berg,,Rick Berg,Republican,,TO GET LATER
"Biggert, Judy",IL,13,Rep,IL13,Biggert,,Judy Biggert,Republican,,TO GET LATER
"Bilbray, Brian P.",CA,50,Rep,CA50,Bilbray,,Brian P. Bilbray,Republican,,TO GET LATER
"Bilirakis, Gus M.",FL,9,Rep,FL9,Bilirakis,GusBilirakis,Gus M. Bilirakis,Republican,RepGusBilirakis,TO GET LATER
"Bishop, Rob",UT,1,Rep,UT1,Bishop,RepRobBishop,Rob Bishop,Republican,RepRobBishop,TO GET LATER
"Black, Diane",TN,6,Rep,TN6,Black,DianeBlackTN06,Diane Black,Republican,RepDianeBlack,TO GET LATER
"Blackburn, Marsha",TN,7,Rep,TN7,Blackburn,marshablackburn,Marsha Blackburn,Republican,MarshaBlackburn,TO GET LATER
"Bonner, Jo",AL,1,Rep,AL1,Bonner,,Jo Bonner,Republican,,TO GET LATER
"Bono Mack, Mary",CA,45,Rep,CA45,Bono Mack,,Mary Bono Mack,Republican,,TO GET LATER
"Boustany, Charles W., Jr.",LA,7,Rep,LA7,Boustany,RepBoustany,Charles W. Boustany Jr.,Republican,RepBoustany,TO GET LATER
"Brady, Kevin",TX,8,Rep,TX8,Brady,kevinbrady,Kevin Brady,Republican,RepKevinBrady,TO GET LATER
"Buchanan, Vern",FL,13,Rep,FL13,Buchanan,CongressmanBuchanan,Vern Buchanan,Republican,VernBuchanan,TO GET LATER
"Bucshon, Larry",IN,8,Rep,IN8,Bucshon,RepLarryBucshon,Larry Bucshon,Republican,RepLarryBucshon,TO GET LATER
"Buerkle, Ann Marie",NY,25,Rep,NY25,Buerkle,,Ann Marie Buerkle,Republican,,TO GET LATER
"Burgess, Michael C.",TX,26,Rep,TX26,Burgess,michaelcburgess,Michael C. Burgess,Republican,MichaelCBurgess,TO GET LATER
"Burton, Dan",IN,5,Rep,IN5,Burton,,Dan Burton,Republican,,TO GET LATER
"Calvert, Ken",CA,44,Rep,CA44,Calvert,70063393423,Ken Calvert,Republican,KenCalvert,TO GET LATER
"Camp, Dave",MI,4,Rep,MI4,Camp,,Dave Camp,Republican,RepDaveCamp,TO GET LATER
"Campbell, John",CA,48,Rep,CA48,Campbell,,John Campbell,Republican,,TO GET LATER
"Canseco, Francisco ""Quico""",TX,23,Rep,TX23,Canseco,,"Francisco ""Quico"" Canseco",Republican,,TO GET LATER
"Carter, John R.",TX,31,Rep,TX31,Carter,judgecarter,John R. Carter,Republican,JudgeCarter,TO GET LATER
"Cassidy, Bill",LA,6,Rep,LA6,Cassidy,,Bill Cassidy,Republican,BillCassidy,TO GET LATER
"Chabot, Steve",OH,1,Rep,OH1,Chabot,RepSteveChabot,Steve Chabot,Republican,RepSteveChabot,TO GET LATER
"Chaffetz, Jason",UT,3,Rep,UT3,Chaffetz,CongressmanJasonChaffetz,Jason Chaffetz,Republican,JasonInTheHouse,TO GET LATER
"Coble, Howard",NC,6,Rep,NC6,Coble,,Howard Coble,Republican,,TO GET LATER
"Coffman, Mike",CO,6,Rep,CO6,Coffman,repmikecoffman,Mike Coffman,Republican,RepMikeCoffman,TO GET LATER
"Cole, Tom",OK,4,Rep,OK4,Cole,TomColeOK04,Tom Cole,Republican,TomColeOK04,TO GET LATER
"Conaway, K. Michael",TX,11,Rep,TX11,Conaway,mike.conaway,K. Michael Conaway,Republican,ConawayTX11,TO GET LATER
"Cravaack, Chip",MN,8,Rep,MN8,Cravaack,,Chip Cravaack,Republican,,TO GET LATER
"Crawford, Eric A. ""Rick""",AR,1,Rep,AR1,Crawford,RepRickCrawford,"Eric A. ""Rick"" Crawford",Republican,RepRickCrawford,TO GET LATER
"Culberson, John Abney",TX,7,Rep,TX7,Culberson,CongressmanCulberson,John Abney Culberson,Republican,CongCulberson,TO GET LATER
"Davis, Geoff",KY,4,Rep,KY4,Davis,,Geoff Davis,Republican,,TO GET LATER
"Denham, Jeff",CA,19,Rep,CA19,Denham,RepJeffDenham,Jeff Denham,Republican,RepJeffDenham,TO GET LATER
"Dent, Charles W.",PA,15,Rep,PA15,Dent,CongressmanDent,Charles W. Dent,Republican,RepCharlieDent,TO GET LATER
"DesJarlais, Scott",TN,4,Rep,TN4,DesJarlais,ScottDesJarlaisTN04,Scott DesJarlais,Republican,DesJarlaisTN04,TO GET LATER
"Diaz-Balart, Mario",FL,21,Rep,FL21,Diaz-Balart,mdiazbalart,Mario Diaz-Balart,Republican,MarioDB,TO GET LATER
"Dreier, David",CA,26,Rep,CA26,Dreier,,David Dreier,Republican,,TO GET LATER
"Duncan, Jeff",SC,3,Rep,SC3,Duncan,RepJeffDuncan,Jeff Duncan,Republican,RepJeffDuncan,TO GET LATER
"Duncan, John J., Jr.",TN,2,Rep,TN2,Duncan,CongressmanDuncan,"John J. Duncan, Jr.",Republican,RepJohnDuncanJr,TO GET LATER
