_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Ellmers, Renee L.",NC,2,Rep,NC2,Ellmers,reneeellmers,Renee L. Ellmers,Republican,RepReneeEllmers,TO GET LATER
"Emerson, Jo Ann",MO,8,Rep,MO8,Emerson,,Jo Ann Emerson,Republican,,TO GET LATER
"Farenthold, Blake",TX,27,Rep,TX27,Farenthold,BlakeFarenthold,Blake Farenthold,Republican,Farenthold,TO GET LATER
"Fincher, Stephen Lee",TN,8,Rep,TN8,Fincher,RepFincherTN08,Stephen Lee Fincher,Republican,RepFincherTN08,TO GET LATER
"Fitzpatrick, Michael G.",PA,8,Rep,PA8,Fitzpatrick,RepFitzpatrick,Michael G. Fitzpatrick,Republican,RepFitzpatrick,TO GET LATER
"Flake, Jeff",AZ,6,Rep,AZ6,Flake,senatorjeffflake,Jeff Flake,Republican,JeffFlake,TO GET LATER
"Fleischmann, Charles J. ""Chuck""",TN,3,Rep,TN3,Fleischmann,repchuck,"Charles J. ""Chuck"" Fleischmann",Republican,RepChuck,TO GET LATER
"Flores, Bill",TX,17,Rep,TX17,Flores,RepBillFlores,Bill Flores,Republican,RepBillFlores,TO GET LATER
"Foxx, Virginia",NC,5,Rep,NC5,Foxx,RepVirginiaFoxx,Virginia Foxx,Republican,VirginiaFoxx,TO GET LATER
"Frelinghuysen, Rodney P.",NJ,11,Rep,NJ11,Frelinghuysen,rfrelinghuysen,Rodney P. Frelinghuysen,Republican,USRepRodney,TO GET LATER
"Gallegly, Elton",CA,24,Rep,CA24,Gallegly,,Elton Gallegly,Republican,,TO GET LATER
"Gardner, Cory",CO,4,Rep,CO4,Gardner,SenCoryGardner,Cory Gardner,Republican,SenCoryGardner,TO GET LATER
"Garrett, Scott",NJ,5,Rep,NJ5,Garrett,repscottgarrett,Scott Garrett,Republican,RepGarrett,TO GET LATER
"Gibbs, Bob",OH,18,Rep,OH18,Gibbs,RepBobGibbs,Bob Gibbs,Republican,RepBobGibbs,TO GET LATER
"Gingrey, Phil",GA,11,Rep,GA11,Gingrey,,Phil Gingrey,Republican,,TO GET LATER
"Gohmert, Louie",TX,1,Rep,TX1,Gohmert,50375006903,Louie Gohmert,Republican,RepLouieGohmert,TO GET LATER
"Goodlatte, Bob",VA,6,Rep,VA6,Goodlatte,BobGoodlatte,Bob Goodlatte,Republican,RepGoodlatte,TO GET LATER
"Gosar, Paul A.",AZ,1,Rep,AZ1,Gosar,repgosar,Paul A. Gosar,Republican,RepGosar,TO GET LATER
"Granger, Kay",TX,12,Rep,TX12,Granger,RepKayGranger,Kay Granger,Republican,RepKayGranger,TO GET LATER
"Graves, Sam",MO,6,Rep,MO6,Graves,118514606128,Sam Graves,Republican,RepSamGraves,TO GET LATER
"Graves, Tom",GA,9,Rep,GA9,Graves,reptomgraves,Tom Graves,Republican,RepTomGraves,TO GET LATER
"Griffin, Tim",AR,2,Rep,AR2,Griffin,,Tim Griffin,Republican,,TO GET LATER
"Griffith, H. Morgan",VA,9,Rep,VA9,Griffith,RepMorganGriffith,H. Morgan Griffith,Republican,RepMGriffith,TO GET LATER
"Grimm, Michael G.",NY,13,Rep,NY13,Grimm,,Michael G. Grimm,Republican,,TO GET LATER
"Guinta, Frank C.",NH,1,Rep,NH1,Guinta,repfrankguinta,Frank C. Guinta,Republican,RepFrankGuinta,TO GET LATER
"Guthrie, Brett",KY,2,Rep,KY2,Guthrie,CongressmanGuthrie,Brett Guthrie,Republican,RepGuthrie,TO GET LATER
"Harper, Gregg",MS,3,Rep,MS3,Harper,GreggHarper,Gregg Harper,Republican,GreggHarper,TO GET LATER
"Hartzler, Vicky",MO,4,Rep,MO4,Hartzler,Congresswoman.Hartzler,Vicky Hartzler,Republican,RepHartzler,TO GET LATER
"Hastings, Doc",WA,4,Rep,WA4,Hastings,,Doc Hastings,Republican,,TO GET LATER
"Hayworth, Nan A. S.",NY,19,Rep,NY19,Hayworth,,Nan A. S. Hayworth,Republican,,TO GET LATER
"Heller, Dean",NV,2,Rep,NV2,Heller,,,,,TO GET LATER
"Hensarling, Jeb",TX,5,Rep,TX5,Hensarling,RepHensarling,Jeb Hensarling,Republican,RepHensarling,TO GET LATER
"Herger, Wally",CA,2,Rep,CA2,Herger,,Wally Herger,Republican,,TO GET LATER
"Huelskamp, Tim",KS,1,Rep,KS1,Huelskamp,congressmanhuelskamp,Tim Huelskamp,Republican,CongHuelskamp,TO GET LATER
"Huizenga, Bill",MI,2,Rep,MI2,Huizenga,RepHuizenga,Bill Huizenga,Republican,RepHuizenga,TO GET LATER
"Hunter, Duncan D.",CA,52,Rep,CA52,Hunter,DuncanHunter,Duncan Hunter,Republican,Rep_Hunter,TO GET LATER
"Hurt, Robert",VA,5,Rep,VA5,Hurt,RepRobertHurt,Robert Hurt,Republican,RepRobertHurt,TO GET LATER
"Issa, Darrell E.",CA,49,Rep,CA49,Issa,darrellissa,Darrell E. Issa,Republican,DarrellIssa,TO GET LATER
"Jenkins, Lynn",KS,2,Rep,KS2,Jenkins,replynnjenkins,Lynn Jenkins,Republican,RepLynnJenkins,TO GET LATER
"Johnson, Bill",OH,6,Rep,OH6,Johnson,RepBillJohnson,Bill Johnson,Republican,RepBillJohnson,TO GET LATER
"Johnson, Sam",TX,3,Rep,TX3,Johnson,RepSamJohnson,Sam Johnson,Republican,SamsPressShop,TO GET LATER
"Johnson, Timothy V.",IL,15,Rep,IL15,Johnson,,Timothy V. Johnson,Republican,,TO GET LATER
"Jones, Walter B., Jr.",NC,3,Rep,NC3,Jones,15083070102,Walter B. Jones,Republican,RepWalterJones,TO GET LATER
"King, Steve",IA,5,Rep,IA5,King,stevekingia,Steve King,Republican,SteveKingIA,TO GET LATER
"Kinzinger, Adam",IL,11,Rep,IL11,Kinzinger,RepKinzinger,Adam Kinzinger,Republican,RepKinzinger,TO GET LATER
"Kline, John",MN,2,Rep,MN2,Kline,repjohnkline,John Kline,Republican,RepJohnKline,TO GET LATER
"Labrador, Raul R.",ID,1,Rep,ID1,Labrador,raul.r.labrador,Raúl R. Labrador,Republican,Raul_Labrador,TO GET LATER
"Lamborn, Doug",CO,5,Rep,CO5,Lamborn,CongressmanDougLamborn,Doug Lamborn,Republican,RepDLamborn,TO GET LATER
"Lance, Leonard",NJ,7,Rep,NJ7,Lance,CongressmanLance,Leonard Lance,Republican,RepLanceNJ7,TO GET LATER
"Landry, Jeffrey M.",LA,3,Rep,LA3,Landry,,Jeffrey M. Landry,Republican,,TO GET LATER
"Lankford, James",OK,5,Rep,OK5,Lankford,SenatorLankford,James Lankford,Republican,SenatorLankford,TO GET LATER
"LaTourette, Steven C.",OH,14,Rep,OH14,LaTourette,,Steven C. LaTourette,Republican,,TO GET LATER
"Latta, Robert E.",OH,5,Rep,OH5,Latta,boblatta,Robert E. Latta,Republican,BobLatta,TO GET LATER
"Lee, Christopher J.",NY,26,Rep,NY26,Lee,,Christopher Lee,Republican,,TO GET LATER
"Lewis, Jerry",CA,41,Rep,CA41,Lewis,,Jerry Lewis,Republican,,TO GET LATER
"LoBiondo, Frank A.",NJ,2,Rep,NJ2,LoBiondo,FrankLoBiondo,Frank A. LoBiondo,Republican,RepLoBiondo,TO GET LATER
"Lucas, Frank D.",OK,3,Rep,OK3,Lucas,RepFrankLucas,Frank D. Lucas,Republican,RepFrankLucas,TO GET LATER
"Luetkemeyer, Blaine",MO,9,Rep,MO9,Luetkemeyer,BlaineLuetkemeyer,Blaine Luetkemeyer,Republican,RepBlaine,TO GET LATER
"Lummis, Cynthia M.",WY,0,Rep,WY0,Lummis,152754318103332,Cynthia M. Lummis,Republican,CynthiaLummis,TO GET LATER
"Mack, Connie",FL,14,Rep,FL14,Mack,,Connie Mack,Republican,,TO GET LATER
"Marchant, Kenny",TX,24,Rep,TX24,Marchant,RepKennyMarchant,Kenny Marchant,Republican,RepKenMarchant,TO GET LATER
"Marino, Tom",PA,10,Rep,PA10,Marino,CongressmanMarino,Tom Marino,Republican,RepTomMarino,TO GET LATER
"McCarthy, Kevin",CA,22,Rep,CA22,McCarthy,CongressmanKevinMcCarthy,Kevin McCarthy,Republican,GOPLeader,TO GET LATER
"McCotter, Thaddeus G.",MI,11,Rep,MI11,McCotter,,Thad McCotter,Republican,,TO GET LATER
"McKeon, Howard P. ""Buck""",CA,25,Rep,CA25,McKeon,,"Howard P. ""Buck"" McKeon",Republican,,TO GET LATER
"McKinley, David B.",WV,1,Rep,WV1,McKinley,RepMcKinley,David B. McKinley,Republican,RepMcKinley,TO GET LATER
"McMorris Rodgers, Cathy",WA,5,Rep,WA5,McMorris Rodgers,mcmorrisrodgers,Cathy McMorris Rodgers,Republican,CathyMcMorris,TO GET LATER
"Miller, Candice S.",MI,10,Rep,MI10,Miller,CongresswomanCandiceMiller,Candice S. Miller,Republican,CandiceMiller,TO GET LATER
"Miller, Gary G.",CA,42,Rep,CA42,Miller,,Gary G. Miller,Republican,,TO GET LATER
"Miller, Jeff",FL,1,Rep,FL1,Miller,RepJeffMiller,Jeff Miller,Republican,,TO GET LATER
"Mulvaney, Mick",SC,5,Rep,SC5,Mulvaney,MulvaneySC5,Mick Mulvaney,Republican,RepMickMulvaney,TO GET LATER
"Myrick, Sue Wilkins",NC,9,Rep,NC9,Myrick,,Sue Wilkins Myrick,Republican,,TO GET LATER
"Neugebauer, Randy",TX,19,Rep,TX19,Neugebauer,rep.randy.neugebauer,Randy Neugebauer,Republican,RandyNeugebauer,TO GET LATER
"Noem, Kristi L.",SD,0,Rep,SD0,Noem,,Kristi L. Noem,Republican,RepKristiNoem,TO GET LATER
"Nugent, Richard B.",FL,5,Rep,FL5,Nugent,RepRichNugent,Richard B. Nugent,Republican,RepRichNugent,TO GET LATER
"Nunnelee, Alan",MS,1,Rep,MS1,Nunnelee,CongressmanNunnelee,Alan Nunnelee,Republican,RepAlanNunnelee,TO GET LATER
"Olson, Pete",TX,22,Rep,TX22,Olson,Rep.PeteOlson,Pete Olson,Republican,RepPeteOlson,TO GET LATER
"Palazzo, Steven M.",MS,4,Rep,MS4,Palazzo,stevenpalazzo,Steven M. Palazzo,Republican,CongPalazzo,TO GET LATER
"Paul, Ron",TX,14,Rep,TX14,Paul,,Ron Paul,Republican,RonPaul,TO GET LATER
"Pearce, Stevan",NM,2,Rep,NM2,Pearce,RepStevePearce,Stevan Pearce,Republican,RepStevePearce,TO GET LATER
"Pence, Mike",IN,6,Rep,IN6,Pence,mikepence,Mike Pence,Republican,mike_pence,TO GET LATER
"Petri, Thomas E.",WI,6,Rep,WI6,Petri,,Thomas E. Petri,Republican,,TO GET LATER
"Pitts, Joseph R.",PA,16,Rep,PA16,Pitts,94156528752,Joseph R. Pitts,Republican,RepJoePitts,TO GET LATER
"Platts, Todd Russell",PA,19,Rep,PA19,Platts,,Todd Russell Platts,Republican,,TO GET LATER
"Poe, Ted",TX,2,Rep,TX2,Poe,106631626049851,Ted Poe,Republican,JudgeTedPoe,TO GET LATER
"Pompeo, Mike",KS,4,Rep,KS4,Pompeo,CongressmanPompeo,Mike Pompeo,Republican,RepMikePompeo,TO GET LATER
"Posey, Bill",FL,15,Rep,FL15,Posey,bill.posey15,Bill Posey,Republican,CongBillPosey,TO GET LATER
"Price, Tom",GA,6,Rep,GA6,Price,reptomprice,Tom Price,Republican,RepTomPrice,TO GET LATER
"Quayle, Benjamin",AZ,3,Rep,AZ3,Quayle,,Benjamin Quayle,Republican,,TO GET LATER
"Reed, Tom",NY,29,Rep,NY29,Reed,RepTomReed,Tom Reed,Republican,RepTomReed,TO GET LATER
"Rehberg, Denny",MT,0,Rep,MT0,Rehberg,,Denny Rehberg,Republican,,TO GET LATER
"Renacci, James B.",OH,16,Rep,OH16,Renacci,repjimrenacci,James B. Renacci,Republican,RepJimRenacci,TO GET LATER
"Rigell, E. Scott",VA,2,Rep,VA2,Rigell,RepScottRigell,E. Scott Rigell,Republican,RepScottRigell,TO GET LATER
"Rivera, David",FL,25,Rep,FL25,Rivera,,David Rivera,Republican,,TO GET LATER
"Rogers, Mike D.",AL,3,Rep,AL3,Rogers,CongressmanMikeDRogers,Mike Rogers,Republican,RepMikeRogersAL,TO GET LATER
"Rogers, Mike J.",MI,8,Rep,MI8,Rogers,,Mike Rogers,Republican,,TO GET LATER
"Ros-Lehtinen, Ileana",FL,18,Rep,FL18,Ros-Lehtinen,iroslehtinen,Ileana Ros-Lehtinen,Republican,RosLehtinen,TO GET LATER
"Roskam, Peter J.",IL,6,Rep,IL6,Roskam,PeterRoskam,Peter J. Roskam,Republican,PeterRoskam,TO GET LATER
"Ross, Dennis A.",FL,12,Rep,FL12,Ross,dennis.ross.376,Dennis A. Ross,Republican,RepDennisRoss,TO GET LATER
"Royce, Edward R.",CA,40,Rep,CA40,Royce,EdRoyce,Edward R. Royce,Republican,RepEdRoyce,TO GET LATER
"Runyan, Jon",NJ,3,Rep,NJ3,Runyan,,Jon Runyan,Republican,,TO GET LATER
"Ryan, Paul",WI,1,Rep,WI1,Ryan,speakerryan,Paul D. Ryan,Republican,SpeakerRyan,TO GET LATER
"Scalise, Steve",LA,1,Rep,LA1,Scalise,RepSteveScalise,Steve Scalise,Republican,SteveScalise,TO GET LATER
"Schmidt, Jean",OH,2,Rep,OH2,Schmidt,,Jean Schmidt,Republican,,TO GET LATER
"Schock, Aaron",IL,18,Rep,IL18,Schock,RepAaronSchock,Aaron Schock,Republican,AaronSchock,TO GET LATER
"Scott, Austin",GA,8,Rep,GA8,Scott,RepAustinScott,Austin Scott,Republican,AustinScottGA08,TO GET LATER
"Scott, Tim",SC,1,Rep,SC1,Scott,SenatorTimScott,Tim Scott,Republican,SenatorTimScott,TO GET LATER
"Sessions, Pete",TX,32,Rep,TX32,Sessions,petesessions,Pete Sessions,Republican,PeteSessions,TO GET LATER
"Shuster, Bill",PA,9,Rep,PA9,Shuster,Rep.Shuster,Bill Shuster,Republican,RepBillShuster,TO GET LATER
"Simpson, Michael K.",ID,2,Rep,ID2,Simpson,96007744606,Michael K. Simpson,Republican,CongMikeSimpson,TO GET LATER
"Smith, Adrian",NE,3,Rep,NE3,Smith,,Adrian Smith,Republican,RepAdrianSmith,TO GET LATER
"Smith, Lamar",TX,21,Rep,TX21,Smith,LamarSmithTX21,Lamar Smith,Republican,LamarSmithTX21,TO GET LATER
"Southerland, Steve II",FL,2,Rep,FL2,Southerland,,Steve Southerland II,Republican,,TO GET LATER
"Stearns, Cliff",FL,6,Rep,FL6,Stearns,,Cliff Stearns,Republican,,TO GET LATER
"Sullivan, John",OK,1,Rep,OK1,Sullivan,,John Sullivan,Republican,,TO GET LATER
"Terry, Lee",NE,2,Rep,NE2,Terry,,Lee Terry,Republican,,TO GET LATER
"Thornberry, Mac",TX,13,Rep,TX13,Thornberry,repmacthornberry,Mac Thornberry,Republican,MacTXPress,TO GET LATER
"Tiberi, Patrick J.",OH,12,Rep,OH12,Tiberi,RepPatTiberi,Patrick J. Tiberi,Republican,pattiberi,TO GET LATER
"Tipton, Scott  R.",CO,3,Rep,CO3,Tipton,CongressmanScottTipton,Scott R. Tipton,Republican,RepTipton,TO GET LATER
"Turner, Michael R.",OH,3,Rep,OH3,Turner,RepMikeTurner,Michael R. Turner,Republican,RepMikeTurner,TO GET LATER
"Upton, Fred",MI,6,Rep,MI6,Upton,RepFredUpton,Fred Upton,Republican,RepFredUpton,TO GET LATER
"Walberg, Tim",MI,7,Rep,MI7,Walberg,RepWalberg,Tim Walberg,Republican,RepWalberg,TO GET LATER
"Walden, Greg",OR,2,Rep,OR2,Walden,repgregwalden,Greg Walden,Republican,RepGregWalden,TO GET LATER
"Walsh, Joe",IL,8,Rep,IL8,Walsh,joewalsh,Joe Walsh,Republican,walshfreedom,TO GET LATER
"West, Allen B.",FL,22,Rep,FL22,West,,Allen B. West,Republican,,TO GET LATER
"Westmoreland, Lynn A.",GA,3,Rep,GA3,Westmoreland,71389451419,Lynn A. Westmoreland,Republican,RepWestmoreland,TO GET LATER
"Whitfield, Ed",KY,1,Rep,KY1,Whitfield,RepEdWhitfield,Ed Whitfield,Republican,RepEdWhitfield,TO GET LATER
"Wilson, Joe",SC,2,Rep,SC2,Wilson,JoeWilson,Joe Wilson,Republican,RepJoeWilson,TO GET LATER
"Wittman, Robert J.",VA,1,Rep,VA1,Wittman,RepRobWittman,Robert J. Wittman,Republican,RobWittman,TO GET LATER
"Woodall, Rob",GA,7,Rep,GA7,Woodall,RepRobWoodall,Rob Woodall,Republican,RepRobWoodall,TO GET LATER
"Young, C. W. Bill",FL,10,Rep,FL10,Young,,C. W. Bill Young,Republican,,TO GET LATER
"Young, Todd C.",IN,9,Rep,IN9,Young,SenatorToddYoung,Todd Young,Republican,SenToddYoung,TO GET LATER
"Smith, Christopher H.",NJ,4,Rep,NJ4,Smith,RepChrisSmith,Christopher H. Smith,Republican,RepChrisSmith,TO GET LATER
"Austria, Steve",OH,7,Rep,OH7,Austria,,Steve Austria,Republican,,TO GET LATER
"Barletta, Lou",PA,11,Rep,PA11,Barletta,CongressmanLouBarletta,Lou Barletta,Republican,RepLouBarletta,TO GET LATER
"Boren, Dan",OK,2,Rep,OK2,Boren,,Dan Boren,Democrat,,TO GET LATER
"Brooks, Mo",AL,5,Rep,AL5,Brooks,RepMoBrooks,Mo Brooks,Republican,RepMoBrooks,TO GET LATER
"Broun, Paul C.",GA,10,Rep,GA10,Broun,,Paul C. Broun,Republican,,TO GET LATER
"Costello, Jerry F.",IL,12,Rep,IL12,Costello,,Jerry F. Costello,Democrat,,TO GET LATER
"Crenshaw, Ander",FL,4,Rep,FL4,Crenshaw,200388204657,Ander Crenshaw,Republican,AnderCrenshaw,TO GET LATER
"Critz, Mark S.",PA,12,Rep,PA12,Critz,,Mark S. Critz,Democrat,,TO GET LATER
"Donnelly, Joe",IN,2,Rep,IN2,Donnelly,senatordonnelly,Joe Donnelly,Democrat,SenDonnelly,TO GET LATER
"Duffy, Sean P.",WI,7,Rep,WI7,Duffy,RepSeanDuffy,Sean P. Duffy,Republican,RepSeanDuffy,TO GET LATER
"Fleming, John",LA,4,Rep,LA4,Fleming,repjohnfleming,John Fleming,Republican,RepFleming,TO GET LATER
"Forbes, J. Randy",VA,4,Rep,VA4,Forbes,randyforbes,J. Randy Forbes,Republican,Randy_Forbes,TO GET LATER
"Fortenberry, Jeff",NE,1,Rep,NE1,Fortenberry,jefffortenberry,Jeff Fortenberry,Republican,JeffFortenberry,TO GET LATER
"Franks, Trent",AZ,2,Rep,AZ2,Franks,TrentFranks,Trent Franks,Republican,RepTrentFranks,TO GET LATER
"Gerlach, Jim",PA,6,Rep,PA6,Gerlach,,Jim Gerlach,Republican,,TO GET LATER
"Gowdy, Trey",SC,4,Rep,SC4,Gowdy,RepTreyGowdy,Trey Gowdy,Republican,TGowdySC,TO GET LATER
"Hall, Ralph M.",TX,4,Rep,TX4,Hall,,Ralph M. Hall,Republican,,TO GET LATER
"Harris, Andy",MD,1,Rep,MD1,Harris,AndyHarrisMD,Andy Harris,Republican,RepAndyHarrisMD,TO GET LATER
"Heck, Joseph J.",NV,3,Rep,NV3,Heck,RepJoeHeck,Joseph J. Heck,Republican,RepJoeHeck,TO GET LATER
"Holden, Tim",PA,17,Rep,PA17,Holden,,Tim Holden,Democrat,,TO GET LATER
"Hultgren, Randy",IL,14,Rep,IL14,Hultgren,RepHultgren,Randy Hultgren,Republican,RepHultgren,TO GET LATER
"Jordan, Jim",OH,4,Rep,OH4,Jordan,repjimjordan,Jim Jordan,Republican,Jim_Jordan,TO GET LATER
"Kelly, Mike",PA,3,Rep,PA3,Kelly,191056827594903,Mike Kelly,Republican,MikeKellyPA,TO GET LATER
"King, Peter T.",NY,3,Rep,NY3,King,reppeteking,Peter T. King,Republican,RepPeteKing,TO GET LATER
"Kingston, Jack",GA,1,Rep,GA1,Kingston,,Jack Kingston,Republican,jackkingston,TO GET LATER
"Latham, Tom",IA,4,Rep,IA4,Latham,,Tom Latham,Republican,,TO GET LATER
"Lipinski, Daniel",IL,3,Rep,IL3,Lipinski,repdanlipinski,Daniel Lipinski,Democrat,RepLipinski,TO GET LATER
"Long, Billy",MO,7,Rep,MO7,Long,Rep.Billy.Long,Billy Long,Republican,USRepLong,TO GET LATER
"Lungren, Daniel E.",CA,3,Rep,CA3,Lungren,,Daniel E. Lungren,Republican,,TO GET LATER
"Manzullo, Donald A.",IL,16,Rep,IL16,Manzullo,,Donald A. Manzullo,Republican,,TO GET LATER
"McCaul, Michael T.",TX,10,Rep,TX10,McCaul,michaeltmccaul,Michael T. McCaul,Republican,RepMcCaul,TO GET LATER
"McClintock, Tom",CA,4,Rep,CA4,McClintock,81125319109,Tom McClintock,Republican,RepMcClintock,TO GET LATER
"McHenry, Patrick T.",NC,10,Rep,NC10,McHenry,CongressmanMcHenry,Patrick T. McHenry,Republican,PatrickMcHenry,TO GET LATER
"McIntyre, Mike",NC,7,Rep,NC7,McIntyre,,Mike McIntyre,Democrat,,TO GET LATER
"Mica, John L.",FL,7,Rep,FL7,Mica,JohnMica,John L. Mica,Republican,,TO GET LATER
"Murphy, Tim",PA,18,Rep,PA18,Murphy,reptimmurphy,Tim Murphy,Republican,RepTimMurphy,TO GET LATER
"Nunes, Devin",CA,21,Rep,CA21,Nunes,,Devin Nunes,Republican,RepDevinNunes,TO GET LATER
