_action_text,_bill,_committees,_date,_status,_time,_type
The Speaker designated the Honorable Steve Womack to act as Chairman of the Committee.,hr3,,2013-01-22,,14:16:00,action
GENERAL DEBATE - The Committee of the Whole proceeded with 90 minutes of general debate on H.R. 3.,hr3,,2013-01-22,,14:17:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Weber(TX) amendment No. 1.",hr3,,2013-01-22,,16:04:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Weber amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the ayes had prevailed. Mr. Weber demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:15:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Waxman amendment No. 2.",hr3,,2013-01-22,,16:16:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Waxman amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Waxman demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:24:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Johnson(GA) amendment No. 3.",hr3,,2013-01-22,,16:25:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Johnson (GA) amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Johnson (GA) demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:30:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Connolly amendment No. 4.",hr3,,2013-01-22,,16:32:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Connolly amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Connolly demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:37:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Rahall amendment No. 5.",hr3,,2013-01-22,,16:38:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Rahall amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Rahall demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:47:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Esty amendment No. 6.",hr3,,2013-01-22,,16:48:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Esty amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Ms. Esty demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,16:48:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Jackson Lee amendment No. 7.",hr3,,2013-01-22,,16:57:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Jackson Lee amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Ms. Jackson Lee demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,17:04:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Chu amendment No. 8.",hr3,,2013-01-22,,17:05:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Chu amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Ms. Chu demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,17:12:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Cohen amendment No. 9.",hr3,,2013-01-22,,17:13:00,action
"DEBATE - Pursuant to the provisions of H.Res. 228, the Committee of the Whole proceeded with 10 minutes of debate on the Holt amendment No. 10.",hr3,,2013-01-22,,17:18:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Holt amendment, the Chair put the question on adoption of the amendment and by voice vote announced that the noes had prevailed. Mr. Holt demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr3,,2013-01-22,,17:29:00,action
The House rose from the Committee of the Whole House on the state of the Union to report H.R. 3.,hr3,,2013-01-22,,18:34:00,action
The previous question was ordered pursuant to the rule.,hr3,,2013-01-22,,18:35:00,action
The House adopted the amendment in the nature of a substitute as agreed to by the Committee of the Whole House on the state of the Union.,hr3,,2013-01-22,,18:35:00,action
Mr. Bishop (NY) moved to recommit with instructions to Transportation.,hr3,,2013-01-22,,18:36:00,action
"DEBATE - The House proceeded with 10 minutes of debate on the Bishop (NY) motion to recommit with instructions. The instructions contained in the motion seek to require the House to report the same back with an amendment requiring TransCanada Keystone Pipeline, L.P. to certify to the President that diluted bitumen and other materials derived from tar sands or oils sands that are transported through the Keystone XL pipeline be treated as crude oil for the purposes of determining contributions that fund the Oil Spill Liability Trust Fund.",hr3,,2013-01-22,,18:36:00,action
The previous question on the motion to recommit with instructions was ordered without objection.,hr3,,2013-01-22,,18:44:00,action
On motion to recommit with instructions Failed by the Yeas and Nays: 194 - 223 (Roll no. 178).,hr3,,2013-01-22,,18:52:00,action
"On passage Passed by recorded vote: 241 - 175, 1 Present (Roll no. 179).",hr3,,2013-01-22,PASS_OVER:HOUSE,19:01:00,vote
Motion to reconsider laid on the table Agreed to without objection.,hr3,,2013-01-22,,19:01:00,action
"Received in the Senate, read the first time.",hr3,,2013-01-23,,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 81.,hr3,,2013-01-03,,,calendar
Subcommittee on Public Lands and Environmental Regulation Discharged.,hr3,,2014-01-24,,,action
"Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs Discharged.",hr3,,2014-01-24,,,action
"Referred to the Committee on Ways and Means, and in addition to the Committees on the Budget, Oversight and Government Reform, Rules, the Judiciary, Financial Services, Agriculture, Natural Resources, and Small Business, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr4,HSWM,2014-01-15,INTRODUCED,,referral
Referred to House Ways and Means,hr4,HSWM,2014-01-15,,,referral
Referred to House Budget,hr4,HSBU,2014-01-15,,,referral
Referred to House Oversight and Government Reform,hr4,HSGO,2014-01-15,,,referral
Referred to House Rules,hr4,HSRU,2014-01-15,,,referral
Referred to House Judiciary,hr4,HSJU,2014-01-15,,,referral
Referred to House Financial Services,hr4,HSBA,2014-01-15,,,referral
Referred to House Agriculture,hr4,HSAG,2014-01-15,,,referral
Referred to House Natural Resources,hr4,HSII,2014-01-15,,,referral
Referred to House Small Business,hr4,HSSM,2014-01-15,,,referral
"Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law.",hr4,,2014-01-16,,,referral
"Rules Committee Resolution H. Res. 727 Reported to House. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Resolution provides that each bill may be debatable for 2 hours, equally divided and controlled by the chair and ranking member of their respective committees. The bills shall be considered as read, all points of order agains the provisions of the bill are waived, and each bill is provided with one motion to recommit.",hr4,HSRU,2014-01-16,,18:19:00,action
Rule H. Res. 727 passed House.,hr4,,2014-01-18,,14:09:00,action
Considered under the provisions of rule H. Res. 727.,hr4,,2014-01-18,,14:10:00,action
"Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Resolution provides that each bill may be debatable for 2 hours, equally divided and controlled by the chair and ranking member of their respective committees. The bills shall be considered as read, all points of order agains the provisions of the bill are waived, and each bill is provided with one motion to recommit.",hr4,,2014-01-18,,14:10:00,action
DEBATE - The House proceeded with two hours of debate on H.R. 4.,hr4,,2014-01-18,,14:11:00,action
The previous question was ordered pursuant to the rule.,hr4,,2014-01-18,,15:26:00,action
"POSTPONED PROCEEDINGS - Pursuant to clause 1(c) of rule 19, further proceedings on H.R. 4 were postponed.",hr4,,2014-01-18,,15:26:00,action
Considered as unfinished business.,hr4,,2014-01-18,,18:01:00,action
Mr. Bishop (NY) moved to recommit with instructions to the Committee on Ways and Means.,hr4,HSWM,2014-01-18,,18:02:00,action
"DEBATE - The House proceeded with 10 minutes of debate on the Bishop (NY) motion to recommit with instructions. The instructions contained in the motion seek to require the bill to be reported back to the House with an amendment to (1) give a tax credit of up to 20% for expenses of returning American jobs from overseas; (2) deny tax deductions for the costs of sending American jobs overseas; (3) make it more difficult for corporations to invert in order to lower their tax bills by moving their address overseas through a merger with a smaller foreign corporation; and (4) deny the tax benefits in the underlying bill to inverted corporations. Additionally, the Motion would provide for consideration of: (1) H.R. 377, Paycheck Fairness Act, (2) H.R. 1010, Fair Minimum Wage Act, (3) H.R. 4582, Bank on Students Emergency Loan Refinancing Act, (4) H.R. 1286, Healthy Families Act, and (5) H.R. 3461, Strong Start for Americas                Children Act.",hr4,,2014-01-18,,18:02:00,action
The previous question on the motion to recommit with instructions was ordered without objection.,hr4,,2014-01-18,,18:08:00,action
On motion to recommit with instructions Failed by the Yeas and Nays: 191 - 218 (Roll no. 512).,hr4,,2014-01-18,,18:38:00,action
On passage Passed by the Yeas and Nays: 253 - 163 (Roll no. 513).,hr4,,2014-01-18,PASS_OVER:HOUSE,18:45:00,vote
Motion to reconsider laid on the table Agreed to without objection.,hr4,,2014-01-18,,18:45:00,action
Received in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,hr4,,2014-01-12,,,action
