_bill,_district,_joined_at,_name,_state,_title,_type
s1,0,2013-01-22,"Reid, Harry",NV,Sen,sponsor
s1,0,2013-01-22,"Blumenthal, Richard",CT,Sen,cosponsor
s1,0,2013-01-22,"Boxer, Barbara",CA,Sen,cosponsor
s1,0,2013-01-22,"Brown, Sherrod",OH,Sen,cosponsor
s1,0,2013-01-22,"Coons, Christopher A.",DE,Sen,cosponsor
s1,0,2013-01-22,"Durbin, Richard",IL,Sen,cosponsor
s1,0,2013-01-22,"Feinstein, Dianne",CA,Sen,cosponsor
s1,0,2013-01-22,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s1,0,2013-01-22,"Heinrich, Martin",NM,Sen,cosponsor
s1,0,2013-01-22,"Hirono, Mazie K.",HI,Sen,cosponsor
s1,0,2013-01-22,"Klobuchar, Amy",MN,Sen,cosponsor
s1,0,2013-01-22,"Leahy, Patrick J.",VT,Sen,cosponsor
s1,0,2013-01-22,"Levin, Carl",MI,Sen,cosponsor
s1,0,2013-01-22,"Menendez, Robert",NJ,Sen,cosponsor
s1,0,2013-01-22,"Schatz, Brian",HI,Sen,cosponsor
s1,0,2013-01-22,"Schumer, Charles E.",NY,Sen,cosponsor
s2,0,2013-01-22,"Reid, Harry",NV,Sen,sponsor
s2,0,2013-01-22,"Blumenthal, Richard",CT,Sen,cosponsor
s2,0,2013-01-22,"Boxer, Barbara",CA,Sen,cosponsor
s2,0,2013-01-22,"Brown, Sherrod",OH,Sen,cosponsor
s2,0,2013-01-22,"Cantwell, Maria",WA,Sen,cosponsor
s2,0,2013-01-22,"Coons, Christopher A.",DE,Sen,cosponsor
s2,0,2013-01-22,"Durbin, Richard",IL,Sen,cosponsor
s2,0,2013-01-22,"Feinstein, Dianne",CA,Sen,cosponsor
s2,0,2013-01-22,"Hirono, Mazie K.",HI,Sen,cosponsor
s2,0,2013-01-22,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s2,0,2013-01-29,"Leahy, Patrick J.",VT,Sen,cosponsor
s2,0,2013-01-22,"Levin, Carl",MI,Sen,cosponsor
s2,0,2013-01-22,"Menendez, Robert",NJ,Sen,cosponsor
s2,0,2013-01-22,"Murphy, Christopher S.",CT,Sen,cosponsor
s2,0,2013-01-22,"Rockefeller, John D., IV",WV,Sen,cosponsor
s2,0,2013-01-22,"Schatz, Brian",HI,Sen,cosponsor
s2,0,2013-01-22,"Schumer, Charles E.",NY,Sen,cosponsor
s3,0,2013-01-22,"Reid, Harry",NV,Sen,sponsor
s3,0,2013-01-22,"Brown, Sherrod",OH,Sen,cosponsor
s3,0,2013-01-22,"Cantwell, Maria",WA,Sen,cosponsor
s3,0,2013-01-22,"Cardin, Benjamin L.",MD,Sen,cosponsor
s3,0,2013-01-22,"Coons, Christopher A.",DE,Sen,cosponsor
s3,0,2013-01-22,"Durbin, Richard",IL,Sen,cosponsor
s3,0,2013-01-22,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s3,0,2013-01-22,"Harkin, Tom",IA,Sen,cosponsor
s3,0,2013-01-22,"Hirono, Mazie K.",HI,Sen,cosponsor
s3,0,2013-01-22,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s3,0,2013-01-22,"Leahy, Patrick J.",VT,Sen,cosponsor
s3,0,2013-01-22,"Levin, Carl",MI,Sen,cosponsor
s3,0,2013-01-22,"Menendez, Robert",NJ,Sen,cosponsor
s3,0,2013-01-22,"Mikulski, Barbara A.",MD,Sen,cosponsor
s3,0,2013-01-22,"Murray, Patty",WA,Sen,cosponsor
s3,0,2013-01-22,"Sanders, Bernard",VT,Sen,cosponsor
s3,0,2013-01-22,"Schatz, Brian",HI,Sen,cosponsor
s4,0,2013-01-22,"Reid, Harry",NV,Sen,sponsor
s4,0,2013-01-22,"Boxer, Barbara",CA,Sen,cosponsor
s4,0,2013-01-22,"Brown, Sherrod",OH,Sen,cosponsor
s4,0,2013-01-23,"Cantwell, Maria",WA,Sen,cosponsor
s4,0,2013-01-22,"Coons, Christopher A.",DE,Sen,cosponsor
s4,0,2013-01-22,"Durbin, Richard",IL,Sen,cosponsor
s4,0,2013-01-24,"Feinstein, Dianne",CA,Sen,cosponsor
s4,0,2013-01-22,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s4,0,2013-01-22,"Harkin, Tom",IA,Sen,cosponsor
s4,0,2013-01-22,"Klobuchar, Amy",MN,Sen,cosponsor
s4,0,2013-01-22,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s4,0,2013-01-22,"Levin, Carl",MI,Sen,cosponsor
s4,0,2013-01-22,"Schatz, Brian",HI,Sen,cosponsor
s4,0,2013-01-22,"Schumer, Charles E.",NY,Sen,cosponsor
