_bill,_district,_joined_at,_name,_state,_title,_type
s16,0,2017-02-15,"Young, Todd C.",IN,Sen,cosponsor
s17,0,2017-01-03,"Sasse, Ben",NE,Sen,sponsor
s17,0,2017-01-04,"Baldwin, Tammy",WI,Sen,cosponsor
s17,0,2017-01-04,"Carper, Thomas R.",DE,Sen,cosponsor
s17,0,2017-01-17,"Daines, Steve",MT,Sen,cosponsor
s17,0,2017-01-17,"Duckworth, Tammy",IL,Sen,cosponsor
s17,0,2017-01-04,"Enzi, Michael B.",WY,Sen,cosponsor
s17,0,2017-01-04,"Ernst, Joni",IA,Sen,cosponsor
s17,0,2017-01-04,"Johnson, Ron",WI,Sen,cosponsor
s17,0,2017-01-17,"Lankford, James",OK,Sen,cosponsor
s17,0,2017-01-17,"Lee, Mike",UT,Sen,cosponsor
s17,0,2017-01-17,"McCain, John",AZ,Sen,cosponsor
s17,0,2017-01-10,"McCaskill, Claire",MO,Sen,cosponsor
s17,0,2017-01-10,"Perdue, David",GA,Sen,cosponsor
s17,0,2017-01-17,"Portman, Rob",OH,Sen,cosponsor
s17,0,2017-01-17,"Risch, James E.",ID,Sen,cosponsor
s17,0,2017-01-04,"Schatz, Brian",HI,Sen,cosponsor
s17,0,2017-01-03,"Tester, Jon",MT,Sen,original cosponsor
s17,0,2017-01-17,"Tillis, Thom",NC,Sen,cosponsor
s17,0,2017-01-17,"Young, Todd C.",IN,Sen,cosponsor
s18,0,2017-01-03,"Moran, Jerry",KS,Sen,sponsor
s18,0,2017-01-23,"Inhofe, James M.",OK,Sen,cosponsor
s18,0,2017-01-05,"Isakson, Johnny",GA,Sen,cosponsor
s18,0,2017-02-01,"Lankford, James",OK,Sen,cosponsor
s18,0,2017-01-03,"Perdue, David",GA,Sen,original cosponsor
s19,0,2017-01-03,"Thune, John",SD,Sen,sponsor
s19,0,2017-01-03,"Nelson, Bill",FL,Sen,original cosponsor
s20,8,2017-01-03,"Van Hollen, Chris",MD,Sen,sponsor
s21,0,2017-01-04,"Paul, Rand",KY,Sen,sponsor
s21,0,2017-01-04,"Barrasso, John",WY,Sen,original cosponsor
s21,0,2017-01-04,"Blunt, Roy",MO,Sen,original cosponsor
s21,0,2017-01-04,"Boozman, John",AR,Sen,original cosponsor
s21,0,2017-01-04,"Capito, Shelley Moore",WV,Sen,original cosponsor
s21,0,2017-01-04,"Cassidy, Bill",LA,Sen,original cosponsor
s21,0,2017-01-05,"Cornyn, John",TX,Sen,cosponsor
s21,0,2017-01-04,"Cotton, Tom",AR,Sen,original cosponsor
s21,0,2017-01-04,"Crapo, Mike",ID,Sen,original cosponsor
s21,0,2017-01-04,"Cruz, Ted",TX,Sen,original cosponsor
s21,0,2017-01-04,"Daines, Steve",MT,Sen,original cosponsor
s21,0,2017-01-04,"Enzi, Michael B.",WY,Sen,original cosponsor
s21,0,2017-01-04,"Ernst, Joni",IA,Sen,original cosponsor
s21,0,2017-01-04,"Fischer, Deb",NE,Sen,original cosponsor
s21,0,2017-01-24,"Flake, Jeff",AZ,Sen,cosponsor
s21,0,2017-01-04,"Gardner, Cory",CO,Sen,original cosponsor
s21,0,2017-01-04,"Grassley, Chuck",IA,Sen,original cosponsor
s21,0,2017-01-04,"Heller, Dean",NV,Sen,original cosponsor
s21,0,2018-07-17,"Hyde-Smith, Cindy",MS,Sen,cosponsor
s21,0,2017-01-04,"Inhofe, James M.",OK,Sen,original cosponsor
s21,0,2017-02-17,"Isakson, Johnny",GA,Sen,cosponsor
s21,0,2017-01-04,"Johnson, Ron",WI,Sen,original cosponsor
s21,0,2017-02-07,"Kennedy, John",LA,Sen,cosponsor
s21,0,2017-01-04,"Lee, Mike",UT,Sen,original cosponsor
s21,0,2017-01-04,"McCain, John",AZ,Sen,original cosponsor
s21,0,2017-01-04,"Moran, Jerry",KS,Sen,original cosponsor
s21,0,2017-01-24,"Perdue, David",GA,Sen,cosponsor
s21,0,2017-01-24,"Portman, Rob",OH,Sen,cosponsor
s21,0,2017-01-12,"Risch, James E.",ID,Sen,cosponsor
s21,0,2017-01-04,"Roberts, Pat",KS,Sen,original cosponsor
s21,0,2017-01-04,"Rounds, Mike",SD,Sen,original cosponsor
s21,0,2017-06-12,"Rubio, Marco",FL,Sen,cosponsor
s21,0,2017-01-04,"Sasse, Ben",NE,Sen,original cosponsor
s21,0,2017-01-04,"Scott, Tim",SC,Sen,original cosponsor
s21,0,2017-06-20,"Strange, Luther",AL,Sen,cosponsor
s21,0,2017-01-04,"Sullivan, Dan",AK,Sen,original cosponsor
s21,0,2017-01-04,"Thune, John",SD,Sen,original cosponsor
s21,0,2017-10-17,"Toomey, Pat",PA,Sen,cosponsor
s21,0,2017-01-05,"Wicker, Roger F.",MS,Sen,cosponsor
s21,0,2017-01-04,"Young, Todd C.",IN,Sen,original cosponsor
s22,0,2017-01-04,"Heller, Dean",NV,Sen,sponsor
s23,0,2017-01-04,"Cassidy, Bill",LA,Sen,sponsor
s23,0,2017-01-09,"Tester, Jon",MT,Sen,cosponsor
s24,0,2017-01-04,"Cassidy, Bill",LA,Sen,sponsor
s25,0,2017-01-04,"Shaheen, Jeanne",NH,Sen,sponsor
s25,0,2017-01-04,"Gillibrand, Kirsten E.",NY,Sen,original cosponsor
s25,0,2018-05-09,"Klobuchar, Amy",MN,Sen,cosponsor
s25,0,2017-01-04,"Schatz, Brian",HI,Sen,original cosponsor
s26,0,2017-01-04,"Wyden, Ron",OR,Sen,sponsor
s26,0,2017-01-04,"Baldwin, Tammy",WI,Sen,original cosponsor
s26,0,2017-01-04,"Bennet, Michael F.",CO,Sen,original cosponsor
s26,0,2017-04-07,"Booker, Cory A.",NJ,Sen,cosponsor
s26,0,2017-02-15,"Cantwell, Maria",WA,Sen,cosponsor
s26,0,2017-01-04,"Cardin, Benjamin L.",MD,Sen,original cosponsor
s26,0,2017-01-30,"Carper, Thomas R.",DE,Sen,cosponsor
s26,0,2017-02-17,"Coons, Christopher A.",DE,Sen,cosponsor
s26,0,2017-01-04,"Feinstein, Dianne",CA,Sen,original cosponsor
s26,0,2017-01-23,"Franken, Al",MN,Sen,cosponsor
s26,0,2017-01-23,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s26,0,2018-07-19,"Harris, Kamala D.",CA,Sen,cosponsor
s26,0,2017-01-04,"Kaine, Tim",VA,Sen,original cosponsor
s26,0,2017-01-30,"Leahy, Patrick J.",VT,Sen,cosponsor
s26,0,2017-01-23,"Markey, Edward J.",MA,Sen,cosponsor
s26,0,2017-02-06,"Menendez, Robert",NJ,Sen,cosponsor
s26,0,2017-01-04,"Merkley, Jeff",OR,Sen,original cosponsor
s26,0,2017-01-04,"Murphy, Christopher",CT,Sen,original cosponsor
s26,0,2018-06-20,"Shaheen, Jeanne",NH,Sen,cosponsor
s26,0,2017-01-04,"Stabenow, Debbie",MI,Sen,original cosponsor
s26,0,2017-01-04,"Udall, Tom",NM,Sen,original cosponsor
s26,0,2017-03-21,"Van Hollen, Chris",MD,Sen,cosponsor
s26,0,2017-01-04,"Warren, Elizabeth",MA,Sen,original cosponsor
s26,0,2017-01-24,"Whitehouse, Sheldon",RI,Sen,cosponsor
s27,0,2017-01-04,"Cardin, Benjamin L.",MD,Sen,sponsor
s27,0,2017-01-24,"Baldwin, Tammy",WI,Sen,cosponsor
s27,0,2017-02-16,"Bennet, Michael F.",CO,Sen,cosponsor
s27,0,2017-01-05,"Blumenthal, Richard",CT,Sen,cosponsor
s27,0,2017-01-11,"Brown, Sherrod",OH,Sen,cosponsor
s27,0,2017-06-29,"Cantwell, Maria",WA,Sen,cosponsor
