_action_text,_bill,_committees,_date,_status,_time,_type
"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1,HSAP,2009-01-26,INTRODUCED,,referral
Referred to House Appropriations,hr1,HSAP,2009-01-26,,,referral
Referred to House Budget,hr1,HSBU,2009-01-26,,,referral
"Rules Committee Resolution H. Res. 88 Reported to House. Rule provides for consideration of H.R. 1 with 3 hours and 30 minutes of general debate. All points of order against consideration of the bill except those arising under clause 9 or 10 of rule XXI, are waived. After general debate, the Committee shall rise without motion and no further consideration of the bill shall occur except pursuant to a subsequent order of the House.",hr1,HSRU,2009-01-26,,20:57:00,action
Rule H. Res. 88 passed House.,hr1,,2009-01-27,,14:58:00,action
QUESTION OF CONSIDERATION - Pending any declaration of the House into the Committee of the Whole pursuant to H. Res. 88 for consideration of H.R. 1--which contains an emergency designation for purposes of pay-as-you-go principles--the Chair announced that it must put the question of consideration of H.R. 1 under clause 10(c)(3)of rule 21.,hr1,,2009-01-27,,16:26:00,action
On question of consideration of the bill Agreed to by recorded vote: 224 - 199 (Roll no. 38).,hr1,,2009-01-27,,16:42:00,action
Considered under the provisions of rule H. Res. 88.,hr1,,2009-01-27,,16:42:00,action
"Rule provides for consideration of H.R. 1 with 3 hours and 30 minutes of general debate. All points of order against consideration of the bill except those arising under clause 9 or 10 of rule XXI, are waived. After general debate, the Committee shall rise without motion and no further consideration of the bill shall occur except pursuant to a subsequent order of the House.",hr1,,2009-01-27,,16:42:00,action
House resolved itself into the Committee of the Whole House on the state of the Union pursuant to H. Res. 88 and Rule XVIII.,hr1,,2009-01-27,,16:43:00,action
The Speaker designated the Honorable John F. Tierney to act as Chairman of the Committee.,hr1,,2009-01-27,,16:43:00,action
GENERAL DEBATE - The Committee of the Whole proceeded with 3 hours and 30 minutes of general debate on H.R. 1.,hr1,,2009-01-27,,16:43:00,action
Committee of the Whole House on the state of the Union rises leaving H.R. 1 as unfinished business.,hr1,,2009-01-27,,20:19:00,action
"Rules Committee Resolution H. Res. 92 Reported to House. Rule provides for consideration of H.R. 1 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be considered read. Specified amendments are in order. Resolution provides for further consideration of H.R. 1. Further general debate shall continue for not to exceed one hour, equally divided and controlled and shall be limited to the bill and amendments made in order by this resolution. Upon the adoption of this resolution, the amendment printed in Part A of the report of the Committee on Rules accompanying this resolution shall be considered as adopted.",hr1,HSRU,2009-01-27,,21:30:00,action
Rule H. Res. 92 passed House.,hr1,,2009-01-28,,12:43:00,action
Considered as unfinished business.,hr1,,2009-01-28,,12:59:00,action
The House resolved into Committee of the Whole House on the state of the Union for further consideration.,hr1,,2009-01-28,,12:59:00,action
GENERAL DEBATE - The Committee of the Whole proceeded with one hour of general debate on H.R. 1.,hr1,,2009-01-28,,12:59:00,action
"Pursuant to the provisions of H. Res. 92, an amendment printed in part A of House Report 111-9, is considered as adopted. The bill, as amended, shall be considered as the original bill for purpose of further amendment.",hr1,,2009-01-28,,13:59:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Oberstar amendment.",hr1,,2009-01-28,,14:02:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Markey (MA) amendment.",hr1,,2009-01-28,,14:11:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Shuster amendment.",hr1,,2009-01-28,,14:14:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Nadler amendment.",hr1,,2009-01-28,,14:23:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Neugebauer amendment.",hr1,,2009-01-28,,14:35:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Neugebauer amendment, the Chair put the question on adoption of the amendment and by voice vote announced the noes had prevailed. Mr. Neugebauer demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until a time to be announced.",hr1,,2009-01-28,,14:45:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Waters amendment.",hr1,,2009-01-28,,14:46:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Flake amendment.",hr1,,2009-01-28,,14:51:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Flake amendment, the Chair put the question on adoption of the amendment and by voice vote announced the noes had prevailed. Mr. Flake demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until a time to be announced.",hr1,,2009-01-28,,15:01:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Kissel amendment.",hr1,,2009-01-28,,15:02:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Platts amendment.",hr1,,2009-01-28,,15:12:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 10 minutes of debate on the Teague amendment.",hr1,,2009-01-28,,15:24:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with 60 minutes of debate on the Camp amendment in the nature of a substitute.",hr1,,2009-01-28,,15:33:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Camp amendment in the nature of a substitute, the Chair put the question on adoption of the amendment and by voice vote announced the noes had prevailed. Mr. Camp demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment in the nature of a substitute until later in the legislative day.",hr1,,2009-01-28,,16:33:00,action
The Committee of the Whole rose informally.,hr1,,2009-01-28,,16:42:00,action
"Subsequently, the Committee resumed its sitting.",hr1,,2009-01-28,,16:43:00,action
UNFINISHED BUSINESS - The Chair announced that the unfinished business was the question of adoption of amendments which had been debated earlier and on which further proceedings had been postponed.,hr1,,2009-01-28,,16:44:00,action
The House rose from the Committee of the Whole House on the state of the Union to report H.R. 1.,hr1,,2009-01-28,,17:31:00,action
The previous question was ordered pursuant to the rule.,hr1,,2009-01-28,,17:31:00,action
The House adopted the amendments en gross as agreed to by the Committee of the Whole House on the state of the Union.,hr1,,2009-01-28,,17:32:00,action
Mr. Lewis (CA) moved to recommit with instructions to Appropriations.,hr1,HSAP,2009-01-28,,17:33:00,action
DEBATE - The House proceeded with ten minutes of debate on the Lewis (CA) motion to recommit with instructions. The instructions contained in the motion seek to require the bill to be reported back to the House with sundry amendments.,hr1,,2009-01-28,,17:34:00,action
The previous question on the motion to recommit with instructions was ordered without objection.,hr1,,2009-01-28,,17:46:00,action
On motion to recommit with instructions Failed by recorded vote: 159 - 270 (Roll no. 45).,hr1,,2009-01-28,,18:04:00,action
On passage Passed by the Yeas and Nays: 244 - 188 (Roll no. 46).,hr1,,2009-01-28,PASS_OVER:HOUSE,18:11:00,vote
Motion to reconsider laid on the table Agreed to without objection.,hr1,,2009-01-28,,18:12:00,action
"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 1.",hr1,,2009-01-28,,18:12:00,action
"Received in the Senate, read twice.",hr1,,2009-01-29,,,action
Measure laid before Senate by unanimous consent.,hr1,,2009-01-02,,,action
Considered by Senate.,hr1,,2009-01-03,,,action
Considered by Senate.,hr1,,2009-01-04,,,action
Considered by Senate.,hr1,,2009-01-05,,,action
Considered by Senate.,hr1,,2009-01-06,,,action
Considered by Senate.,hr1,,2009-01-07,,,action
Considered by Senate.,hr1,,2009-01-09,,,action
Considered by Senate.,hr1,,2009-01-10,,,action
Passed Senate with an amendment by Yea-Nay Vote. 61 - 37. Record Vote Number: 61.,hr1,,2009-01-10,PASS_BACK:SENATE,,vote
"Senate insists on its amendment, asks for a conference, appoints conferees Inouye; Baucus; Reid; Cochran; Grassley.",hr1,,2009-01-10,,,action
Message on Senate action sent to the House.,hr1,,2009-01-10,,,action
"Mr. Obey moved that the House disagree to the Senate amendment, and agree to a conference.",hr1,,2009-01-10,,14:17:00,action
DEBATE - The House proceeded with one of debate on the motion to agree to a conference with the Senate.,hr1,,2009-01-10,,14:18:00,action
The previous question was ordered without objection.,hr1,,2009-01-10,,15:06:00,action
"On motion that the House disagree to the Senate amendment, and agree to a conference Agreed to by voice vote.",hr1,,2009-01-10,,15:06:00,action
Mr. Lewis (CA) moved that the House instruct conferees.,hr1,,2009-01-10,,15:07:00,action
DEBATE - The House proceeded with one hour of debate of the Lewis (CA) motion to instruct conferees. The instructions contained in the motion require the conferees to not record their approval of the final conference agreement unless the text of the agreement has been available at least 48 hours.,hr1,,2009-01-10,,15:07:00,action
The previous question was ordered without objection.,hr1,,2009-01-10,,16:00:00,action
