_id,_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
R000603,"Rouzer, David",NC,7,Rep,NC7,Rouzer,RepRouzer,David Rouzer,Republican,RepDavidRouzer,6317
S001154,"Shuster, Bill",PA,9,Rep,PA9,Shuster,Rep.Shuster,Bill Shuster,Republican,RepBillShuster,20507
W000821,"Westerman, Bruce",AR,4,Rep,AR4,Westerman,RepWesterman,Bruce Westerman,Republican,RepWesterman,8552
Z000018,"Zinke, Ryan K.",MT,0,Rep,MT0,Zinke,CongressmanRyanZinke,Ryan K. Zinke,Republican,RepRyanZinke,11416
K000363,"Kline, John",MN,2,Rep,MN2,Kline,repjohnkline,John Kline,Republican,RepJohnKline,8697
A000372,"Allen, Rick W.",GA,12,Rep,GA12,Allen,CongressmanRickAllen,Rick W. Allen,Republican,reprickallen,11832
B001289,"Byrne, Bradley",AL,1,Rep,AL1,Byrne,RepByrne,Bradley Byrne,Republican,RepByrne,17912
C001107,"Curbelo, Carlos",FL,26,Rep,FL26,Curbelo,repcurbelo,Carlos Curbelo,Republican,RepCurbelo,16968
F000450,"Foxx, Virginia",NC,5,Rep,NC5,Foxx,RepVirginiaFoxx,Virginia Foxx,Republican,VirginiaFoxx,21627
G000558,"Guthrie, Brett",KY,2,Rep,KY2,Guthrie,CongressmanGuthrie,Brett Guthrie,Republican,RepGuthrie,12572
H001048,"Hunter, Duncan D.",CA,50,Rep,CA50,Hunter,DuncanHunter,Duncan Hunter,Republican,Rep_Hunter,14695
M001189,"Messer, Luke",IN,6,Rep,IN6,Messer,RepLukeMesser,Luke Messer,Republican,RepLukeMesser,14942
R000582,"Roe, David P.",TN,1,Rep,TN1,Roe,DrPhilRoe,David P. Roe,Republican,DrPhilRoe,15962
R000592,"Rokita, Todd",IN,4,Rep,IN4,Rokita,RepToddRokita,Todd Rokita,Republican,ToddRokita,22384
A000373,"Ashford, Brad",NE,2,Rep,NE2,Ashford,RepBradAshford,Brad Ashford,Democrat,RepBradAshford,5226
B000213,"Barton, Joe",TX,6,Rep,TX6,Barton,RepJoeBarton,Joe Barton,Republican,RepJoeBarton,27806
B001271,"Benishek, Dan",MI,1,Rep,MI1,Benishek,CongressmanDan,Dan Benishek,Republican,CongressmanDan,9454
B001287,"Bera, Ami",CA,7,Rep,CA7,Bera,RepAmiBera,Ami Bera,Democrat,RepBera,28014
B001257,"Bilirakis, Gus M.",FL,12,Rep,FL12,Bilirakis,GusBilirakis,Gus M. Bilirakis,Republican,RepGusBilirakis,25999
B001293,"Bishop, Mike",MI,8,Rep,MI8,Bishop,RepMikeBishop,Mike Bishop,Republican,RepMikeBishop,11825
B001243,"Blackburn, Marsha",TN,7,Rep,TN7,Blackburn,marshablackburn,Marsha Blackburn,Republican,MarshaBlackburn,56159
B001278,"Bonamici, Suzanne",OR,1,Rep,OR1,Bonamici,congresswomanbonamici,Suzanne Bonamici,Democrat,RepBonamici,23808
B001245,"Bordallo, Madeleine Z.",GU,0,Rep,GU0,Bordallo,madeleine.bordallo,Madeleine Z. Bordallo,Democrat,,-1
B001296,"Boyle, Brendan F.",PA,13,Rep,PA13,Boyle,CongressmanBoyle,Brendan F. Boyle,Democrat,CongBoyle,7851
B001227,"Brady, Robert A.",PA,1,Rep,PA1,Brady,RepRobertBrady,Robert A. Brady,Democrat,RepBrady,12540
B001284,"Brooks, Susan W.",IN,5,Rep,IN5,Brooks,congresswomansusanwbrooks,Susan W. Brooks,Republican,SusanWBrooks,17885
B000911,"Brown, Corrine",FL,5,Rep,FL5,Brown,congresswomanbrown,Corrine Brown,Democrat,RepCorrineBrown,-1
B001285,"Brownley, Julia",CA,26,Rep,CA26,Brownley,RepJuliaBrownley,Julia Brownley,Democrat,JuliaBrownley26,15040
B001275,"Bucshon, Larry",IN,8,Rep,IN8,Bucshon,RepLarryBucshon,Larry Bucshon,Republican,RepLarryBucshon,18086
B001286,"Bustos, Cheri",IL,17,Rep,IL17,Bustos,RepCheri,Cheri Bustos,Democrat,RepCheri,28801
B001251,"Butterfield, G. K.",NC,1,Rep,NC1,Butterfield,congressmangkbutterfield,G. K. Butterfield,Democrat,GKButterfield,15684
C000059,"Calvert, Ken",CA,42,Rep,CA42,Calvert,70063393423,Ken Calvert,Republican,KenCalvert,15270
C001036,"Capps, Lois",CA,24,Rep,CA24,Capps,loiscapps,Lois Capps,Democrat,RepLoisCapps,12233
C001037,"Capuano, Michael E.",MA,7,Rep,MA7,Capuano,RepMichaelCapuano,Michael E. Capuano,Democrat,RepMikeCapuano,8834
C001097,"Cardenas, Tony",CA,29,Rep,CA29,Cardenas,repcardenas,Tony Cárdenas,Democrat,RepCardenas,18114
C001090,"Cartwright, Matt",PA,17,Rep,PA17,Cartwright,CongressmanMattCartwright,Matt Cartwright,Democrat,RepCartwright,9719
C001066,"Castor, Kathy",FL,14,Rep,FL14,Castor,USRepKathyCastor,Kathy Castor,Democrat,USRepKCastor,13727
C001091,"Castro, Joaquin",TX,20,Rep,TX20,Castro,326420614138023,Joaquin Castro,Democrat,JoaquinCastrotx,103426
C000266,"Chabot, Steve",OH,1,Rep,OH1,Chabot,RepSteveChabot,Steve Chabot,Republican,RepSteveChabot,25222
C001080,"Chu, Judy",CA,27,Rep,CA27,Chu,RepJudyChu,Judy Chu,Democrat,RepJudyChu,47229
C001084,"Cicilline, David N.",RI,1,Rep,RI1,Cicilline,CongressmanDavidCicilline,David N. Cicilline,Democrat,RepCicilline,13972
C001101,"Clark, Katherine M.",MA,5,Rep,MA5,Clark,CongresswomanClark,Katherine M. Clark,Democrat,RepKClark,57578
C001067,"Clarke, Yvette D.",NY,9,Rep,NY9,Clarke,repyvettedclarke,Yvette D. Clarke,Democrat,RepYvetteClarke,42162
C001061,"Cleaver, Emanuel",MO,5,Rep,MO5,Cleaver,emanuelcleaverii,Emanuel Cleaver,Democrat,RepCleaver,34206
C001077,"Coffman, Mike",CO,6,Rep,CO6,Coffman,repmikecoffman,Mike Coffman,Republican,RepMikeCoffman,36926
C001068,"Cohen, Steve",TN,9,Rep,TN9,Cohen,CongressmanSteveCohen,Steve Cohen,Democrat,RepCohen,43801
C001092,"Collins, Chris",NY,27,Rep,NY27,Collins,RepChrisCollins,Chris Collins,Republican,RepChrisCollins,19764
C001093,"Collins, Doug",GA,9,Rep,GA9,Collins,RepresentativeDougCollins,Doug Collins,Republican,RepDougCollins,15820
