_action_text,_bill,_committees,_date,_status,_time,_type
Introduced in Senate,s1,,2015-01-06,INTRODUCED,,action
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s1,,2015-01-06,,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 1.,s1,,2015-01-07,REPORTED,,calendar
Motion to proceed to consideration of measure made in Senate.,s1,,2015-01-08,,,action
Cloture motion on the motion to proceed to the measure presented in Senate.,s1,,2015-01-08,,,action
Motion to proceed to consideration of measure made in Senate.,s1,,2015-01-09,,,action
Motion to proceed to measure considered in Senate.,s1,,2015-01-12,,,action
Cloture on the motion to proceed to the measure invoked in Senate by Yea-Nay Vote. 63 - 32. Record Vote Number: 3.,s1,,2015-01-12,,,vote-aux
Motion to proceed to measure considered in Senate.,s1,,2015-01-13,,,action
Motion to proceed to consideration of measure agreed to in Senate by Voice Vote.,s1,,2015-01-13,,,action
Measure laid before Senate by motion.,s1,,2015-01-13,,,action
Considered by Senate.,s1,,2015-01-16,,,action
Considered by Senate.,s1,,2015-01-20,,,action
Considered by Senate.,s1,,2015-01-21,,,action
Considered by Senate.,s1,,2015-01-22,,,action
Cloture motion on the measure presented in Senate.,s1,,2015-01-22,,,action
Considered by Senate.,s1,,2015-01-26,,,action
Cloture on the measure not invoked in Senate by Yea-Nay Vote. 53 - 39. Record Vote Number: 30.,s1,,2015-01-26,,,action
Motion by Senator McConnell to reconsider the vote by which cloture was not invoked (Record Vote No. 30) entered in Senate.,s1,,2015-01-26,,,action
Considered by Senate.,s1,,2015-01-27,,,action
Considered by Senate.,s1,,2015-01-28,,,action
Considered by Senate.,s1,,2015-01-29,,,action
Motion to proceed to consideration of the motion to reconsider the vote by which cloture was not invoked on the measure (Roll Call Vote No. 30) agreed to in Senate by Unanimous Consent.,s1,,2015-01-29,,,action
Motion by Senator McConnell to reconsider the vote by which cloture was not invoked on the measure (Roll Call Vote No. 30) agreed to in Senate by Unanimous Consent.,s1,,2015-01-29,,,action
"Upon reconsideration, cloture on the measure invoked in Senate by Yea-Nay Vote. 62 - 35. Record Vote Number: 45.",s1,,2015-01-29,,,action
Passed Senate with amendments by Yea-Nay Vote. 62 - 36. Record Vote Number: 49.,s1,,2015-01-29,PASS_OVER:SENATE,,vote
Received in the House.,s1,,2015-01-30,,14:02:34,action
Message on Senate action sent to the House.,s1,,2015-01-30,,,action
Held at the desk.,s1,,2015-01-30,,15:14:11,action
