_action_text,_bill,_committees,_date,_status,_time,_type
"Rules Committee Resolution H. Res. 100 Reported to House. Rule provides for consideration of S. 1 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions. Measure will be considered read. Bill is closed to amendments. After disposition of the previous question, the resolution allows for one motion to commit during consideration of S. 1. The resolution also provides for proceedings during the period from Feb. 16, 2015 through Feb. 23, 2015.",s1,,2015-01-10,,19:19:26,action
Rule H. Res. 100 passed House.,s1,,2015-01-11,,15:09:32,action
Considered under the provisions of rule H. Res. 100.,s1,,2015-01-11,,15:21:44,action
"Rule provides for consideration of S. 1 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions. Measure will be considered read. Bill is closed to amendments. After disposition of the previous question, the resolution allows for one motion to commit during consideration of S. 1. The resolution also provides for proceedings during the period from Feb. 16, 2015 through Feb. 23, 2015.",s1,,2015-01-11,,15:21:49,action
"DEBATE - Pursuant to the provisions of H. Res. 100, the House proceeded with one hour of debate on S. 1.",s1,,2015-01-11,,15:22:15,action
The previous question was ordered pursuant to the rule.,s1,,2015-01-11,,16:30:50,action
Mrs. Capps moved to commit with instructions to the Committee on Energy and Commerce.,s1,HSIF,2015-01-11,,16:31:00,action
"DEBATE - The House proceeded with 10 minutes of debate on the motion to commit with instructions, pending the reservation of a point of order. The instructions contained in the motion seek to require the bill to be reported back to the House with an amendment to require that TransCanada Keystone Pipeline, L.P. pay for any oil spill cleanup on American soil. The point of order was subsequently withdrawn.",s1,,2015-01-11,,16:31:05,action
The previous question on the motion to commit with instructions was ordered without objection.,s1,,2015-01-11,,16:38:42,action
On motion to commit with instructions Failed by the Yeas and Nays: 181 - 241 (Roll no. 74).,s1,HSIF,2015-01-11,,17:06:21,action
On passage Passed by the Yeas and Nays: 270 - 152 (Roll no. 75).,s1,,2015-01-11,PASSED:BILL,17:14:20,vote
Motion to reconsider laid on the table Agreed to without objection.,s1,,2015-01-11,,17:14:21,action
Presented to President.,s1,,2015-01-24,,,topresident
Vetoed by President.,s1,,2015-01-24,PROV_KILL:VETO,,vetoed
Veto message received in Senate. Ordered held at the desk.,s1,,2015-01-24,,,action
Veto Message considered in Senate.,s1,,2015-01-02,,,action
Cloture motion on veto message presented in Senate.,s1,,2015-01-02,,,action
Veto Message considered in Senate.,s1,,2015-01-04,,,action
Cloture motion on veto message withdrawn by unanimous consent in Senate.,s1,,2015-01-04,,,action
Failed of passage in Senate over veto by Yea-Nay Vote. 62 - 37. Record Vote Number: 68.,s1,,2015-01-04,VETOED:OVERRIDE_FAIL_ORIGINATING:SENATE,,vote
Message on Senate action sent to the House.,s1,,2015-01-04,,,action
Introduced in Senate,s2,,2016-01-15,INTRODUCED,,action
Read twice and referred to the Committee on Armed Services.,s2,SSAS,2016-01-15,REFERRED,,referral
Introduced in Senate,s3,,2016-01-15,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s3,SSFI,2016-01-15,REFERRED,,referral
Introduced in Senate,s4,,2016-01-16,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s4,SSFI,2016-01-16,REFERRED,,referral
Introduced in Senate,s5,,2016-01-16,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s5,SSFI,2016-01-16,REFERRED,,referral
Introduced in Senate,s6,,2016-01-16,INTRODUCED,,action
Read twice and referred to the Committee on Rules and Administration.,s6,SSRA,2016-01-16,REFERRED,,referral
Introduced in Senate,s7,,2016-01-01,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s7,SSFI,2016-01-01,REFERRED,,referral
Introduced in Senate,s8,,2016-01-01,INTRODUCED,,action
Read twice and referred to the Committee on Foreign Relations.,s8,SSFR,2016-01-01,REFERRED,,referral
Committee on Foreign Relations. Ordered to be reported without amendment favorably.,s8,SSFR,2016-01-06,REPORTED,,calendar
Committee on Foreign Relations. Reported by Senator Corker without amendment. Without written report.,s8,SSFR,2016-01-07,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 704.,s8,,2016-01-07,,,calendar
Passed Senate without amendment by Unanimous Consent.,s8,,2016-01-10,PASS_OVER:SENATE,,vote
Message on Senate action sent to the House.,s8,,2016-01-12,,,action
Received in the House.,s8,,2016-01-12,,15:05:14,action
Held at the desk.,s8,,2016-01-12,,16:49:42,action
Mr. Smith (NJ) asked unanimous consent to take from the Speaker's table and consider.,s8,,2016-01-13,,14:38:09,action
Considered by unanimous consent.,s8,,2016-01-13,,14:39:09,action
On passage Passed without objection.,s8,,2016-01-13,PASSED:BILL,14:39:19,vote
Motion to reconsider laid on the table Agreed to without objection.,s8,,2016-01-13,,14:39:29,action
Presented to President.,s8,,2016-01-15,,,topresident
Signed by President.,s8,,2016-01-16,ENACTED:SIGNED,,signed
Became Public Law No: 114-320.,s8,,2016-01-16,,,enacted
Introduced in Senate,s9,,2016-01-01,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s9,SSHR,2016-01-01,REFERRED,,referral
Introduced in Senate,s10,,2016-01-01,INTRODUCED,,action
"Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Unanimous Consent.",s10,,2016-01-01,PASS_OVER:SENATE,,vote
Message on Senate action sent to the House.,s10,,2016-01-02,,,action
Received in the House.,s10,,2016-01-02,,11:39:43,action
Referred to the House Committee on the Judiciary.,s10,HSJU,2016-01-02,,,referral
Referred to the Subcommittee on the Constitution and Civil Justice.,s10,HSJU,2016-01-22,,,referral
Introduced in Senate,s11,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s11,SSJU,2015-01-06,REFERRED,,referral
Introduced in Senate,s12,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s12,SSFI,2015-01-06,REFERRED,,referral
Introduced in Senate,s13,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s13,SSEG,2015-01-06,REFERRED,,referral
Introduced in Senate,s14,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s14,SSEG,2015-01-06,REFERRED,,referral
Introduced in Senate,s15,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s15,SSEG,2015-01-06,REFERRED,,referral
Committee on Energy and Natural Resources. Hearings held.,s15,SSEG,2015-01-09,,,hearings
Introduced in Senate,s16,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s16,SSFI,2015-01-06,REFERRED,,referral
Introduced in Senate,s17,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s17,SSGA,2015-01-06,REFERRED,,referral
Introduced in Senate,s18,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Rules and Administration.,s18,SSRA,2015-01-06,REFERRED,,referral
Introduced in Senate,s19,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s19,SSGA,2015-01-06,REFERRED,,referral
Introduced in Senate,s20,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Budget.,s20,SSBU,2015-01-06,REFERRED,,referral
Introduced in Senate,s21,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s21,SSGA,2015-01-06,REFERRED,,referral
Introduced in Senate,s22,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s22,SSJU,2015-01-06,REFERRED,,referral
Introduced in Senate,s23,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s23,SSJU,2015-01-06,REFERRED,,referral
Introduced in Senate,s24,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s24,SSJU,2015-01-06,REFERRED,,referral
Introduced in Senate,s25,,2015-01-06,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s25,SSBK,2015-01-06,REFERRED,,referral
Introduced in Senate,s26,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Armed Services.,s26,SSAS,2015-01-06,REFERRED,,referral
Introduced in Senate,s27,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s27,SSJU,2015-01-06,REFERRED,,referral
Introduced in Senate,s28,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Foreign Relations.,s28,SSFR,2015-01-06,REFERRED,,referral
Introduced in Senate,s29,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s29,SSJU,2015-01-06,REFERRED,,referral
Introduced in Senate,s30,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s30,SSFI,2015-01-06,REFERRED,,referral
Introduced in Senate,s31,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s31,SSFI,2015-01-06,REFERRED,,referral
Introduced in Senate,s32,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s32,SSFI,2015-01-06,REFERRED,,referral
Senate Committee on Finance discharged by Unanimous Consent.,s32,SSFI,2015-01-13,,,action
Referred to the Committee on the Judiciary by unanimous consent.,s32,SSJU,2015-01-13,,,referral
Committee on the Judiciary. Ordered to be reported without amendment favorably.,s32,SSJU,2015-01-17,REPORTED,,calendar
Committee on the Judiciary. Reported by Senator Grassley without amendment. Without written report.,s32,SSJU,2015-01-17,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 232.,s32,,2015-01-17,,,calendar
Passed Senate without amendment by Unanimous Consent.,s32,,2015-01-07,PASS_OVER:SENATE,,vote
Received in the House.,s32,,2015-01-08,,12:01:51,action
Message on Senate action sent to the House.,s32,,2015-01-08,,,action
Referred to House Judiciary,s32,HSJU,2015-01-08,,,referral
"Referred to the Committee on the Judiciary, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",s32,,2015-01-08,,,referral
Referred to House Energy and Commerce,s32,HSIF,2015-01-08,,,referral
Referred to the Subcommittee on Health.,s32,HSIF,2015-01-09,,,referral
"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.",s32,HSJU,2015-01-03,,,referral
Committee on United States Senate Caucus on International Narcotics Control. Hearings held.,s32,SCNC,2015-01-17,,,hearings
Mr. Goodlatte moved to suspend the rules and pass the bill.,s32,,2016-01-10,,16:30:46,action
Considered under suspension of the rules.,s32,,2016-01-10,,16:30:55,action
DEBATE - The House proceeded with forty minutes of debate on S. 32.,s32,,2016-01-10,,16:30:57,action
On motion to suspend the rules and pass the bill Agreed to by voice vote.,s32,,2016-01-10,PASSED:BILL,16:54:26,vote
Motion to reconsider laid on the table Agreed to without objection.,s32,,2016-01-10,,16:54:27,action
Presented to President.,s32,,2016-01-13,,,topresident
Signed by President.,s32,,2016-01-16,ENACTED:SIGNED,,signed
Became Public Law No: 114-154.,s32,,2016-01-16,,,enacted
Introduced in Senate,s33,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s33,SSEG,2015-01-06,REFERRED,,referral
Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 114-9.,s33,SSEG,2015-01-29,,,hearings
Introduced in Senate,s34,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Foreign Relations.,s34,SSFR,2015-01-06,REFERRED,,referral
Introduced in Senate,s35,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on Indian Affairs.,s35,SLIA,2015-01-06,REFERRED,,referral
Committee on Indian Affairs. Ordered to be reported without amendment favorably.,s35,SLIA,2015-01-18,REPORTED,,calendar
Committee on Indian Affairs. Reported by Senator Barrasso without amendment. With written report No. 114-139. Additional views filed.,s35,SLIA,2015-01-10,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 219.,s35,,2015-01-10,,,calendar
Introduced in Senate,s36,,2015-01-06,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s36,SSJU,2015-01-06,REFERRED,,referral
Introduced in Senate,s37,,2015-01-06,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s37,SSHR,2015-01-06,REFERRED,,referral
Introduced in Senate,s38,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s38,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s39,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s39,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s40,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s40,SSCM,2015-01-07,REFERRED,,referral
Introduced in Senate,s41,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s41,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s42,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s42,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s43,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s43,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s44,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s44,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s45,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s45,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s46,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Foreign Relations.,s46,SSFR,2015-01-07,REFERRED,,referral
Introduced in Senate,s47,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s47,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s48,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s48,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s49,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s49,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s50,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s50,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s51,,2015-01-07,INTRODUCED,,action
"Referred to the Committee on Health, Education, Labor, and Pensions.",s51,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s52,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s52,SSBK,2015-01-07,REFERRED,,referral
Introduced in Senate,s53,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s53,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s54,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s54,SSEV,2015-01-07,REFERRED,,referral
Introduced in Senate,s55,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s55,SSEG,2015-01-07,REFERRED,,referral
Introduced in Senate,s56,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s56,SSCM,2015-01-07,REFERRED,,referral
Introduced in Senate,s57,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",s57,SSAF,2015-01-07,REFERRED,,referral
Introduced in Senate,s58,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s58,SSEV,2015-01-07,REFERRED,,referral
Introduced in Senate,s59,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s59,SSEG,2015-01-07,REFERRED,,referral
Introduced in Senate,s60,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s60,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s61,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",s61,SSAF,2015-01-07,REFERRED,,referral
"Committee on Agriculture, Nutrition, and Forestry. Hearings held.",s61,SSAF,2015-01-16,,,hearings
Introduced in Senate,s62,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s62,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s63,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s63,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s64,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s64,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s65,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s65,SSBK,2015-01-07,REFERRED,,referral
Introduced in Senate,s66,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s66,SSEV,2015-01-07,REFERRED,,referral
Introduced in Senate,s67,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s67,SSBK,2015-01-07,REFERRED,,referral
"Committee on Banking, Housing, and Urban Affairs. Hearings held.",s67,SSBK,2015-01-30,,,hearings
Introduced in Senate,s68,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s68,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s69,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s69,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s70,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s70,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s71,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s71,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s72,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s72,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s73,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s73,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s74,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s74,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s75,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s75,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s76,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s76,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s77,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s77,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s78,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s78,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s79,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s79,SSBK,2015-01-07,REFERRED,,referral
Introduced in Senate,s80,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s80,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s81,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s81,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s82,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s82,SSEG,2015-01-07,REFERRED,,referral
Introduced in Senate,s83,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s83,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s84,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s84,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s85,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s85,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s86,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s86,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s87,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s87,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s88,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s88,SSEV,2015-01-07,REFERRED,,referral
Introduced in Senate,s89,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s89,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s90,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s90,SSEV,2015-01-07,REFERRED,,referral
Introduced in Senate,s91,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s91,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s92,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s92,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s93,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Foreign Relations.,s93,SSFR,2015-01-07,REFERRED,,referral
Introduced in Senate,s94,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s94,SSBK,2015-01-07,REFERRED,,referral
Introduced in Senate,s95,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s95,SSGA,2015-01-07,REFERRED,,referral
Senate Committee on Homeland Security and Governmental Affairs discharged by Unanimous Consent.,s95,SSGA,2015-01-14,,,action
"Referred to the Committee on Banking, Housing, and Urban Affairs.",s95,SSBK,2015-01-14,,,referral
Introduced in Senate,s96,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s96,SSBK,2015-01-07,REFERRED,,referral
Introduced in Senate,s97,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s97,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s98,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s98,SSJU,2015-01-07,REFERRED,,referral
Introduced in Senate,s99,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s99,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s100,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s100,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s101,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s101,SSFI,2015-01-07,REFERRED,,referral
Introduced in Senate,s102,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s102,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s103,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Appropriations.,s103,SSAP,2015-01-07,REFERRED,,referral
Introduced in Senate,s104,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s104,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s105,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s105,SSCM,2015-01-07,REFERRED,,referral
Introduced in Senate,s106,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s106,SSEV,2015-01-07,REFERRED,,referral
Introduced in Senate,s107,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s107,SSBK,2015-01-07,REFERRED,,referral
Introduced in Senate,s108,,2015-01-07,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s108,SSHR,2015-01-07,REFERRED,,referral
Introduced in Senate,s109,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Rules and Administration.,s109,SSRA,2015-01-07,REFERRED,,referral
Introduced in Senate,s110,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s110,SSEV,2015-01-07,REFERRED,,referral
Introduced in Senate,s111,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s111,SSGA,2015-01-07,REFERRED,,referral
Introduced in Senate,s112,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Environment and Public Works.,s112,SSEV,2015-01-07,REFERRED,,referral
Committee on Environment and Public Works. Hearings held.,s112,SSEV,2015-01-06,,,hearings
Introduced in Senate,s113,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s113,SSEG,2015-01-07,REFERRED,,referral
Introduced in Senate,s114,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Veterans' Affairs.,s114,SSVA,2015-01-07,REFERRED,,referral
Committee on Veterans' Affairs. Hearings held.,s114,SSVA,2015-01-03,,,hearings
Introduced in Senate,s115,,2015-01-07,INTRODUCED,,action
Read twice and referred to the Committee on Small Business and Entrepreneurship.,s115,SSSB,2015-01-07,REFERRED,,referral
Introduced in Senate,s116,,2015-01-07,INTRODUCED,,action
