_action_text,_bill,_committees,_date,_status,_time,_type
Introduced in Senate,s1,,2017-01-28,INTRODUCED,,action
Committee on the Budget. Original measure reported to Senate by Senator Enzi. Without written report.,s1,SSBU,2017-01-28,,,action
Placed on Senate Legislative Calendar under General Orders. Calendar No. 269.,s1,,2017-01-28,REPORTED,,calendar
Introduced in Senate,s11,,2017-01-03,INTRODUCED,,action
Read twice and referred to the Committee on Foreign Relations.,s11,SSFR,2017-01-03,REFERRED,,referral
Introduced in Senate,s12,,2017-01-03,INTRODUCED,,action
Read twice and referred to the Committee on Veterans' Affairs.,s12,SSVA,2017-01-03,REFERRED,,referral
Senate Committee on Veterans' Affairs discharged by Unanimous Consent.,s12,SSVA,2017-01-25,,,action
Measure laid before Senate by unanimous consent.,s12,,2017-01-25,,,action
Passed Senate with an amendment by Unanimous Consent.,s12,,2017-01-25,PASS_OVER:SENATE,,vote
Message on Senate action sent to the House.,s12,,2017-01-25,,,action
Received in the House.,s12,,2017-01-26,,10:02:08,action
Referred to the House Committee on Veterans' Affairs.,s12,HSVR,2017-01-26,,,referral
Introduced in Senate,s13,,2017-01-03,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s13,SSFI,2017-01-03,REFERRED,,referral
Introduced in Senate,s14,,2017-01-03,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s14,SSGA,2017-01-03,REFERRED,,referral
Introduced in Senate,s15,,2017-01-03,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s15,SSBK,2017-01-03,REFERRED,,referral
Introduced in Senate,s16,,2017-01-03,INTRODUCED,,action
"Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",s16,SSBK,2017-01-03,REFERRED,,referral
Introduced in Senate,s17,,2017-01-03,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s17,SSGA,2017-01-03,REFERRED,,referral
Introduced in Senate,s18,,2017-01-03,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s18,SSFI,2017-01-03,REFERRED,,referral
Introduced in Senate,s19,,2017-01-03,INTRODUCED,,action
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s19,SSCM,2017-01-03,REFERRED,,referral
"Committee on Commerce, Science, and Transportation. Ordered to be reported with an amendment in the nature of a substitute favorably.",s19,SSCM,2017-01-24,REPORTED,,calendar
"Committee on Commerce, Science, and Transportation. Reported by Senator Thune with an amendment in the nature of a substitute. With written report No. 115-4.",s19,SSCM,2017-01-21,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 17.,s19,,2017-01-21,,,calendar
Passed Senate with an amendment by Unanimous Consent.,s19,,2017-01-03,PASS_OVER:SENATE,,vote
Message on Senate action sent to the House.,s19,,2017-01-04,,,action
Received in the House.,s19,,2017-01-04,,13:06:28,action
Held at the desk.,s19,,2017-01-04,,14:31:57,action
Introduced in Senate,s20,,2017-01-03,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s20,SSFI,2017-01-03,REFERRED,,referral
Introduced in Senate,s21,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s21,SSGA,2017-01-04,REFERRED,,referral
Committee on Homeland Security and Governmental Affairs. Ordered to be reported without amendment favorably.,s21,SSGA,2017-01-17,REPORTED,,calendar
Committee on Homeland Security and Governmental Affairs. Reported by Senator Johnson with amendments. With written report No. 115-169. Minority views filed.,s21,SSGA,2017-01-16,,,reported
Placed on Senate Legislative Calendar under General Orders. Calendar No. 239.,s21,,2017-01-16,,,calendar
Introduced in Senate,s22,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s22,SSEG,2017-01-04,REFERRED,,referral
Introduced in Senate,s23,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Veterans' Affairs.,s23,SSVA,2017-01-04,REFERRED,,referral
Committee on Veterans' Affairs. Hearings held.,s23,SSVA,2017-01-17,,,hearings
Introduced in Senate,s24,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Veterans' Affairs.,s24,SSVA,2017-01-04,REFERRED,,referral
Introduced in Senate,s25,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s25,SSFI,2017-01-04,REFERRED,,referral
Introduced in Senate,s26,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Rules and Administration.,s26,SSRA,2017-01-04,REFERRED,,referral
Introduced in Senate,s27,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Rules and Administration.,s27,SSRA,2017-01-04,REFERRED,,referral
Introduced in Senate,s28,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Finance.,s28,SSFI,2017-01-04,REFERRED,,referral
Introduced in Senate,s29,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s29,SSGA,2017-01-04,REFERRED,,referral
Introduced in Senate,s30,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on the Judiciary.,s30,SSJU,2017-01-04,REFERRED,,referral
Introduced in Senate,s31,,2017-01-04,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s31,SSEG,2017-01-04,REFERRED,,referral
Introduced in Senate,s32,,2017-01-05,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s32,SSEG,2017-01-05,REFERRED,,referral
"Committee on Energy and Natural Resources Subcommittee on Public Lands, Forests, and Mining. Hearings held.",s32,SSEG,2017-01-26,,,hearings
Introduced in Senate,s33,,2017-01-05,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s33,SSEG,2017-01-05,REFERRED,,referral
Introduced in Senate,s34,,2017-01-05,INTRODUCED,,action
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s34,SSGA,2017-01-05,REFERRED,,referral
