_bill,_district,_joined_at,_name,_state,_title,_type
s1,0,2009-01-06,"Reid, Harry",NV,Sen,sponsor
s1,0,2009-01-06,"Begich, Mark",AK,Sen,cosponsor
s1,0,2009-01-06,"Bingaman, Jeff",NM,Sen,cosponsor
s1,0,2009-01-06,"Boxer, Barbara",CA,Sen,cosponsor
s1,0,2009-01-07,"Brown, Sherrod",OH,Sen,cosponsor
s1,0,2009-01-06,"Casey, Robert P., Jr.",PA,Sen,cosponsor
s1,0,2009-01-06,"Clinton, Hillary Rodham",NY,Sen,cosponsor
s1,0,2009-01-06,"Durbin, Richard",IL,Sen,cosponsor
s1,0,2009-01-06,"Kennedy, Edward M.",MA,Sen,cosponsor
s1,0,2009-01-06,"Kerry, John F.",MA,Sen,cosponsor
s1,0,2009-01-06,"Klobuchar, Amy",MN,Sen,cosponsor
s1,0,2009-01-06,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s1,0,2009-01-06,"Levin, Carl",MI,Sen,cosponsor
s1,0,2009-01-06,"Lieberman, Joseph I.",CT,Sen,cosponsor
s1,0,2009-01-06,"McCaskill, Claire",MO,Sen,cosponsor
s1,0,2009-01-06,"Menendez, Robert",NJ,Sen,cosponsor
s1,0,2009-01-06,"Schumer, Charles E.",NY,Sen,cosponsor
s1,0,2009-01-06,"Stabenow, Debbie",MI,Sen,cosponsor
s2,0,2009-01-06,"Reid, Harry",NV,Sen,sponsor
s2,0,2009-01-06,"Begich, Mark",AK,Sen,cosponsor
s2,0,2009-01-06,"Bingaman, Jeff",NM,Sen,cosponsor
s2,0,2009-01-06,"Boxer, Barbara",CA,Sen,cosponsor
s2,0,2009-01-07,"Brown, Sherrod",OH,Sen,cosponsor
s2,0,2009-01-06,"Casey, Robert P., Jr.",PA,Sen,cosponsor
s2,0,2009-01-06,"Clinton, Hillary Rodham",NY,Sen,cosponsor
s2,0,2009-01-06,"Durbin, Richard",IL,Sen,cosponsor
s2,0,2009-01-06,"Kennedy, Edward M.",MA,Sen,cosponsor
s2,0,2009-01-06,"Kerry, John F.",MA,Sen,cosponsor
s2,0,2009-01-06,"Klobuchar, Amy",MN,Sen,cosponsor
s2,0,2009-01-06,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s2,0,2009-01-06,"Levin, Carl",MI,Sen,cosponsor
s2,0,2009-01-06,"Lieberman, Joseph I.",CT,Sen,cosponsor
s2,0,2009-01-06,"McCaskill, Claire",MO,Sen,cosponsor
s2,0,2009-01-06,"Menendez, Robert",NJ,Sen,cosponsor
s2,0,2009-01-06,"Mikulski, Barbara A.",MD,Sen,cosponsor
s2,0,2009-01-06,"Schumer, Charles E.",NY,Sen,cosponsor
s2,0,2009-01-06,"Stabenow, Debbie",MI,Sen,cosponsor
s3,0,2009-01-06,"Reid, Harry",NV,Sen,sponsor
s3,0,2009-01-06,"Begich, Mark",AK,Sen,cosponsor
s3,0,2009-01-06,"Bingaman, Jeff",NM,Sen,cosponsor
s3,0,2009-01-06,"Boxer, Barbara",CA,Sen,cosponsor
s3,0,2009-01-07,"Brown, Sherrod",OH,Sen,cosponsor
s3,0,2009-01-06,"Casey, Robert P., Jr.",PA,Sen,cosponsor
s3,0,2009-01-06,"Clinton, Hillary Rodham",NY,Sen,cosponsor
s3,0,2009-01-06,"Durbin, Richard",IL,Sen,cosponsor
s3,0,2009-01-06,"Kennedy, Edward M.",MA,Sen,cosponsor
s3,0,2009-01-06,"Kerry, John F.",MA,Sen,cosponsor
s3,0,2009-01-06,"Klobuchar, Amy",MN,Sen,cosponsor
s3,0,2009-01-06,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s3,0,2009-01-06,"Levin, Carl",MI,Sen,cosponsor
