,district,name,state
57,12,"Bilirakis, Gus M.",FL
58,8,"Bishop, Mike",MI
59,7,"Blackburn, Marsha",TN
60,1,"Bonamici, Suzanne",OR
61,0,"Bordallo, Madeleine Z.",GU
62,13,"Boyle, Brendan F.",PA
63,1,"Brady, Robert A.",PA
64,5,"Brooks, Susan W.",IN
65,5,"Brown, Corrine",FL
66,26,"Brownley, Julia",CA
67,8,"Bucshon, Larry",IN
68,17,"Bustos, Cheri",IL
69,1,"Butterfield, G. K.",NC
70,42,"Calvert, Ken",CA
71,24,"Capps, Lois",CA
72,7,"Capuano, Michael E.",MA
73,29,"Cardenas, Tony",CA
74,17,"Cartwright, Matt",PA
75,14,"Castor, Kathy",FL
76,20,"Castro, Joaquin",TX
77,1,"Chabot, Steve",OH
78,27,"Chu, Judy",CA
79,1,"Cicilline, David N.",RI
80,5,"Clark, Katherine M.",MA
81,9,"Clarke, Yvette D.",NY
82,5,"Cleaver, Emanuel",MO
83,6,"Coffman, Mike",CO
84,9,"Cohen, Steve",TN
85,27,"Collins, Chris",NY
86,9,"Collins, Doug",GA
87,10,"Comstock, Barbara",VA
88,16,"Costa, Jim",CA
89,6,"Costello, Ryan A.",PA
90,4,"Crenshaw, Ander",FL
91,53,"Davis, Susan A.",CA
92,1,"DeGette, Diana",CO
93,6,"Delaney, John K.",MD
94,1,"DelBene, Suzan K.",WA
95,11,"DeSaulnier, Mark",CA
96,4,"DesJarlais, Scott",TN
97,25,"Diaz-Balart, Mario",FL
98,12,"Dingell, Debbie",MI
99,10,"Dold, Robert J.",IL
100,11,"Donovan, Daniel M., Jr.",NY
101,14,"Doyle, Michael F.",PA
102,8,"Duckworth, Tammy",IL
103,4,"Edwards, Donna F.",MD
104,5,"Ellison, Keith",MN
105,16,"Engel, Eliot L.",NY
106,18,"Eshoo, Anna G.",CA
107,20,"Farr, Sam",CA
108,2,"Fattah, Chaka",PA
109,17,"Flores, Bill",TX
110,1,"Fortenberry, Jeff",NE
111,22,"Frankel, Lois",FL
112,11,"Fudge, Marcia L.",OH
113,3,"Garamendi, John",CA
114,7,"Gibbs, Bob",OH
115,19,"Gibson, Christopher P.",NY
116,9,"Griffith, H. Morgan",VA
117,1,"Guinta, Frank C.",NH
118,4,"Gutierrez, Luis V.",IL
119,44,"Hahn, Janice",CA
120,22,"Hanna, Richard L.",NY
121,4,"Hardy, Cresent",NV
122,3,"Harper, Gregg",MS
123,1,"Harris, Andy",MD
124,20,"Hastings, Alcee L.",FL
125,10,"Heck, Denny",WA
126,3,"Herrera Beutler, Jaime",WA
127,26,"Higgins, Brian",NY
128,15,"Hinojosa, Ruben",TX
129,5,"Hoyer, Steny H.",MD
130,8,"Hudson, Richard",NC
131,2,"Huffman, Jared",CA
132,2,"Huizenga, Bill",MI
133,14,"Hultgren, Randy",IL
134,3,"Israel, Steve",NY
135,18,"Jackson Lee, Sheila",TX
136,3,"Jenkins, Evan H.",WV
137,6,"Johnson, Bill",OH
138,30,"Johnson, Eddie Bernice",TX
139,4,"Johnson, Henry C. ""Hank,"" Jr.",GA
140,14,"Joyce, David P.",OH
141,9,"Kaptur, Marcy",OH
142,24,"Katko, John",NY
143,9,"Keating, William R.",MA
144,2,"Kelly, Robin L.",IL
145,4,"Kennedy, Joseph P., III",MA
146,5,"Kildee, Daniel T.",MI
147,6,"Kilmer, Derek",WA
148,3,"Kind, Ron",WI
149,16,"Kinzinger, Adam",IL
150,1,"Kirkpatrick, Ann",AZ
151,25,"Knight, Stephen",CA
152,2,"Kuster, Ann M.",NH
153,1,"LaMalfa, Doug",CA
154,7,"Lance, Leonard",NJ
155,2,"Langevin, James R.",RI
156,1,"Larson, John B.",CT
157,5,"Latta, Robert E.",OH
158,14,"Lawrence, Brenda L.",MI
159,13,"Lee, Barbara",CA
160,5,"Lewis, John",GA
161,33,"Lieu, Ted",CA
