_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-26_12-42-30,s,s1-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Cory Gardner,G000562,CO,Sen.,R,2019-01-03
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Mitch McConnell,M000355,KY,Sen.,R,2019-01-03
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Roy Blunt,B000575,MO,Sen.,R,2019-01-03
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Kevin Cramer,C001096,ND,Sen.,R,2019-01-08
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Ted Cruz,C001098,TX,Sen.,R,2019-01-08
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Roger Wicker,W000437,MS,Sen.,R,2019-01-08
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Jim Risch,R000584,ID,Sen.,R,2019-01-09
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Cindy Hyde-Smith,H001079,MS,Sen.,R,2019-01-10
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Susan Collins,C001035,ME,Sen.,R,2019-01-14
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Mike Rounds,R000605,SD,Sen.,R,2019-01-28
2021-02-26_12-42-30,s,s1-116,116,cosponsor,Pat Roberts,R000307,KS,Sen.,R,2019-01-29
2021-02-26_12-42-30,s,s1-116,116,cosponsor,James M. Inhofe,I000024,OK,Sen.,R,2019-01-30
2021-02-26_12-42-30,s,s2-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-30,s,s2-116,116,cosponsor,Tammy Baldwin,B001230,WI,Sen.,D,2019-01-03
2021-02-26_12-42-30,s,s2-116,116,cosponsor,Joshua Hawley,H001089,MO,Sen.,R,2019-05-02
2021-02-26_12-42-30,s,s3-116,116,sponsor,Benjamin L. Cardin,C000141,MD,Sen.,D,2019-01-03
2021-02-26_12-42-31,s,s4-116,116,sponsor,Kamala Harris,H001075,CA,Sen.,D,2019-01-03
2021-02-26_12-42-31,s,s5-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-32,s,s6-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-32,s,s7-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-32,s,s7-116,116,cosponsor,Jack Reed,R000122,RI,Sen.,D,2019-01-03
2021-02-26_12-42-32,s,s7-116,116,cosponsor,Angus King,K000383,ME,Sen.,ID,2019-01-03
2021-02-26_12-42-32,s,s7-116,116,cosponsor,Susan Collins,C001035,ME,Sen.,R,2019-01-03
2021-02-26_12-42-33,s,s8-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-34,s,s9-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Cory Gardner,G000562,CO,Sen.,R,2019-01-03
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Joe Manchin III,M001183,WV,Sen.,D,2019-01-03
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Tom Cotton,C001095,AR,Sen.,R,2019-01-03
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Robert Menendez,M000639,NJ,Sen.,D,2019-01-03
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Joni Ernst,E000295,IA,Sen.,R,2019-01-03
2021-02-26_12-42-34,s,s9-116,116,cosponsor,John Barrasso,B001261,WY,Sen.,R,2019-01-08
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Bob Casey,C001070,PA,Sen.,D,2019-01-08
2021-02-26_12-42-34,s,s9-116,116,cosponsor,James M. Inhofe,I000024,OK,Sen.,R,2019-01-08
2021-02-26_12-42-34,s,s9-116,116,cosponsor,John Kennedy,K000393,LA,Sen.,R,2019-01-08
2021-02-26_12-42-34,s,s9-116,116,cosponsor,John Boozman,B001236,AR,Sen.,R,2019-01-08
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Lindsey Graham,G000359,SC,Sen.,R,2019-03-04
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Jon Tester,T000464,MT,Sen.,D,2019-06-04
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Patrick J. Toomey,T000461,PA,Sen.,R,2019-07-09
2021-02-26_12-42-34,s,s9-116,116,cosponsor,Rick Scott,S001217,FL,Sen.,R,2019-07-15
2021-02-26_12-42-34,s,s10-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-34,s,s10-116,116,cosponsor,Rick Scott,S001217,FL,Sen.,R,2019-06-04
2021-02-26_12-42-35,s,s11-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-35,s,s11-116,116,cosponsor,John Cornyn,C001056,TX,Sen.,R,2019-01-03
2021-02-26_12-42-35,s,s12-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-35,s,s12-116,116,cosponsor,Lisa Murkowski,M001153,AK,Sen.,R,2019-01-24
2021-02-26_12-42-35,s,s12-116,116,cosponsor,Tim Scott,S001184,SC,Sen.,R,2019-11-06
2021-02-26_12-42-36,s,s13-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-36,s,s13-116,116,cosponsor,Rick Scott,S001217,FL,Sen.,R,2019-09-10
2021-02-26_12-42-37,s,s14-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-37,s,s15-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-38,s,s16-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-38,s,s16-116,116,cosponsor,Johnny Isakson,I000055,GA,Sen.,R,2019-03-27
2021-02-26_12-42-38,s,s16-116,116,cosponsor,David Perdue,P000612,GA,Sen.,R,2019-04-04
2021-02-26_12-42-38,s,s16-116,116,cosponsor,Rick Scott,S001217,FL,Sen.,R,2019-06-20
2021-02-26_12-42-38,s,s16-116,116,cosponsor,Kelly Loeffler,L000594,GA,Sen.,R,2020-05-12
2021-02-26_12-42-38,s,s17-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-39,s,s18-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-39,s,s19-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,sponsor,Ron Wyden,W000779,OR,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Tammy Baldwin,B001230,WI,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Michael Bennet,B001267,CO,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Cory Booker,B001288,NJ,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Benjamin L. Cardin,C000141,MD,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Thomas R. Carper,C000174,DE,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Christopher A. Coons,C001088,DE,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Kirsten E. Gillibrand,G000555,NY,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Kamala Harris,H001075,CA,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Tim Kaine,K000384,VA,Sen.,D,2019-01-03
2021-02-26_12-42-40,s,s20-116,116,cosponsor,Patrick J. Leahy,L000174,VT,Sen.,D,2019-01-03
