_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
1,2017-01-02 00:11:00,An Act to provide for reconciliation pursuant to titles II and V of the concurrent resolution on the budget for fiscal year 2018.,True,True,115,Tax Cuts and Jobs Act,ENACTED:SIGNED,Taxation,hr
2,2018-01-12 00:04:00,"To provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2023, and for other purposes.",True,True,115,Agriculture Improvement Act of 2018,PASS_BACK:SENATE,Agriculture and food,hr
3,2018-01-09 00:05:00,"To rescind certain budget authority proposed to be rescinded in special messages transmitted to the Congress by the President on May 8, 2018, in accordance with title X of the Congressional Budget and Impoundment Control Act 1974.",True,False,115,Spending Cuts to Expired and Unnecessary Programs Act,PASS_OVER:HOUSE,Economics and public finance,hr
4,2018-01-13 00:04:00,"To reauthorize programs of the Federal Aviation Administration, and for other purposes.",True,False,115,FAA Reauthorization Act of 2018,PASS_OVER:HOUSE,Transportation and public works,hr
5,2017-01-03 00:01:00,"To reform the process by which Federal agencies analyze and formulate new regulations and guidance documents, to clarify the nature of judicial review of agency interpretations, to ensure complete analysis of potential impacts on small entities of rules, and for other purposes.",True,False,115,Regulatory Accountability Act of 2017,PASS_OVER:HOUSE,Government operations and politics,hr
6,2018-01-13 00:06:00,"To provide for opioid use disorder prevention, recovery, and treatment, and for other purposes.",True,False,115,Substance Use-Disorder Prevention that Promotes Opioid Recovery and Treatment for Patients and Communities Act,PASS_OVER:HOUSE,Health,hr
7,2017-01-13 00:01:00,To prohibit taxpayer funded abortions.,True,False,115,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017,PASS_OVER:HOUSE,"Civil rights and liberties, minority issues",hr
8,2018-01-18 00:05:00,"To provide for improvements to the rivers and harbors of the United States, to provide for the conservation and development of water and related resources, and for other purposes.",True,False,115,Water Resources Development Act of 2018,PASS_OVER:HOUSE,Water resources development,hr
10,2017-01-26 00:04:00,"To create hope and opportunity for investors, consumers, and entrepreneurs by ending bailouts and Too Big to Fail, holding Washington and Wall Street accountable, eliminating red tape to increase access to capital and credit, and repealing the provisions of the Dodd-Frank Act that make America less prosperous, less stable, and less free, and for other purposes.",True,False,115,Financial CHOICE Act of 2017,PASS_OVER:HOUSE,Finance and financial sector,hr
12,2017-01-23 00:06:00,"To modernize voter registration, promote access to voting for individuals with disabilities, protect the ability of individuals to exercise the right to vote in elections for Federal office, and for other purposes.",False,False,115,Voter Empowerment Act of 2017,REFERRED,Government operations and politics,hr
