_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Brady, Kevin",TX,8,Rep,TX8,Brady,kevinbrady,Kevin Brady,Republican,RepKevinBrady,-1
"Bishop, Mike",MI,8,Rep,MI8,Bishop,RepMikeBishop,Mike Bishop,Republican,RepMikeBishop,-1
"Black, Diane",TN,6,Rep,TN6,Black,DianeBlackTN06,Diane Black,Republican,RepDianeBlack,-1
"Buchanan, Vern",FL,16,Rep,FL16,Buchanan,CongressmanBuchanan,Vern Buchanan,Republican,VernBuchanan,-1
"Curbelo, Carlos",FL,26,Rep,FL26,Curbelo,repcurbelo,Carlos Curbelo,Republican,RepCurbelo,-1
"Holding, George",NC,2,Rep,NC2,Holding,CongressmanGeorgeHolding,George Holding,Republican,RepHolding,-1
"Jenkins, Lynn",KS,2,Rep,KS2,Jenkins,replynnjenkins,Lynn Jenkins,Republican,RepLynnJenkins,-1
"Johnson, Sam",TX,3,Rep,TX3,Johnson,RepSamJohnson,Sam Johnson,Republican,SamsPressShop,-1
"Kelly, Mike",PA,3,Rep,PA3,Kelly,191056827594903,Mike Kelly,Republican,MikeKellyPA,-1
"Marchant, Kenny",TX,24,Rep,TX24,Marchant,RepKennyMarchant,Kenny Marchant,Republican,RepKenMarchant,-1
"Meehan, Patrick",PA,7,Rep,PA7,Meehan,CongressmanPatrickMeehan,Patrick Meehan,Republican,RepMeehan,-1
"Noem, Kristi L.",SD,0,Rep,SD0,Noem,,Kristi L. Noem,Republican,RepKristiNoem,-1
"Nunes, Devin",CA,22,Rep,CA22,Nunes,,Devin Nunes,Republican,RepDevinNunes,-1
"Paulsen, Erik",MN,3,Rep,MN3,Paulsen,CongressmanErikPaulsen,Erik Paulsen,Republican,RepErikPaulsen,-1
"Reed, Tom",NY,23,Rep,NY23,Reed,RepTomReed,Tom Reed,Republican,RepTomReed,-1
"Reichert, David G.",WA,8,Rep,WA8,Reichert,repdavereichert,David G. Reichert,Republican,DaveReichert,-1
"Renacci, James B.",OH,16,Rep,OH16,Renacci,repjimrenacci,James B. Renacci,Republican,RepJimRenacci,-1
"Rice, Tom",SC,7,Rep,SC7,Rice,reptomrice,Tom Rice,Republican,RepTomRice,-1
"Roskam, Peter J.",IL,6,Rep,IL6,Roskam,PeterRoskam,Peter J. Roskam,Republican,PeterRoskam,-1
"Ryan, Paul D.",WI,1,Rep,WI1,Ryan,speakerryan,Paul D. Ryan,Republican,SpeakerRyan,-1
"Schweikert, David",AZ,6,Rep,AZ6,Schweikert,repdavidschweikert,David Schweikert,Republican,RepDavid,-1
"Smith, Adrian",NE,3,Rep,NE3,Smith,,Adrian Smith,Republican,RepAdrianSmith,-1
"Smith, Jason",MO,8,Rep,MO8,Smith,repjasonsmith,Jason Smith,Republican,RepJasonSmith,-1
"Tiberi, Patrick J.",OH,12,Rep,OH12,Tiberi,RepPatTiberi,Patrick J. Tiberi,Republican,pattiberi,-1
"Walorski, Jackie",IN,2,Rep,IN2,Walorski,RepJackieWalorski,Jackie Walorski,Republican,RepWalorski,-1
"Conaway, K. Michael",TX,11,Rep,TX11,Conaway,mike.conaway,K. Michael Conaway,Republican,ConawayTX11,-1
"McCarthy, Kevin",CA,23,Rep,CA23,McCarthy,CongressmanKevinMcCarthy,Kevin McCarthy,Republican,GOPLeader,-1
"Aderholt, Robert B.",AL,4,Rep,AL4,Aderholt,RobertAderholt,Robert B. Aderholt,Republican,Robert_Aderholt,-1
