_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
1,2011-01-11 00:02:00,"An act making appropriations for disaster relief for the fiscal year ending September 30, 2013, and for other purposes.",True,True,112,"Disaster Relief Appropriations Act, 2013",PASS_BACK:SENATE,Economics and public finance,hr
2,2011-01-05 00:01:00,To repeal the job-killing health care law and health care-related provisions in the Health Care and Education Reconciliation Act of 2010.,True,False,112,Repealing the Job-Killing Health Care Law Act,PASS_OVER:HOUSE,Health,hr
3,2011-01-20 00:01:00,"To prohibit taxpayer funded abortions and to provide for conscience protections, and for other purposes.",True,False,112,No Taxpayer Funding for Abortion Act,PASS_OVER:HOUSE,Health,hr
4,2011-01-12 00:01:00,"To repeal the expansion of information reporting requirements for payments of $600 or more to corporations, and for other purposes.",True,True,112,Comprehensive 1099 Taxpayer Protection and Repayment of Exchange Subsidy Overpayments Act of 2011,ENACTED:SIGNED,Taxation,hr
5,2011-01-24 00:01:00,To improve patient access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the health care delivery system.,True,False,112,Protecting Access to Healthcare Act,PASS_OVER:HOUSE,Health,hr
7,2012-01-31 00:01:00,"To authorize funds for Federal-aid highway, public transportation, and highway and motor carrier safety programs, and for other purposes.",False,False,112,American Energy and Infrastructure Jobs Act of 2012,REPORTED,Transportation and public works,hr
8,2012-01-24 00:07:00,"An act entitled the ""American Taxpayer Relief Act of 2012"".",True,True,112,American Taxpayer Relief Act of 2012,ENACTED:SIGNED,Taxation,hr
9,2012-01-21 00:03:00,To amend the Internal Revenue Code of 1986 to provide a deduction for domestic business income of qualified small businesses.,True,False,112,Small Business Tax Cut Act,PASS_OVER:HOUSE,Taxation,hr
10,2011-01-20 00:01:00,"To amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law.",True,False,112,Regulations From the Executive in Need of Scrutiny Act of 2011,PASS_OVER:HOUSE,Government operations and politics,hr
11,2011-01-10 00:02:00,To amend the Internal Revenue Code of 1986 to extend the Build America Bonds program.,False,False,112,Build America Bonds to Create Jobs Now Act of 2011,REFERRED,Taxation,hr
12,2011-01-21 00:09:00,"To provide tax relief for American workers and businesses, to put workers back on the job while rebuilding and modernizing America, and to provide pathways back to work for Americans looking for jobs.",False,False,112,American Jobs Act of 2011,REFERRED,Labor and employment,hr
14,2012-01-21 00:03:00,"To reauthorize Federal-aid highway and highway safety construction programs, and for other purposes.",False,False,112,MAP-21,REFERRED,Transportation and public works,hr
15,2012-01-30 00:07:00,To amend the Internal Revenue Code of 1986 to provide tax relief to middle-class families.,False,False,112,Middle Class Tax Cut Act,REFERRED,Taxation,hr
16,2012-01-30 00:07:00,"To provide estate, gift, and generation-skipping transfer tax relief.",False,False,112,Sensible Estate Tax Relief Act of 2012,REFERRED,Taxation,hr
21,2011-01-05 00:01:00,To amend the Internal Revenue Code of 1986 to repeal the mandate that individuals purchase health insurance.,False,False,112,Reclaiming Individual Liberty Act,REFERRED,Taxation,hr
