_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-26_00-59-58,hr,hr5001-116,116,sponsor,William Lacy Clay,C001049,MO,Rep.,D,2019-11-08
2021-02-26_01-00-02,hr,hr5002-116,116,sponsor,Dan Crenshaw,C001120,TX,Rep.,R,2019-11-08
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Jason Crow,C001121,CO,Rep.,D,2019-11-08
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Michael Waltz,W000823,FL,Rep.,R,2019-11-08
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Steve Cohen,C001068,TN,Rep.,D,2019-11-14
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Kendra Horn,H001083,OK,Rep.,D,2019-11-14
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Joe Wilson,W000795,SC,Rep.,R,2019-12-11
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Michael R. Turner,T000463,OH,Rep.,R,2019-12-11
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Julia Brownley,B001285,CA,Rep.,D,2020-01-10
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Brett Guthrie,G000558,KY,Rep.,R,2020-01-10
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Lance Gooden,G000589,TX,Rep.,R,2020-01-10
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Denver Riggleman,R000611,VA,Rep.,R,2020-01-10
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Guy Reschenthaler,R000610,PA,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Kevin Hern,H001082,OK,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Steve Womack,W000809,AR,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Cathy McMorris Rodgers,M001159,WA,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Harold Rogers,R000395,KY,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Joe Cunningham,C001122,SC,Rep.,D,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Mario Diaz-Balart,D000600,FL,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Michael McCaul,M001157,TX,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,John Carter,C001051,TX,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Pete Olson,O000168,TX,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Randy Weber,W000814,TX,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Brian Babin,B001291,TX,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Eleanor Holmes Norton,N000147,DC,Del.,D,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Lloyd Smucker,S001199,PA,Rep.,R,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Henry Cuellar,C001063,TX,Rep.,D,2020-01-28
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Bill Johnson,J000292,OH,Rep.,R,2020-01-29
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Neal Dunn,D000628,FL,Rep.,R,2020-01-29
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Warren Davidson,D000626,OH,Rep.,R,2020-01-29
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Phil Roe,R000582,TN,Rep.,R,2020-01-29
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,John Joyce,J000302,PA,Rep.,R,2020-01-29
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Don Young,Y000033,AK,Rep.,R,2020-01-29
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Ann Wagner,W000812,MO,Rep.,R,2020-01-29
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Denny Heck,H001064,WA,Rep.,D,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Tulsi Gabbard,G000571,HI,Rep.,D,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Raja Krishnamoorthi,K000391,IL,Rep.,D,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Tom Malinowski,M001203,NJ,Rep.,D,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Jim McGovern,M000312,MA,Rep.,D,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Jodey Arrington,A000375,TX,Rep.,R,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Michael C. Burgess,B001248,TX,Rep.,R,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Michael Cloud,C001115,TX,Rep.,R,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,K. Michael Conaway,C001062,TX,Rep.,R,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Bill Flores,F000461,TX,Rep.,R,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Will Hurd,H001073,TX,Rep.,R,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Kenny Marchant,M001158,TX,Rep.,R,2020-01-30
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Don Bacon,B001298,NE,Rep.,R,2020-02-04
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,David Trone,T000483,MD,Rep.,D,2020-02-04
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Chip Roy,R000614,TX,Rep.,R,2020-02-04
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Mark Walker,W000819,NC,Rep.,R,2020-02-04
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Bruce Westerman,W000821,AR,Rep.,R,2020-02-04
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Seth Moulton,M001196,MA,Rep.,D,2020-02-05
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Gilbert Cisneros,C001123,CA,Rep.,D,2020-02-06
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Sylvia Garcia,G000587,TX,Rep.,D,2020-02-06
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Mike Thompson,T000460,CA,Rep.,D,2020-02-06
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Ann Kirkpatrick,K000368,AZ,Rep.,D,2020-02-06
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Van Taylor,T000479,TX,Rep.,R,2020-02-07
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,John Ratcliffe,R000601,TX,Rep.,R,2020-02-07
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Dean Phillips,P000616,MN,Rep.,D,2020-02-11
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,James Baird,B001307,IN,Rep.,R,2020-02-11
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Tim Ryan,R000577,OH,Rep.,D,2020-02-11
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Jim Hagedorn,H001088,MN,Rep.,R,2020-02-12
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Steven J. Chabot,C000266,OH,Rep.,R,2020-02-26
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Richard E. Neal,N000015,MA,Rep.,D,2020-02-26
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Conor Lamb,L000588,PA,Rep.,D,2020-02-26
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Ross Spano,S001210,FL,Rep.,R,2020-02-27
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Mary Gay Scanlon,S001205,PA,Rep.,D,2020-03-02
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Brian Fitzpatrick,F000466,PA,Rep.,R,2020-03-02
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Cynthia Axne,A000378,IA,Rep.,D,2020-03-02
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Lori Trahan,T000482,MA,Rep.,D,2020-03-12
2021-02-26_01-00-02,hr,hr5002-116,116,cosponsor,Roger Marshall,M001198,KS,Rep.,R,2020-03-12
