_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_12-42-29,s,1,116,PARSED,Strengthening America's Security in the Middle East Act of 2019,"A bill to make improvements to certain defense and security assistance provisions and to authorize the appropriation of funds to Israel, to reauthorize the United States-Jordan Defense Cooperation Act of 2015, and to halt the wholesale slaughter of the Syrian people, and for other purposes.",False,True,2019-01-03,International Affairs,R000595,Marco Rubio,R,12,0,12,0
2021-02-26_12-42-30,s,2,116,PARSED,Fair Trade with China Enforcement Act,"A bill to safeguard certain technology and intellectual property in the United States from export to or influence by the People's Republic of China and to protect United States industry from unfair competition by the People's Republic of China, and for other purposes.",False,False,2019-01-03,Foreign Trade and International Finance,R000595,Marco Rubio,R,2,1,1,0
2021-02-26_12-42-30,s,3,116,PARSED,Keeping Health Insurance Affordable Act of 2019,"A bill to bring stability to the individual insurance market, make insurance coverage more affordable, lower prescription drug prices, and improve Medicaid.",False,False,2019-01-03,Health,C000141,Benjamin L. Cardin,D,0,0,0,0
2021-02-26_12-42-31,s,4,116,PARSED,LIFT (Livable Incomes for Families Today) the Middle Class Act,"A bill to amend the Internal Revenue Code of 1986 to establish a refundable tax credit to increase the take-home pay of American workers and enhance their financial stability, and for other purposes.",False,False,2019-01-03,Taxation,H001075,Kamala Harris,D,0,0,0,0
2021-02-26_12-42-31,s,5,116,PARSED,Educational Opportunities Act,A bill to amend the Internal Revenue Code of 1986 to allow a credit against tax for qualified elementary and secondary education tuition.,False,False,2019-01-03,Taxation,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-32,s,6,116,PARSED,EMPLEO Act,"A bill to decrease the cost of hiring, and increase the take-home pay of, Puerto Rican workers.",False,False,2019-01-03,Labor and Employment,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-32,s,7,116,PARSED,Extreme Risk Protection Order and Violence Prevention Act of 2019,"A bill to provide family members of an individual who they fear is a danger to himself, herself, or others, or law enforcement, with new tools to prevent gun violence.",False,False,2019-01-03,Crime and Law Enforcement,R000595,Marco Rubio,R,3,1,1,0
2021-02-26_12-42-33,s,8,116,PARSED,Preserving Our Commitment to Homeless Veterans Act,"A bill to require the Secretary of Veterans Affairs to ensure that the supported housing program of the Department of Veterans Affairs has not fewer than one program manager for every 35 rental assistance cases under such program, and for other purposes.",False,False,2019-01-03,Armed Forces and National Security,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-33,s,9,116,PARSED,Traditional Cigar Manufacturing and Small Business Jobs Preservation Act of 2019,"A bill to amend the Federal Food, Drug, and Cosmetic Act to clarify the Food and Drug Administration's jurisdiction over certain tobacco products, and to protect jobs and small businesses involved in the sale, manufacturing and distribution of traditional and premium cigars.",False,False,2019-01-03,Health,R000595,Marco Rubio,R,14,4,10,0
2021-02-26_12-42-34,s,10,116,PARSED,South Florida Clean Coastal Waters Act of 2019,"A bill to require the Inter-Agency Task Force on Harmful Algal Blooms and Hypoxia to develop a plan for reducing, mitigating, and controlling harmful algal blooms and hypoxia in South Florida, and for other purposes.",False,False,2019-01-03,Environmental Protection,R000595,Marco Rubio,R,1,0,1,0
2021-02-26_12-42-34,s,11,116,PARSED,Strengthening the National Disaster Medical System Act of 2019,"A bill to amend the Public Health Service Act to strengthen the National Disaster Medical System, and for other purposes.",False,False,2019-01-03,Health,R000595,Marco Rubio,R,1,0,1,0
2021-02-26_12-42-35,s,12,116,PARSED,Health Savings Act of 2019,"A bill to amend the Internal Revenue Code of 1986 to improve access to health care through expanded health savings accounts, and for other purposes.",False,False,2019-01-03,Taxation,R000595,Marco Rubio,R,2,0,2,0
2021-02-26_12-42-36,s,13,116,PARSED,Florida Shores Protection and Fairness Act,"A bill to include the State of Florida in the Gulf of Mexico outer Continental Shelf revenue sharing program, to extend the moratorium on oil and gas leasing in certain areas of the Gulf of Mexico, and for other purposes.",False,False,2019-01-03,Energy,R000595,Marco Rubio,R,1,0,1,0
2021-02-26_12-42-36,s,14,116,PARSED,Florida Federal Judicial Relief Act,"A bill to authorize additional district court judgeships for the northern, middle, and southern districts of Florida.",False,False,2019-01-03,Law,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-37,s,15,116,PARSED,Liberty City Rising Act,A bill to reform the requirements regarding the safety and security of families living in public and federally assisted housing in high-crime areas.,False,False,2019-01-03,Housing and Community Development,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-37,s,16,116,PARSED,Defending Domestic Produce Production Act of 2019,"A bill to amend title VII of the Tariff Act of 1930 to provide for the treatment of core seasonal industries affected by antidumping or countervailing duty investigations, and for other purposes.",False,False,2019-01-03,Foreign Trade and International Finance,R000595,Marco Rubio,R,4,0,4,0
2021-02-26_12-42-38,s,17,116,PARSED,Safe Temperature Act of 2019,"A bill to provide for a comfortable and safe temperature level in dwelling units receiving certain Federal housing assistance, and for other purposes.",False,False,2019-01-03,Housing and Community Development,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-39,s,18,116,PARSED,SAFE Hospitals Act of 2019,"A bill to amend title XIX of the Social Security Act to establish a methodology for determining State allotments for Medicaid disproportionate share hospital payments that is based on State poverty levels, to require States to prioritize disproportionate share hospital payments on the basis of Medicaid inpatient utilization and low-income utilization rates, and for other purposes.",False,False,2019-01-03,Health,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-39,s,19,116,PARSED,Territory Health Insurance Tax Relief Act of 2019,A bill to exempt health insurance of residents of United States territories from the annual fee on health insurance providers.,False,False,2019-01-03,Health,R000595,Marco Rubio,R,0,0,0,0
2021-02-26_12-42-40,s,20,116,PARSED,Presidential Tax Transparency Act,"A bill to amend the Ethics in Government Act of 1978 to require the disclosure of certain tax returns by Presidents and certain candidates for the office of the President, and for other purposes.",False,False,2019-01-03,Government Operations and Politics,W000779,Ron Wyden,D,22,22,0,0
2021-02-26_12-42-40,s,21,116,PARSED,Pay Our Coast Guard Act,A bill making continuing appropriations for Coast Guard pay in the event an appropriations act expires prior to the enactment of a new appropriations act.,False,False,2019-01-03,Transportation and Public Works,T000250,John Thune,R,40,23,17,0
2021-02-26_12-42-41,s,22,116,PARSED,Medicare Dental Benefit Act of 2019,A bill to amend title XVIII of the Social Security Act to provide for coverage of dental services under the Medicare program.,False,False,2019-01-03,Health,C000141,Benjamin L. Cardin,D,4,4,0,0
2021-02-26_12-42-42,s,23,116,PARSED,National Commission on the Federal Response to Natural Disasters in Puerto Rico Act of 2019,"A bill to establish a national commission on the Federal response to the 2017 natural disasters in Puerto Rico, and for other purposes.",False,False,2019-01-03,Emergency Management,G000555,Kirsten E. Gillibrand,D,5,5,0,0
