_action_text,_bill,_committees,_date,_status,_time,_type
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s1,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 1.,s1,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s2,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 2.,s2,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s3,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 3.,s3,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s4,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 4.,s4,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s5,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 5.,s5,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s6,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 6.,s6,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s7,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 7.,s7,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s8,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 8.,s8,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s9,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 9.,s9,,2009-01-07,REPORTED,,calendar
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s10,,2009-01-06,INTRODUCED,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 10.,s10,,2009-01-07,REPORTED,,calendar
Sponsor introductory remarks on measure.,s11,,2010-01-28,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s11,SSHR,2010-01-28,REFERRED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s12,SSEV,2010-01-29,INTRODUCED,,referral
Read twice and referred to the Committee on Environment and Public Works.,s13,SSEV,2010-01-29,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s14,,2010-01-29,INTRODUCED,,action
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s14,SSHR,2010-01-29,REFERRED,,referral
Read twice and referred to the Committee on Finance.,s15,SSFI,2010-01-29,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s16,SSJU,2010-01-29,INTRODUCED,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s17,SSEG,2010-01-29,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s18,SSJU,2010-01-29,INTRODUCED,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s19,SSEG,2010-01-29,INTRODUCED,,referral
Read twice and referred to the Committee on Energy and Natural Resources.,s20,SSEG,2010-01-29,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s21,SSHR,2009-01-06,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s22,,2009-01-07,INTRODUCED,,action
Introduced in the Senate. Read the first time. Placed on Senate Legislative Calendar under Read the First Time.,s22,,2009-01-07,,,action
Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 13.,s22,,2009-01-08,REPORTED,,calendar
Motion to proceed to consideration of measure made in Senate.,s22,,2009-01-09,,,action
Motion to proceed to measure considered in Senate.,s22,,2009-01-09,,,action
Cloture motion on the motion to proceed to the measure presented in Senate.,s22,,2009-01-09,,,action
Motion to proceed to measure considered in Senate.,s22,,2009-01-11,,,action
Cloture on the motion to proceed to the measure invoked in Senate by Yea-Nay Vote. 66 - 12. Record Vote Number: 1.,s22,,2009-01-11,,,vote-aux
Motion to proceed to measure considered in Senate.,s22,,2009-01-12,,,action
Motion to proceed to consideration of measure agreed to in Senate by Unanimous Consent.,s22,,2009-01-12,,,action
Measure laid before Senate by unanimous consent.,s22,,2009-01-12,,,action
