_bill,_district,_id,_joined_at,_name,_state,_title,_type
hr3,4,G000565,2015-01-06,"Gosar, Paul A.",AZ,Rep,original cosponsor
hr3,2,H001072,2015-01-08,"Hill, J. French",AR,Rep,cosponsor
hr3,3,K000376,2015-01-06,"Kelly, Mike",PA,Rep,original cosponsor
hr3,3,K000376,2015-01-06,"Kelly, Mike",PA,Rep,original cosponsor
hr3,4,M001177,2015-01-08,"McClintock, Tom",CA,Rep,cosponsor
hr3,10,M001150,2015-01-06,"Miller, Candice S.",MI,Rep,original cosponsor
hr3,10,M001150,2015-01-06,"Miller, Candice S.",MI,Rep,original cosponsor
hr3,1,M001144,2015-01-06,"Miller, Jeff",FL,Rep,original cosponsor
hr3,1,M001144,2015-01-06,"Miller, Jeff",FL,Rep,original cosponsor
hr3,4,M001194,2015-01-08,"Moolenaar, John R.",MI,Rep,cosponsor
hr3,2,M001195,2015-01-08,"Mooney, Alexander X.",WV,Rep,cosponsor
hr3,2,M001190,2015-01-06,"Mullin, Markwayne",OK,Rep,original cosponsor
hr3,2,M001190,2015-01-06,"Mullin, Markwayne",OK,Rep,original cosponsor
hr3,2,P000588,2015-01-06,"Pearce, Stevan",NM,Rep,original cosponsor
hr3,2,P000588,2015-01-06,"Pearce, Stevan",NM,Rep,original cosponsor
hr3,4,R000601,2015-01-06,"Ratcliffe, John",TX,Rep,original cosponsor
hr3,4,R000601,2015-01-06,"Ratcliffe, John",TX,Rep,original cosponsor
hr3,7,R000603,2015-01-06,"Rouzer, David",NC,Rep,original cosponsor
hr3,7,R000603,2015-01-06,"Rouzer, David",NC,Rep,original cosponsor
hr3,32,S000250,2015-01-06,"Sessions, Pete",TX,Rep,original cosponsor
hr3,32,S000250,2015-01-06,"Sessions, Pete",TX,Rep,original cosponsor
hr3,9,S001154,2015-01-06,"Shuster, Bill",PA,Rep,original cosponsor
hr3,9,S001154,2015-01-06,"Shuster, Bill",PA,Rep,original cosponsor
hr3,6,U000031,2015-01-06,"Upton, Fred",MI,Rep,original cosponsor
hr3,6,U000031,2015-01-06,"Upton, Fred",MI,Rep,original cosponsor
hr3,4,W000821,2015-01-06,"Westerman, Bruce",AR,Rep,original cosponsor
hr3,4,W000821,2015-01-06,"Westerman, Bruce",AR,Rep,original cosponsor
hr3,0,Z000018,2015-01-06,"Zinke, Ryan K.",MT,Rep,original cosponsor
hr3,0,Z000018,2015-01-06,"Zinke, Ryan K.",MT,Rep,original cosponsor
hr5,2,K000363,2015-02-03,"Kline, John",MN,Rep,sponsor
hr5,12,A000372,2015-02-20,"Allen, Rick W.",GA,Rep,cosponsor
hr5,1,B001289,2015-02-20,"Byrne, Bradley",AL,Rep,cosponsor
hr5,26,C001107,2015-02-20,"Curbelo, Carlos",FL,Rep,cosponsor
hr5,5,F000450,2015-02-20,"Foxx, Virginia",NC,Rep,cosponsor
hr5,2,G000558,2015-02-20,"Guthrie, Brett",KY,Rep,cosponsor
hr5,3,H001055,2015-02-20,"Heck, Joseph J.",NV,Rep,cosponsor
hr5,50,H001048,2015-02-20,"Hunter, Duncan D.",CA,Rep,cosponsor
hr5,6,M001189,2015-02-20,"Messer, Luke",IN,Rep,cosponsor
hr5,1,R000582,2015-02-20,"Roe, David P.",TN,Rep,cosponsor
hr5,4,R000592,2015-02-03,"Rokita, Todd",IN,Rep,original cosponsor
hr5,32,S000250,2015-02-20,"Sessions, Pete",TX,Rep,cosponsor
hr6,6,U000031,2015-05-19,"Upton, Fred",MI,Rep,sponsor
hr6,12,A000372,2015-06-02,"Allen, Rick W.",GA,Rep,cosponsor
hr6,2,A000373,2015-06-17,"Ashford, Brad",NE,Rep,cosponsor
hr6,11,B001269,2015-06-15,"Barletta, Lou",PA,Rep,cosponsor
hr6,6,B000213,2015-05-22,"Barton, Joe",TX,Rep,cosponsor
hr6,1,B001271,2015-06-04,"Benishek, Dan",MI,Rep,cosponsor
hr6,7,B001287,2015-06-15,"Bera, Ami",CA,Rep,cosponsor
hr6,12,B001257,2015-05-22,"Bilirakis, Gus M.",FL,Rep,cosponsor
hr6,8,B001293,2015-06-09,"Bishop, Mike",MI,Rep,cosponsor
hr6,7,B001243,2015-05-22,"Blackburn, Marsha",TN,Rep,cosponsor
hr6,1,B001278,2015-06-24,"Bonamici, Suzanne",OR,Rep,cosponsor
hr6,0,B001245,2015-06-18,"Bordallo, Madeleine Z.",GU,Rep,cosponsor
hr6,12,B001295,2015-06-16,"Bost, Mike",IL,Rep,cosponsor
hr6,13,B001296,2015-06-23,"Boyle, Brendan F.",PA,Rep,cosponsor
hr6,1,B001227,2015-06-25,"Brady, Robert A.",PA,Rep,cosponsor
hr6,5,B001284,2015-05-22,"Brooks, Susan W.",IN,Rep,cosponsor
hr6,5,B000911,2015-06-25,"Brown, Corrine",FL,Rep,cosponsor
hr6,26,B001285,2015-06-01,"Brownley, Julia",CA,Rep,cosponsor
hr6,8,B001275,2015-05-22,"Bucshon, Larry",IN,Rep,cosponsor
hr6,26,B001248,2015-05-22,"Burgess, Michael C.",TX,Rep,cosponsor
hr6,17,B001286,2015-06-01,"Bustos, Cheri",IL,Rep,cosponsor
hr6,1,B001251,2015-05-22,"Butterfield, G. K.",NC,Rep,cosponsor
hr6,42,C000059,2015-06-25,"Calvert, Ken",CA,Rep,cosponsor
hr6,24,C001036,2015-06-09,"Capps, Lois",CA,Rep,cosponsor
hr6,7,C001037,2015-06-23,"Capuano, Michael E.",MA,Rep,cosponsor
hr6,29,C001097,2015-06-09,"Cardenas, Tony",CA,Rep,cosponsor
hr6,17,C001090,2015-06-17,"Cartwright, Matt",PA,Rep,cosponsor
hr6,14,C001066,2015-05-22,"Castor, Kathy",FL,Rep,cosponsor
hr6,20,C001091,2015-06-01,"Castro, Joaquin",TX,Rep,cosponsor
