_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_12-45-52,hr,2500,116,PARSED,National Defense Authorization Act for Fiscal Year 2020,"To authorize appropriations for fiscal year 2020 for military activities of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes.",True,False,2019-05-02,Armed Forces and National Security,S000510,Adam Smith,D,1,0,1,0
2021-02-26_12-45-53,hr,2501,116,PARSED,Medical Nutrition Equity Act of 2019,"To provide for the coverage of medically necessary food and vitamins and individual amino acids for digestive and inherited metabolic disorders under Federal health programs and private health insurance, and for other purposes.",False,False,2019-05-02,Health,M000312,Jim McGovern,D,78,67,11,0
2021-02-26_12-45-55,hr,2502,116,PARSED,Transparency in Federal Buildings Projects Act of 2019,"To amend title 40, United States Code, to require certain prospectuses for public buildings to be made publicly available, and for other purposes.",True,True,2019-05-02,Government Operations and Politics,P000609,Gary Palmer,R,2,0,2,0
2021-02-26_12-45-56,hr,2503,116,PARSED,Supporting Family Mental Health in CAPTA Act,To amend the Child Abuse Prevention and Treatment Act to increase support for mental health.,False,False,2019-05-02,Health,P000616,Dean Phillips,D,0,0,0,0
2021-02-26_12-45-56,hr,2504,116,PARSED,Willie O'Ree Congressional Gold Medal Act,"To award a Congressional Gold Medal to Willie O'Ree, in recognition of his extraordinary contributions and commitment to hockey, inclusion, and recreational opportunity.",False,False,2019-05-02,Sports and Recreation,Q000023,Mike Quigley,D,95,71,24,0
2021-02-26_12-45-58,hr,2505,116,PARSED,Unauthorized Spending Accountability Act of 2019,"To provide for a reauthorizing schedule for unauthorized Federal programs, and for other purposes.",False,False,2019-05-02,Economics and Public Finance,M001159,Cathy McMorris Rodgers,R,31,3,28,4
2021-02-26_12-45-59,hr,2506,116,PARSED,Travel Advisor Retail Fairness Act,To direct the Secretary of Labor to remove travel agencies from the partial list of establishments having no retail concept for the purposes of certain exemptions under the Fair Labor Standards Act of 1938.,False,False,2019-05-02,Labor and Employment,R000607,Francis Rooney,R,8,2,6,0
2021-02-26_12-46-00,hr,2507,116,PARSED,Newborn Screening Saves Lives Reauthorization Act of 2019,"To amend the Public Health Service Act to reauthorize certain programs under part A of title XI of such Act relating to genetic diseases, and for other purposes.",True,False,2019-05-02,Health,R000486,Lucille Roybal-Allard,D,50,34,16,0
2021-02-26_12-46-01,hr,2508,116,PARSED,Better Respiration through Expanding Access to Tele-Health Act,To provide for a pilot program to include respiratory therapists as telehealth practitioners under the Medicare program.,False,False,2019-05-02,Health,T000460,Mike Thompson,D,46,30,16,0
2021-02-26_12-46-02,hr,2509,116,PARSED,Ski Area Fee Retention Act,To amend the Omnibus Parks and Public Lands Management Act of 1996 to provide for the establishment of a Ski Area Fee Retention Account.,False,False,2019-05-02,Public Lands and Natural Resources,T000470,Scott Tipton,R,20,11,9,0
2021-02-26_12-46-03,hr,2510,116,PARSED,"American Cars, American Jobs Act of 2019","To establish a voluntary program in the National Highway Traffic Safety Administration to encourage consumers to purchase or lease new automobiles made in the United States, and for other purposes.",False,False,2019-05-02,Transportation and Public Works,T000481,Rashida Tlaib,D,8,8,0,0
