_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
1,2015-01-06 00:01:00,A bill to approve the Keystone XL Pipeline.,True,True,114,Keystone XL Pipeline Approval Act,VETOED:OVERRIDE_FAIL_ORIGINATING:SENATE,Energy,s
2,2016-01-15 00:11:00,A bill to authorize the award of the Medal of Honor to James C. McCloughan for acts of valor during the Vietnam War.,False,False,114,,REFERRED,Armed forces and national security,s
3,2016-01-15 00:11:00,A bill to amend the Internal Revenue Code of 1986 to provide additional new markets tax credits for distressed coal communities.,False,False,114,CORE Act,REFERRED,Taxation,s
4,2016-01-16 00:11:00,"A bill to amend title XVIII of the Social Security Act in order to strengthen rules in case of competition for diabetic testing strips, and for other purposes.",False,False,114,Protecting Access to Diabetes Supplies Act of 2016,REFERRED,Health,s
5,2016-01-16 00:11:00,"A bill to amend the nondiscrimination provisions of the Internal Revenue Code of 1986 to protect older, longer service participants.",False,False,114,Retirement Security Preservation Act of 2016,REFERRED,Taxation,s
6,2016-01-16 00:06:00,"A bill to reform our government, reduce the grip of special interest, and return our democracy to the American people through increased transparency and oversight of our elections and government.",False,False,114,We the People Act of 2016,REFERRED,Government operations and politics,s
7,2016-01-01 00:12:00,A bill to amend title XVIII of the Social Security Act to make permanent the removal of the rental cap for durable medical equipment under the Medicare program with respect to speech generating devices.,False,False,114,Steve Gleason Act of 2016,REFERRED,Health,s
8,2016-01-01 00:12:00,A bill to provide for the approval of the Agreement for Cooperation Between the Government of the United States of America and the Government of the Kingdom of Norway Concerning Peaceful Uses of Nuclear Energy.,True,True,114,,ENACTED:SIGNED,International affairs,s
9,2016-01-01 00:12:00,A bill to provide for the regulation of over-the-counter hearing aids.,False,False,114,Over-the-Counter Hearing Aid Act of 2016,REFERRED,Health,s
10,2016-01-01 00:12:00,A bill to provide for the consideration of a definition of anti-Semitism for the enforcement of Federal antidiscrimination laws concerning education programs or activities.,False,True,114,Anti-Semitism Awareness Act of 2016,PASS_OVER:SENATE,"Civil rights and liberties, minority issues",s
11,2015-01-06 00:01:00,"A bill to protect the separation of powers in the Constitution of the United States by ensuring that the President takes care that the laws be faithfully executed, and for other purposes.",False,False,114,ENFORCE the Law Act of 2015,REFERRED,Government operations and politics,s
12,2015-01-06 00:01:00,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under the Patient Protection and Affordable Care Act.,False,False,114,Hire More Heroes Act of 2015,REFERRED,Taxation,s
13,2015-01-06 00:01:00,"A bill to establish the Hurricane Sand Dunes National Recreation Area in the State of Utah, and for other purposes.",False,False,114,Hurricane Sand Dunes National Recreation Area Act of 2015,REFERRED,Public lands and natural resources,s
14,2015-01-06 00:01:00,"A bill to authorize the Secretary of the Interior to convey certain interest in Federal land acquired for the Scofield Project in Carbon County, Utah.",False,False,114,Scofield Land Transfer Act,REFERRED,Public lands and natural resources,s
15,2015-01-06 00:01:00,"A bill to amend the Mineral Leasing Act to recognize the authority of States to regulate oil and gas operations and promote American energy security, development, and job creation, and for other purposes.",False,False,114,Protecting States' Rights to Promote American Energy Security Act,REFERRED,Energy,s
16,2015-01-06 00:01:00,A bill to amend the Patient Protection and Affordable Care Act to apply the provisions of the Act to certain Congressional staff and members of the executive branch.,False,False,114,No Exemption for Washington from Obamacare Act,REFERRED,Government operations and politics,s
17,2015-01-06 00:01:00,A bill to repeal the provision of law that provides automatic pay adjustments for Members of Congress.,False,False,114,,REFERRED,Congress,s
