_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-27_16-07-46,s,s1000-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-04-03
2021-02-27_16-07-46,s,s1000-116,116,cosponsor,Rick Scott,S001217,FL,Sen.,R,2019-04-03
2021-02-27_16-07-46,s,s1001-116,116,sponsor,John Thune,T000250,SD,Sen.,R,2019-04-03
2021-02-27_16-07-46,s,s1001-116,116,cosponsor,Mike Rounds,R000605,SD,Sen.,R,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,sponsor,Jeff Merkley,M001176,OR,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Debbie Stabenow,S000770,MI,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Kirsten E. Gillibrand,G000555,NY,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Tammy Baldwin,B001230,WI,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Richard Blumenthal,B001277,CT,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Brian Schatz,S001194,HI,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Benjamin L. Cardin,C000141,MD,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Catherine Cortez Masto,C001113,NV,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Chris Van Hollen,V000128,MD,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Ron Wyden,W000779,OR,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1002-116,116,cosponsor,Kamala Harris,H001075,CA,Sen.,D,2019-06-10
2021-02-27_16-07-47,s,s1003-116,116,sponsor,Marco Rubio,R000595,FL,Sen.,R,2019-04-03
2021-02-27_16-07-47,s,s1003-116,116,cosponsor,Margaret Hassan,H001076,NH,Sen.,D,2019-04-03
2021-02-27_16-07-47,s,s1003-116,116,cosponsor,Shelley Moore Capito,C001047,WV,Sen.,R,2019-04-09
2021-02-27_16-07-47,s,s1003-116,116,cosponsor,Martha McSally,M001197,AZ,Sen.,R,2019-05-16
2021-02-27_16-07-47,s,s1003-116,116,cosponsor,Ted Cruz,C001098,TX,Sen.,R,2020-03-04
2021-02-27_16-07-48,s,s1004-116,116,sponsor,Gary Peters,P000595,MI,Sen.,D,2019-04-03
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,John Cornyn,C001056,TX,Sen.,R,2019-04-03
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Jon Tester,T000464,MT,Sen.,D,2019-04-09
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Bill Cassidy,C001075,LA,Sen.,R,2019-04-09
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Rob Portman,P000449,OH,Sen.,R,2019-04-30
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Mitt Romney,R000615,UT,Sen.,R,2019-04-30
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Kyrsten Sinema,S001191,AZ,Sen.,D,2019-04-30
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Margaret Hassan,H001076,NH,Sen.,D,2019-05-06
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Thomas R. Carper,C000174,DE,Sen.,D,2019-05-09
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Bob Casey,C001070,PA,Sen.,D,2019-05-20
2021-02-27_16-07-48,s,s1004-116,116,cosponsor,Martha McSally,M001197,AZ,Sen.,R,2019-06-19
