_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-27_16-16-46,hr,hr3833-116,116,sponsor,Suzanne Bonamici,B001278,OR,Rep.,D,2019-07-18
2021-02-27_16-16-46,hr,hr3833-116,116,cosponsor,Paul Mitchell,M001201,MI,Rep.,R,2019-07-18
2021-02-27_16-16-46,hr,hr3833-116,116,cosponsor,Seth Moulton,M001196,MA,Rep.,D,2019-07-18
2021-02-27_16-16-46,hr,hr3833-116,116,cosponsor,Brian Fitzpatrick,F000466,PA,Rep.,R,2019-07-18
2021-02-27_16-16-46,hr,hr3833-116,116,cosponsor,Sheila Jackson Lee,J000032,TX,Rep.,D,2019-07-25
2021-02-27_16-16-46,hr,hr3833-116,116,cosponsor,Conor Lamb,L000588,PA,Rep.,D,2019-09-25
2021-02-27_16-16-46,hr,hr3919-116,116,sponsor,Seth Moulton,M001196,MA,Rep.,D,2019-07-23
2021-02-27_16-16-46,hr,hr3919-116,116,cosponsor,Garret Graves,G000577,LA,Rep.,R,2019-07-23
2021-02-27_16-16-46,hr,hr3919-116,116,cosponsor,Brian Fitzpatrick,F000466,PA,Rep.,R,2019-08-06
2021-02-27_16-16-48,hr,hr4998-116,116,sponsor,Frank Pallone,P000034,NJ,Rep.,D,2019-11-08
2021-02-27_16-16-48,hr,hr4998-116,116,cosponsor,Greg Walden,W000791,OR,Rep.,R,2019-11-08
2021-02-27_16-16-48,hr,hr4998-116,116,cosponsor,Doris Matsui,M001163,CA,Rep.,D,2019-11-08
2021-02-27_16-16-48,hr,hr4998-116,116,cosponsor,Brett Guthrie,G000558,KY,Rep.,R,2019-11-08
2021-02-27_16-16-49,hr,hr5084-116,116,sponsor,Gregory W. Meeks,M001137,NY,Rep.,D,2019-11-14
2021-02-27_16-16-49,hr,hr5084-116,116,cosponsor,Carolyn B. Maloney,M000087,NY,Rep.,D,2019-11-14
2021-02-27_16-16-49,hr,hr5084-116,116,cosponsor,Emanuel Cleaver II,C001061,MO,Rep.,D,2019-11-18
2021-02-27_16-16-49,hr,hr5084-116,116,cosponsor,David Scott,S001157,GA,Rep.,D,2019-11-18
2021-02-27_16-16-49,hr,hr5084-116,116,cosponsor,Gilbert Cisneros,C001123,CA,Rep.,D,2019-11-18
2021-02-27_16-16-49,hr,hr5084-116,116,cosponsor,Chrissy Houlahan,H001085,PA,Rep.,D,2020-12-21
2021-02-27_16-16-49,hr,hr5174-116,116,sponsor,John Curtis,C001114,UT,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,sponsor,Rick Crawford,C001087,AR,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Sam Graves,G000546,MO,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Mike Bost,B001295,IL,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Randy Weber,W000814,TX,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Carol Miller,M001205,WV,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Bob Gibbs,G000563,OH,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Greg Pence,P000615,IN,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Don Young,Y000033,AK,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Brian Babin,B001291,TX,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Scott Perry,P000605,PA,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Rodney Davis,D000619,IL,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Pete Stauber,S001212,MN,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Troy Balderson,B001306,OH,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Doug LaMalfa,L000578,CA,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Ross Spano,S001210,FL,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Mark Meadows,M001187,NC,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Rob Woodall,W000810,GA,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,John Katko,K000386,NY,Rep.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Jenniffer González-Colón,G000582,PR,Res. Comm.,R,2019-11-19
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Daniel Webster,W000806,FL,Rep.,R,2019-11-21
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Paul Mitchell,M001201,MI,Rep.,R,2019-12-03
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Bruce Westerman,W000821,AR,Rep.,R,2019-12-04
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,David Rouzer,R000603,NC,Rep.,R,2019-12-05
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Lloyd Smucker,S001199,PA,Rep.,R,2019-12-05
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Garret Graves,G000577,LA,Rep.,R,2019-12-10
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Trent Kelly,K000388,MS,Rep.,R,2020-01-27
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Fred Keller,K000395,PA,Rep.,R,2020-01-27
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Jim Hagedorn,H001088,MN,Rep.,R,2020-01-30
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Guy Reschenthaler,R000610,PA,Rep.,R,2020-02-04
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Ted Budd,B001305,NC,Rep.,R,2020-02-05
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Frank D. Lucas,L000491,OK,Rep.,R,2020-02-05
2021-02-27_16-16-50,hr,hr5175-116,116,cosponsor,Blaine Luetkemeyer,L000569,MO,Rep.,R,2020-02-05
