"id","role","district","name"
"A000055","Rep","AL4","Robert B. Aderholt"
"A000367","Rep","MI3","Justin Amash"
"A000369","Rep","NV2","Mark Amodei"
"A000370","Rep","NC12","Alma Adams"
"A000371","Rep","CA31","Pete Aguilar"
"A000372","Rep","GA12","Rick Allen"
"A000374","Rep","LA5","Ralph Abraham"
"A000375","Rep","TX19","Jodey Arrington"
"A000376","Rep","TX32","Colin Allred"
"A000377","Rep","ND0","Kelly Armstrong"
"A000378","Rep","IA3","Cynthia Axne"
"B000490","Rep","GA2","Sanford D. Bishop Jr."
"B000574","Rep","OR3","Earl Blumenauer"
"B000755","Rep","TX8","Kevin Brady"
"B001248","Rep","TX26","Michael C. Burgess"
"B001250","Rep","UT1","Rob Bishop"
"B001251","Rep","NC1","G. K. Butterfield"
"B001257","Rep","FL12","Gus Bilirakis"
"B001260","Rep","FL16","Vern Buchanan"
"B001270","Rep","CA37","Karen Bass"
"B001274","Rep","AL5","Mo Brooks"
"B001275","Rep","IN8","Larry Bucshon"
"B001278","Rep","OR1","Suzanne Bonamici"
"B001281","Rep","OH3","Joyce Beatty"
"B001282","Rep","KY6","Andy Barr"
"B001284","Rep","IN5","Susan Brooks"
"B001285","Rep","CA26","Julia Brownley"
"B001286","Rep","IL17","Cheri Bustos"
"B001287","Rep","CA7","Ami Bera"
"B001289","Rep","AL1","Bradley Byrne"
"B001291","Rep","TX36","Brian Babin"
"B001292","Rep","VA8","Donald Beyer"
"B001295","Rep","IL12","Mike Bost"
"B001296","Rep","PA2","Brendan Boyle"
"B001297","Rep","CO4","Ken Buck"
"B001298","Rep","NE2","Don Bacon"
"B001299","Rep","IN3","Jim Banks"
"B001300","Rep","CA44","Nanette Barragán"
"B001301","Rep","MI1","Jack Bergman"
"B001302","Rep","AZ5","Andy Biggs"
"B001303","Rep","DE0","Lisa Blunt Rochester"
"B001304","Rep","MD4","Anthony Brown"
"B001305","Rep","NC13","Ted Budd"
"B001306","Rep","OH12","Troy Balderson"
"B001307","Rep","IN4","James Baird"
"B001308","Rep","NY22","Anthony Brindisi"
"B001309","Rep","TN2","Tim Burchett"
"B001311","Rep","NC9","Dan Bishop"
"C000059","Rep","CA42","Ken Calvert"
"C000266","Rep","OH1","Steven J. Chabot"
"C000537","Rep","SC6","James E. Clyburn"
"C000754","Rep","TN5","Jim Cooper"
"C000984","Rep","MD7","Elijah E. Cummings"
"C001049","Rep","MO1","William Lacy Clay"
"C001051","Rep","TX31","John Carter"
"C001053","Rep","OK4","Tom Cole"
"C001055","Rep","HI1","Ed Case"
"C001059","Rep","CA16","Jim Costa"
"C001061","Rep","MO5","Emanuel Cleaver II"
"C001062","Rep","TX11","K. Michael Conaway"
"C001063","Rep","TX28","Henry Cuellar"
"C001066","Rep","FL14","Kathy Castor"
"C001067","Rep","NY9","Yvette D. Clarke"
"C001068","Rep","TN9","Steve Cohen"
"C001069","Rep","CT2","Joe Courtney"
"C001072","Rep","IN7","André Carson"
"C001078","Rep","VA11","Gerald E. Connolly"
"C001080","Rep","CA27","Judy Chu"
"C001084","Rep","RI1","David Cicilline"
"C001087","Rep","AR1","Rick Crawford"
"C001090","Rep","PA8","Matt Cartwright"
"C001091","Rep","TX20","Joaquín Castro"
"C001092","Rep","NY27","Chris Collins"
"C001093","Rep","GA9","Doug Collins"
"C001094","Rep","CA8","Paul Cook"
"C001097","Rep","CA29","Tony Cárdenas"
"C001101","Rep","MA5","Katherine Clark"
"C001103","Rep","GA1","Buddy Carter"
"C001108","Rep","KY1","James Comer"
"C001109","Rep","WY0","Liz Cheney"
"C001110","Rep","CA46","J. Luis Correa"
"C001111","Rep","FL13","Charlie Crist"
"C001112","Rep","CA24","Salud Carbajal"
"C001114","Rep","UT3","John Curtis"
"C001115","Rep","TX27","Michael Cloud"
"C001117","Rep","IL6","Sean Casten"
"C001118","Rep","VA6","Ben Cline"
"C001119","Rep","MN2","Angie Craig"
"C001120","Rep","TX2","Dan Crenshaw"
