_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-26_00-38-40,hr,hr1501-116,116,sponsor,Vicky Hartzler,H001053,MO,Rep.,R,2019-03-05
2021-02-26_00-38-40,hr,hr1501-116,116,cosponsor,Roger Marshall,M001198,KS,Rep.,R,2019-06-03
2021-02-26_00-38-40,hr,hr1502-116,116,sponsor,Tim Walberg,W000798,MI,Rep.,R,2019-03-05
2021-02-26_00-38-40,hr,hr1502-116,116,cosponsor,Greg Gianforte,G000584,MT,Rep.,R,2019-03-05
2021-02-26_00-38-40,hr,hr1502-116,116,cosponsor,Paul Mitchell,M001201,MI,Rep.,R,2019-03-05
2021-02-26_00-38-40,hr,hr1502-116,116,cosponsor,Larry Bucshon,B001275,IN,Rep.,R,2019-03-25
2021-02-26_00-38-41,hr,hr1503-116,116,sponsor,Robin Kelly,K000385,IL,Rep.,D,2019-03-05
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Raul Ruiz,R000599,CA,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Bobby L. Rush,R000515,IL,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Frank Pallone,P000034,NJ,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Debbie Dingell,D000624,MI,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Anna G. Eshoo,E000215,CA,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Joseph P. Kennedy III,K000379,MA,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Doris Matsui,M001163,CA,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Angie Craig,C001119,MN,Rep.,D,2019-04-02
2021-02-26_00-38-41,hr,hr1503-116,116,cosponsor,Yvette D. Clarke,C001067,NY,Rep.,D,2019-04-04
