_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
82,2015-01-06 00:01:00,"To establish conditions under which the Secretary of Homeland Security may commence U.S. Customs and Border Protection security screening operations at a preclearance facility outside the United States, and for other purposes.",False,False,114,Putting Security First in Preclearance Act,REFERRED,Foreign trade and international finance,hr
83,2015-01-06 00:01:00,"To assist States and local governments to develop and implement emergency notification systems suitable for use on public recreational lands, and for other purposes.",False,False,114,CAMPER Act,REFERRED,Emergency management,hr
84,2015-01-06 00:01:00,"To direct the Secretary of Transportation to take actions to ensure that not fewer than 2 air traffic controllers are on duty and physically situated within the air traffic control room or tower of certain airports at all times during periods of airfield operations, and for other purposes.",False,False,114,Minimum Staffing of Air Traffic Controllers Act of 2015,REFERRED,Transportation and public works,hr
85,2015-01-06 00:01:00,"To codify the objective of Presidential Policy Directive 21 to improve critical infrastructure security and resilience, and for other purposes.",False,False,114,Terrorism Prevention and Critical Infrastructure Protection Act of 2015,REFERRED,Emergency management,hr
86,2015-01-06 00:01:00,To repeal the Gun-Free School Zones Act of 1990 and amendments to that Act.,False,False,114,Safe Students Act,REFERRED,Crime and law enforcement,hr
87,2015-01-06 00:01:00,"To modify the boundary of the Shiloh National Military Park located in Tennessee and Mississippi, to establish Parker's Crossroads Battlefield as an affiliated area of the National Park System, and for other purposes.",True,False,114,Shiloh National Military Park Boundary Adjustment and Parker's Crossroads Battlefield Designation Act,PASS_OVER:HOUSE,Public lands and natural resources,hr
88,2015-01-06 00:01:00,"To amend subtitle IV of title 40, United States Code, regarding county additions to the Appalachian region.",False,False,114,,REFERRED,Housing and community development,hr
89,2015-01-06 00:01:00,"To provide for expedited approval of exportation of natural gas to World Trade Organization countries, and for other purposes.",False,False,114,Domestic Prosperity and Global Freedom Act,REFERRED,Energy,hr
90,2015-01-06 00:01:00,To direct the Comptroller General of the United States to conduct reviews of certain budget requests of the President for the medical care accounts of the Department of Veterans Affairs.,False,False,114,Veterans Healthcare Improvement Act,REFERRED,Armed forces and national security,hr
91,2015-01-06 00:01:00,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to issue, upon request, veteran identification cards to certain veterans.",True,True,114,Veterans Identification Card Act 2015,ENACTED:SIGNED,Armed forces and national security,hr
92,2015-01-06 00:01:00,To provide that rates of pay for Members of Congress shall not be adjusted under section 601(a)(2) of the Legislative Reorganization Act of 1946 in the year following any fiscal year in which outlays of the United States exceeded receipts of the United States.,False,False,114,,REFERRED,Congress,hr
93,2015-01-06 00:01:00,To prohibit United States Government recognition of Russia's annexation of Crimea.,False,False,114,Crimea Annexation Non-recognition Act,REFERRED,International affairs,hr
94,2015-01-06 00:01:00,To permit the televising of Supreme Court proceedings.,False,False,114,Cameras in the Courtroom Act,REFERRED,Law,hr
95,2015-01-06 00:01:00,To amend chapter 9 of title 11 of the United States Code to improve protections for employees and retirees in municipal bankruptcies.,False,False,114,Protecting Employees and Retirees in Municipal Bankruptcies Act of 2015,REFERRED,Finance and financial sector,hr
96,2015-01-06 00:01:00,"To amend title 18, United States Code, to provide for the protection of the general public, and for other purposes.",False,False,114,Dangerous Products Warning Act,REFERRED,Crime and law enforcement,hr
97,2015-01-06 00:01:00,"To amend title 11, United States Code, to improve protections for employees and retirees in business bankruptcies.",False,False,114,Protecting Employees and Retirees in Business Bankruptcies Act of 2015,REFERRED,Finance and financial sector,hr
98,2015-01-06 00:01:00,To amend title 11 of the United States Code to dispense with the requirement of providing assurance of payment for utility services under certain circumstances.,False,False,114,Preventing Termination of Utility Services in Bankruptcy Act of 2015,REFERRED,Finance and financial sector,hr
99,2015-01-06 00:01:00,"To prohibit anticompetitive activities and to provide that health insurance issuers and medical malpractice insurance issuers are subject to the antitrust laws of the United States, and for other purposes.",False,False,114,Health Insurance Industry Antitrust Enforcement Act of 2015,REFERRED,Health,hr
100,2015-01-06 00:01:00,To amend title 11 of the United States Code to stop abusive student loan collection practices in bankruptcy cases.,False,False,114,Stopping Abusive Student Loan Collection Practices in Bankruptcy Act of 2015,REFERRED,Finance and financial sector,hr
101,2015-01-06 00:01:00,"To amend title 11 of the United States Code with respect to modification of certain mortgages on principal residences, and for other purposes.",False,False,114,Home Foreclosure Reduction Act of 2015,REFERRED,Housing and community development,hr
102,2015-01-06 00:01:00,"To establish a corporate crime database, and for other purposes.",False,False,114,Corporate Crime Database Act,REFERRED,Crime and law enforcement,hr
103,2015-01-06 00:01:00,"To improve public safety through increased law enforcement presence and enhanced public safety equipment and programs, and for other purposes.",False,False,114,Shield Our Streets Act of 2015,REFERRED,Crime and law enforcement,hr
104,2015-01-06 00:01:00,"To protect cyber privacy, and for other purposes.",False,False,114,Cyber Privacy Fortification Act of 2015,REFERRED,"Science, technology, communications",hr
105,2015-01-06 00:01:00,To ensure and foster continued patient safety and quality of care by clarifying the application of the antitrust laws to negotiations between groups of health care professionals and health plans and health care insurance issuers.,False,False,114,Quality Health Care Coalition Act of 2015,REFERRED,Health,hr
106,2015-01-06 00:01:00,To amend the Elementary and Secondary Education Act of 1965 to restore State sovereignty over public education and parental rights over the education of their children.,False,False,114,Restoration of Parental Rights and State Sovereignty Act of 2015,REFERRED,Education,hr
107,2015-01-06 00:01:00,"To amend title 18, United States Code, to increase from 1 to 2 years the post employment restrictions on Members of the House of Representatives.",False,False,114,,REFERRED,Crime and law enforcement,hr
108,2015-01-06 00:01:00,"To amend title 5, United States Code, to provide for the termination of further retirement coverage of Members of Congress, except for the right to participate in the Thrift Savings Plan, and for other purposes.",False,False,114,,REFERRED,Congress,hr
109,2015-01-06 00:01:00,To provide that no pay adjustment for Members of Congress shall be made with respect to any pay period occurring during the One Hundred Fourteenth Congress.,False,False,114,,REFERRED,Congress,hr
110,2015-01-06 00:01:00,To provide for rates of pay for Members of Congress to be adjusted as a function of changes in Government spending.,False,False,114,Congressional Accountability Pay Act,REFERRED,Congress,hr
