_bill,_district,_joined_at,_name,_state,_title,_type
s1,0,2011-01-25,"Reid, Harry",NV,Sen,sponsor
s1,0,2011-01-25,"Akaka, Daniel K.",HI,Sen,cosponsor
s1,0,2011-01-25,"Begich, Mark",AK,Sen,cosponsor
s1,0,2011-01-25,"Boxer, Barbara",CA,Sen,cosponsor
s1,0,2011-01-25,"Brown, Sherrod",OH,Sen,cosponsor
s1,0,2011-01-25,"Coons, Christopher A.",DE,Sen,cosponsor
s1,0,2011-01-25,"Durbin, Richard",IL,Sen,cosponsor
s1,0,2011-01-25,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s1,0,2011-01-25,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s1,0,2011-01-25,"Shaheen, Jeanne",NH,Sen,cosponsor
s1,0,2011-01-26,"Wyden, Ron",OR,Sen,cosponsor
s2,0,2011-01-25,"Reid, Harry",NV,Sen,sponsor
s2,0,2011-01-25,"Akaka, Daniel K.",HI,Sen,cosponsor
s2,0,2011-01-25,"Boxer, Barbara",CA,Sen,cosponsor
s2,0,2011-01-25,"Brown, Sherrod",OH,Sen,cosponsor
s2,0,2011-01-25,"Durbin, Richard",IL,Sen,cosponsor
s2,0,2011-01-25,"Feinstein, Dianne",CA,Sen,cosponsor
s2,0,2011-01-25,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s2,0,2011-01-25,"Kerry, John F.",MA,Sen,cosponsor
s2,0,2011-01-25,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s3,0,2011-01-25,"Reid, Harry",NV,Sen,sponsor
s3,0,2011-01-25,"Bennet, Michael F.",CO,Sen,cosponsor
s3,0,2011-01-25,"Boxer, Barbara",CA,Sen,cosponsor
s3,0,2011-01-25,"Brown, Sherrod",OH,Sen,cosponsor
s3,0,2011-01-25,"Coons, Christopher A.",DE,Sen,cosponsor
s3,0,2011-01-25,"Durbin, Richard",IL,Sen,cosponsor
s3,0,2011-01-25,"Feinstein, Dianne",CA,Sen,cosponsor
s3,0,2011-01-25,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s3,0,2011-03-02,"Johnson, Tim",SD,Sen,cosponsor
s3,0,2011-01-25,"Kerry, John F.",MA,Sen,cosponsor
s3,0,2011-01-25,"Shaheen, Jeanne",NH,Sen,cosponsor
s4,0,2011-01-25,"Reid, Harry",NV,Sen,sponsor
s4,0,2011-01-25,"Akaka, Daniel K.",HI,Sen,cosponsor
s4,0,2011-01-25,"Bennet, Michael F.",CO,Sen,cosponsor
s4,0,2011-01-25,"Bingaman, Jeff",NM,Sen,cosponsor
s4,0,2011-01-25,"Boxer, Barbara",CA,Sen,cosponsor
s4,0,2011-01-25,"Brown, Sherrod",OH,Sen,cosponsor
s4,0,2011-01-25,"Coons, Christopher A.",DE,Sen,cosponsor
s4,0,2011-01-25,"Durbin, Richard",IL,Sen,cosponsor
s4,0,2011-01-25,"Gillibrand, Kirsten E.",NY,Sen,cosponsor
s4,0,2011-01-25,"Kerry, John F.",MA,Sen,cosponsor
s4,0,2011-01-25,"Lautenberg, Frank R.",NJ,Sen,cosponsor
s4,0,2011-01-25,"Shaheen, Jeanne",NH,Sen,cosponsor
s5,0,2011-01-25,"Reid, Harry",NV,Sen,sponsor
s5,0,2011-01-25,"Akaka, Daniel K.",HI,Sen,cosponsor
s5,0,2011-01-25,"Begich, Mark",AK,Sen,cosponsor
s5,0,2011-01-25,"Bennet, Michael F.",CO,Sen,cosponsor
s5,0,2011-01-25,"Boxer, Barbara",CA,Sen,cosponsor
s5,0,2011-01-25,"Brown, Sherrod",OH,Sen,cosponsor
s5,0,2011-01-25,"Coons, Christopher A.",DE,Sen,cosponsor
