_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_00-39-14,hr,2511,116,PARSED,The Reforming and Expanding Access to Treatment Act,"To amend title XIX of the Social Security Act to allow for payments to States for substance abuse services furnished to inmates in public institutions, and for other purposes.",False,False,2019-05-02,Health,T000463,Michael R. Turner,R,12,9,3,0
2021-02-26_00-39-14,hr,2512,116,PARSED,Protecting NATO Skies Act of 2019,To limit the transfer of F-35 aircraft to Turkey.,False,False,2019-05-02,International Affairs,T000463,Michael R. Turner,R,7,1,6,0
2021-02-26_00-39-15,hr,2513,116,PARSED,Corporate Transparency Act of 2019,"To ensure that persons who form corporations or limited liability companies in the United States disclose the beneficial owners of those corporations or limited liability companies, in order to prevent wrongdoers from exploiting United States corporations and limited liability companies for criminal gain, to assist law enforcement in detecting, preventing, and punishing terrorism, money laundering, and other misconduct involving United States corporations and limited liability companies, and for other purposes.",True,False,2019-05-03,Finance and Financial Sector,M000087,Carolyn B. Maloney,D,10,9,1,0
2021-02-26_00-39-16,hr,2514,116,PARSED,COUNTER Act of 2019,"To make reforms to the Federal Bank Secrecy Act and anti-money laundering laws, and for other purposes.",True,False,2019-05-03,Finance and Financial Sector,C001061,Emanuel Cleaver II,D,2,1,1,0
2021-02-26_00-39-16,hr,2515,116,PARSED,Whistleblower Protection Reform Act of 2019,To amend the Securities and Exchange Act of 1934 to amend the definition of whistleblower.,True,False,2019-05-03,Finance and Financial Sector,G000553,Al Green,D,8,6,2,0
2021-02-26_00-39-17,hr,2516,116,PARSED,Spending Safeguard Act,"To establish a direct spending safeguard limitation on any direct spending program without a specific level of authorized spending, and for other purposes.",False,False,2019-05-03,Economics and Public Finance,F000450,Virginia Foxx,R,2,0,2,0
2021-02-26_00-39-18,hr,2517,116,PARSED,United States Postal Service Shipping Equity Act,"To amend title 18, United States Code, and title 39, United States Code, to provide the United States Postal Service the authority to mail alcoholic beverages, and for other purposes.",False,False,2019-05-03,Government Operations and Politics,S001175,Jackie Speier,D,45,41,4,1
2021-02-26_00-39-19,hr,2518,116,PARSED,MAKERS Act,"To direct the Director of the National Science Foundation to award grants for, and support research on, the development of makerspaces, and for other purposes.",False,False,2019-05-03,"Science, Technology, Communications",S001157,David Scott,D,6,4,2,0
2021-02-26_00-39-19,hr,2519,116,PARSED,Improving Mental Health Access from the Emergency Department Act of 2020,"To authorize the Secretary of Health and Human Services, acting through the Director of the Center for Mental Health Services of the Substance Abuse and Mental Health Services Administration, to award grants to implement innovative approaches to securing prompt access to appropriate follow-on care for individuals who experience an acute mental health episode and present for care in an emergency department, and for other purposes.",True,False,2019-05-03,Health,R000599,Raul Ruiz,D,2,2,0,0
2021-02-26_00-39-21,hr,2520,116,PARSED,Metro Accountability and Investment Act,"To authorize additional funding for the Washington Metropolitan Area Transit Authority, and for other purposes.",False,False,2019-05-03,Transportation and Public Works,C001078,Gerald E. Connolly,D,8,8,0,0
2021-02-26_00-39-21,hr,2521,116,PARSED,Moving Americans Privacy Protection Act,"To amend the Tariff Act of 1930 to protect personally identifiable information, and for other purposes.",False,False,2019-05-03,Foreign Trade and International Finance,C001111,Charlie Crist,D,21,11,11,0
2021-02-26_00-39-23,hr,2522,116,PARSED,HUMANE Act of 2019,"To amend the Immigration and Nationality Act to address the protective custody of alien children accompanied by parents, and for other purposes.",False,False,2019-05-03,Immigration,C001063,Henry Cuellar,D,0,0,0,0
