_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Kaufman, Edward E.",DE,0,Sen,DE0,Kaufman,,,,,-1
"Merkley, Jeff",OR,0,Sen,OR0,Merkley,,,,,-1
"Landrieu, Mary L.",LA,0,Sen,LA0,Landrieu,,,,,-1
"Murkowski, Lisa",AK,0,Sen,AK0,Murkowski,,,,,-1
"Kohl, Herb",WI,0,Sen,WI0,Kohl,,,,,-1
"Gillibrand, Kirsten E.",NY,0,Sen,NY0,Gillibrand,,,,,-1
"Bennet, Michael F.",CO,0,Sen,CO0,Bennet,,,,,-1
"LeMieux, George S.",FL,0,Sen,FL0,LeMieux,,,,,-1
"Nelson, Ben",NE,0,Sen,NE0,Nelson,,,,,-1
"Pryor, Mark L.",AR,0,Sen,AR0,Pryor,,,,,-1
"Udall, Mark",CO,0,Sen,CO0,Udall,,,,,-1
"Udall, Tom",NM,0,Sen,NM0,Udall,,,,,-1
"Warner, Mark R.",VA,0,Sen,VA0,Warner,,,,,-1
"Webb, Jim",VA,0,Sen,VA0,Webb,,,,,-1
"Salazar, Ken",CO,0,Sen,CO0,Salazar,,,,,-1
"Byrd, Robert C.",WV,0,Sen,WV0,Byrd,,,,,-1
"Kirk, Paul Grattan, Jr.",MA,0,Sen,MA0,Kirk,,,,,-1
"Shelby, Richard C.",AL,0,Sen,AL0,Shelby,,,,,-1
"Coons, Christopher A.",DE,0,Sen,DE0,Coons,,,,,-1
"Goodwin, Carte Patrick",WV,0,Sen,WV0,Goodwin,,,,,-1
"Kirk, Mark Steven",IL,0,Sen,IL0,Kirk,,,,,-1
"Manchin, Joe, III",WV,0,Sen,WV0,Manchin,,,,,-1
