_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Obey, David R.",WI,7,Rep,WI7,Obey,,Dave Obey,Democrat,,-1
"Frank, Barney",MA,4,Rep,MA4,Frank,barneyfrank,Barney Frank,Democrat,barneyfrank,-1
"Gordon, Bart",TN,6,Rep,TN6,Gordon,,Bart Gordon,Democrat,,-1
"Miller, George",CA,7,Rep,CA7,Miller,,George Miller,Democrat,,-1
"Oberstar, James L.",MN,8,Rep,MN8,Oberstar,,James Oberstar,Democrat,,-1
"Rangel, Charles B.",NY,15,Rep,NY15,Rangel,CBRangel,Charles B. Rangel,Democrat,CBRangel,-1
"Spratt, John M., Jr.",SC,5,Rep,SC5,Spratt,,"John Spratt, Jr.",Democrat,,-1
"Towns, Edolphus",NY,10,Rep,NY10,Towns,,Edolphus Towns,Democrat,,-1
"Velazquez, Nydia M.",NY,12,Rep,NY12,Velazquez,8037068318,Nydia M. Velázquez,Democrat,NydiaVelazquez,-1
"Waxman, Henry A.",CA,30,Rep,CA30,Waxman,,Henry A. Waxman,Democrat,,-1
"Pallone, Frank, Jr.",NJ,6,Rep,NJ6,Pallone,repfrankpallone,"Frank Pallone, Jr.",Democrat,FrankPallone,-1
"Abercrombie, Neil",HI,1,Rep,HI1,Abercrombie,,Neil Abercrombie,Democrat,,-1
"Barrow, John",GA,12,Rep,GA12,Barrow,,John Barrow,Democrat,,-1
"Boucher, Rick",VA,9,Rep,VA9,Boucher,,Rick Boucher,Democrat,,-1
"Braley, Bruce L.",IA,1,Rep,IA1,Braley,,Bruce L. Braley,Democrat,,-1
"Capps, Lois",CA,23,Rep,CA23,Capps,loiscapps,Lois Capps,Democrat,RepLoisCapps,-1
"Castor, Kathy",FL,11,Rep,FL11,Castor,USRepKathyCastor,Kathy Castor,Democrat,USRepKCastor,-1
"Connolly, Gerald E.",VA,11,Rep,VA11,Connolly,CongressmanGerryConnolly,Gerald E. Connolly,Democrat,GerryConnolly,-1
"Cuellar, Henry",TX,28,Rep,TX28,Cuellar,152569121550,Henry Cuellar,Democrat,RepCuellar,-1
"Dahlkemper, Kathleen A.",PA,3,Rep,PA3,Dahlkemper,,Kathleen Dahlkemper,Democrat,,-1
"DeGette, Diana",CO,1,Rep,CO1,DeGette,DianaDeGette,Diana DeGette,Democrat,RepDianaDeGette,-1
"Dingell, John D.",MI,15,Rep,MI15,Dingell,,John D. Dingell,Democrat,JohnDingell,-1
"Edwards, Chet",TX,17,Rep,TX17,Edwards,,Chet Edwards,Democrat,,-1
"Engel, Eliot L.",NY,17,Rep,NY17,Engel,RepEliotLEngel,Eliot L. Engel,Democrat,RepEliotEngel,-1
"Eshoo, Anna G.",CA,14,Rep,CA14,Eshoo,RepAnnaEshoo,Anna G. Eshoo,Democrat,RepAnnaEshoo,-1
"Foster, Bill",IL,14,Rep,IL14,Foster,CongressmanBillFoster,Bill Foster,Democrat,RepBillFoster,-1
"Green, Gene",TX,29,Rep,TX29,Green,RepGeneGreen,Gene Green,Democrat,RepGeneGreen,-1
"Harman, Jane",CA,36,Rep,CA36,Harman,,Jane Harman,Democrat,,-1
"Hinojosa, Ruben",TX,15,Rep,TX15,Hinojosa,CongressmanRubenHinojosa,Rubén Hinojosa,Democrat,USRepRHinojosa,-1
"Johnson, Henry C. ""Hank,"" Jr.",GA,4,Rep,GA4,Johnson,115356957005,"Henry C. ""Hank"" Johnson, Jr.",Democrat,RepHankJohnson,-1
"Kagen, Steve",WI,8,Rep,WI8,Kagen,,Steve Kagen,Democrat,,-1
"Kilroy, Mary Jo",OH,15,Rep,OH15,Kilroy,,Mary Jo Kilroy,Democrat,,-1
"Lujan, Ben Ray",NM,3,Rep,NM3,Lujan,RepBenRayLujan,Ben Ray Luján,Democrat,RepBenRayLujan,-1
"Maffei, Daniel B.",NY,25,Rep,NY25,Maffei,,Daniel B. Maffei,Democrat,,-1
"Markey, Edward J.",MA,7,Rep,MA7,Markey,EdJMarkey,Edward J. Markey,Democrat,SenMarkey,-1
"Massa, Eric J. J.",NY,29,Rep,NY29,Massa,,Eric Massa,Democrat,,-1
"Matsui, Doris O.",CA,5,Rep,CA5,Matsui,doris.matsui,Doris O. Matsui,Democrat,DorisMatsui,-1
"McMahon, Michael E.",NY,13,Rep,NY13,McMahon,,Michael McMahon,Democrat,,-1
"McNerney, Jerry",CA,11,Rep,CA11,McNerney,jerrymcnerney,Jerry McNerney,Democrat,RepMcNerney,-1
"Murphy, Christopher S.",CT,5,Rep,CT5,Murphy,chrismurphyct,Christopher Murphy,Democrat,senmurphyoffice,-1
"Pascrell, Bill, Jr.",NJ,8,Rep,NJ8,Pascrell,pascrell,"Bill Pascrell, Jr.",Democrat,BillPascrell,-1
"Schakowsky, Janice D.",IL,9,Rep,IL9,Schakowsky,janschakowsky,Janice D. Schakowsky,Democrat,JanSchakowsky,-1
"Sherman, Brad",CA,27,Rep,CA27,Sherman,63158229861,Brad Sherman,Democrat,BradSherman,-1
"Space, Zachary T.",OH,18,Rep,OH18,Space,,Zack Space,Democrat,,-1
"Stark, Fortney Pete",CA,13,Rep,CA13,Stark,,Fortney Pete Stark,Democrat,,-1
"Stupak, Bart",MI,1,Rep,MI1,Stupak,,Bart Stupak,Democrat,,-1
"Sutton, Betty",OH,13,Rep,OH13,Sutton,,Betty Sutton,Democrat,,-1
"Tsongas, Niki",MA,5,Rep,MA5,Tsongas,RepTsongas,Niki Tsongas,Democrat,NikiInTheHouse,-1
