_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Camp, Dave",MI,4,Rep,MI4,Camp,,Dave Camp,Republican,RepDaveCamp,-1
"Terry, Lee",NE,2,Rep,NE2,Terry,,Lee Terry,Republican,,-1
"Capito, Shelley Moore",WV,2,Rep,WV2,Capito,senshelley,Shelley Moore Capito,Republican,SenCapito,-1
"Cassidy, Bill",LA,6,Rep,LA6,Cassidy,,Bill Cassidy,Republican,BillCassidy,-1
"Flores, Bill",TX,17,Rep,TX17,Flores,RepBillFlores,Bill Flores,Republican,RepBillFlores,-1
"Gardner, Cory",CO,4,Rep,CO4,Gardner,SenCoryGardner,Cory Gardner,Republican,SenCoryGardner,-1
"Goodlatte, Bob",VA,6,Rep,VA6,Goodlatte,BobGoodlatte,Bob Goodlatte,Republican,RepGoodlatte,-1
"Hastings, Doc",WA,4,Rep,WA4,Hastings,,Doc Hastings,Republican,,-1
"Johnson, Bill",OH,6,Rep,OH6,Johnson,RepBillJohnson,Bill Johnson,Republican,RepBillJohnson,-1
"Kinzinger, Adam",IL,16,Rep,IL16,Kinzinger,RepKinzinger,Adam Kinzinger,Republican,RepKinzinger,-1
"Lamborn, Doug",CO,5,Rep,CO5,Lamborn,CongressmanDougLamborn,Doug Lamborn,Republican,RepDLamborn,-1
"Marino, Tom",PA,10,Rep,PA10,Marino,CongressmanMarino,Tom Marino,Republican,RepTomMarino,-1
"McKinley, David B.",WV,1,Rep,WV1,McKinley,RepMcKinley,David B. McKinley,Republican,RepMcKinley,-1
"Pompeo, Mike",KS,4,Rep,KS4,Pompeo,CongressmanPompeo,Mike Pompeo,Republican,RepMikePompeo,-1
"Shuster, Bill",PA,9,Rep,PA9,Shuster,Rep.Shuster,Bill Shuster,Republican,RepBillShuster,-1
"Upton, Fred",MI,6,Rep,MI6,Upton,RepFredUpton,Fred Upton,Republican,RepFredUpton,-1
"Whitfield, Ed",KY,1,Rep,KY1,Whitfield,RepEdWhitfield,Ed Whitfield,Republican,RepEdWhitfield,-1
"Bachmann, Michele",MN,6,Rep,MN6,Bachmann,,Michele Bachmann,Republican,MicheleBachmann,-1
"Bachus, Spencer",AL,6,Rep,AL6,Bachus,,Spencer Bachus,Republican,,-1
"Barletta, Lou",PA,11,Rep,PA11,Barletta,CongressmanLouBarletta,Lou Barletta,Republican,RepLouBarletta,-1
"Barrow, John",GA,12,Rep,GA12,Barrow,,John Barrow,Democrat,,-1
"Barton, Joe",TX,6,Rep,TX6,Barton,RepJoeBarton,Joe Barton,Republican,RepJoeBarton,-1
"Bentivolio, Kerry L.",MI,11,Rep,MI11,Bentivolio,,Kerry L. Bentivolio,Republican,,-1
"Bilirakis, Gus M.",FL,12,Rep,FL12,Bilirakis,GusBilirakis,Gus M. Bilirakis,Republican,RepGusBilirakis,-1
"Bishop, Rob",UT,1,Rep,UT1,Bishop,RepRobBishop,Rob Bishop,Republican,RepRobBishop,-1
"Black, Diane",TN,6,Rep,TN6,Black,DianeBlackTN06,Diane Black,Republican,RepDianeBlack,-1
"Blackburn, Marsha",TN,7,Rep,TN7,Blackburn,marshablackburn,Marsha Blackburn,Republican,MarshaBlackburn,-1
"Bonner, Jo",AL,1,Rep,AL1,Bonner,,Jo Bonner,Republican,,-1
"Boustany, Charles W., Jr.",LA,3,Rep,LA3,Boustany,RepBoustany,Charles W. Boustany Jr.,Republican,RepBoustany,-1
"Bridenstine, Jim",OK,1,Rep,OK1,Bridenstine,CongressmanJimBridenstine,Jim Bridenstine,Republican,RepJBridenstine,-1
"Brooks, Mo",AL,5,Rep,AL5,Brooks,RepMoBrooks,Mo Brooks,Republican,RepMoBrooks,-1
"Brooks, Susan W.",IN,5,Rep,IN5,Brooks,congresswomansusanwbrooks,Susan W. Brooks,Republican,SusanWBrooks,-1
"Broun, Paul C.",GA,10,Rep,GA10,Broun,,Paul C. Broun,Republican,,-1
"Bucshon, Larry",IN,8,Rep,IN8,Bucshon,RepLarryBucshon,Larry Bucshon,Republican,RepLarryBucshon,-1
"Burgess, Michael C.",TX,26,Rep,TX26,Burgess,michaelcburgess,Michael C. Burgess,Republican,MichaelCBurgess,-1
"Carter, John R.",TX,31,Rep,TX31,Carter,judgecarter,John R. Carter,Republican,JudgeCarter,-1
"Chabot, Steve",OH,1,Rep,OH1,Chabot,RepSteveChabot,Steve Chabot,Republican,RepSteveChabot,-1
"Coble, Howard",NC,6,Rep,NC6,Coble,,Howard Coble,Republican,,-1
"Coffman, Mike",CO,6,Rep,CO6,Coffman,repmikecoffman,Mike Coffman,Republican,RepMikeCoffman,-1
"Conaway, K. Michael",TX,11,Rep,TX11,Conaway,mike.conaway,K. Michael Conaway,Republican,ConawayTX11,-1
"Cramer, Kevin",ND,0,Rep,ND0,Cramer,CongressmanKevinCramer,Kevin Cramer,Republican,RepKevinCramer,-1
"Crawford, Eric A. ""Rick""",AR,1,Rep,AR1,Crawford,RepRickCrawford,"Eric A. ""Rick"" Crawford",Republican,RepRickCrawford,-1
"Culberson, John Abney",TX,7,Rep,TX7,Culberson,CongressmanCulberson,John Abney Culberson,Republican,CongCulberson,-1
"Daines, Steve",MT,0,Rep,MT0,Daines,SteveDainesMT,Steve Daines,Republican,SteveDaines,-1
"Davis, Rodney",IL,13,Rep,IL13,Davis,RepRodneyDavis,Rodney Davis,Republican,RodneyDavis,-1
"Denham, Jeff",CA,10,Rep,CA10,Denham,RepJeffDenham,Jeff Denham,Republican,RepJeffDenham,-1
"DeSantis, Ron",FL,6,Rep,FL6,DeSantis,RepDeSantis,Ron DeSantis,Republican,RepDeSantis,-1
"Duncan, Jeff",SC,3,Rep,SC3,Duncan,RepJeffDuncan,Jeff Duncan,Republican,RepJeffDuncan,-1
"Ellmers, Renee L.",NC,2,Rep,NC2,Ellmers,reneeellmers,Renee L. Ellmers,Republican,RepReneeEllmers,-1
"Farenthold, Blake",TX,27,Rep,TX27,Farenthold,BlakeFarenthold,Blake Farenthold,Republican,Farenthold,-1
"Fincher, Stephen Lee",TN,8,Rep,TN8,Fincher,RepFincherTN08,Stephen Lee Fincher,Republican,RepFincherTN08,-1
"Fleischmann, Charles J. ""Chuck""",TN,3,Rep,TN3,Fleischmann,repchuck,"Charles J. ""Chuck"" Fleischmann",Republican,RepChuck,-1
"Forbes, J. Randy",VA,4,Rep,VA4,Forbes,randyforbes,J. Randy Forbes,Republican,Randy_Forbes,-1
"Foxx, Virginia",NC,5,Rep,NC5,Foxx,RepVirginiaFoxx,Virginia Foxx,Republican,VirginiaFoxx,-1
"Franks, Trent",AZ,8,Rep,AZ8,Franks,TrentFranks,Trent Franks,Republican,RepTrentFranks,-1
"Gingrey, Phil",GA,11,Rep,GA11,Gingrey,,Phil Gingrey,Republican,,-1
"Gohmert, Louie",TX,1,Rep,TX1,Gohmert,50375006903,Louie Gohmert,Republican,RepLouieGohmert,-1
"Gosar, Paul A.",AZ,4,Rep,AZ4,Gosar,repgosar,Paul A. Gosar,Republican,RepGosar,-1
"Granger, Kay",TX,12,Rep,TX12,Granger,RepKayGranger,Kay Granger,Republican,RepKayGranger,-1
"Graves, Sam",MO,6,Rep,MO6,Graves,118514606128,Sam Graves,Republican,RepSamGraves,-1
"Graves, Tom",GA,14,Rep,GA14,Graves,reptomgraves,Tom Graves,Republican,RepTomGraves,-1
"Griffin, Tim",AR,2,Rep,AR2,Griffin,,Tim Griffin,Republican,,-1
"Griffith, H. Morgan",VA,9,Rep,VA9,Griffith,RepMorganGriffith,H. Morgan Griffith,Republican,RepMGriffith,-1
"Guthrie, Brett",KY,2,Rep,KY2,Guthrie,CongressmanGuthrie,Brett Guthrie,Republican,RepGuthrie,-1
"Hall, Ralph M.",TX,4,Rep,TX4,Hall,,Ralph M. Hall,Republican,,-1
"Harper, Gregg",MS,3,Rep,MS3,Harper,GreggHarper,Gregg Harper,Republican,GreggHarper,-1
"Harris, Andy",MD,1,Rep,MD1,Harris,AndyHarrisMD,Andy Harris,Republican,RepAndyHarrisMD,-1
"Hartzler, Vicky",MO,4,Rep,MO4,Hartzler,Congresswoman.Hartzler,Vicky Hartzler,Republican,RepHartzler,-1
"Huelskamp, Tim",KS,1,Rep,KS1,Huelskamp,congressmanhuelskamp,Tim Huelskamp,Republican,CongHuelskamp,-1
"Huizenga, Bill",MI,2,Rep,MI2,Huizenga,RepHuizenga,Bill Huizenga,Republican,RepHuizenga,-1
"Hunter, Duncan D.",CA,50,Rep,CA50,Hunter,DuncanHunter,Duncan Hunter,Republican,Rep_Hunter,-1
"Hurt, Robert",VA,5,Rep,VA5,Hurt,RepRobertHurt,Robert Hurt,Republican,RepRobertHurt,-1
"Jenkins, Lynn",KS,2,Rep,KS2,Jenkins,replynnjenkins,Lynn Jenkins,Republican,RepLynnJenkins,-1
"Jones, Walter B., Jr.",NC,3,Rep,NC3,Jones,15083070102,Walter B. Jones,Republican,RepWalterJones,-1
"Joyce, David P.",OH,14,Rep,OH14,Joyce,RepDaveJoyce,David P. Joyce,Republican,RepDaveJoyce,-1
"Kingston, Jack",GA,1,Rep,GA1,Kingston,,Jack Kingston,Republican,jackkingston,-1
"Kline, John",MN,2,Rep,MN2,Kline,repjohnkline,John Kline,Republican,RepJohnKline,-1
"Lance, Leonard",NJ,7,Rep,NJ7,Lance,CongressmanLance,Leonard Lance,Republican,RepLanceNJ7,-1
"Lankford, James",OK,5,Rep,OK5,Lankford,SenatorLankford,James Lankford,Republican,SenatorLankford,-1
"Latham, Tom",IA,3,Rep,IA3,Latham,,Tom Latham,Republican,,-1
"Latta, Robert E.",OH,5,Rep,OH5,Latta,boblatta,Robert E. Latta,Republican,BobLatta,-1
"Long, Billy",MO,7,Rep,MO7,Long,Rep.Billy.Long,Billy Long,Republican,USRepLong,-1
"Luetkemeyer, Blaine",MO,3,Rep,MO3,Luetkemeyer,BlaineLuetkemeyer,Blaine Luetkemeyer,Republican,RepBlainePress,-1
"Lummis, Cynthia M.",WY,0,Rep,WY0,Lummis,152754318103332,Cynthia M. Lummis,Republican,CynthiaLummis,-1
"Marchant, Kenny",TX,24,Rep,TX24,Marchant,RepKennyMarchant,Kenny Marchant,Republican,RepKenMarchant,-1
"Matheson, Jim",UT,4,Rep,UT4,Matheson,,Jim Matheson,Democrat,,-1
"McCaul, Michael T.",TX,10,Rep,TX10,McCaul,michaeltmccaul,Michael T. McCaul,Republican,RepMcCaul,-1
"McClintock, Tom",CA,4,Rep,CA4,McClintock,81125319109,Tom McClintock,Republican,RepMcClintock,-1
"McHenry, Patrick T.",NC,10,Rep,NC10,McHenry,CongressmanMcHenry,Patrick T. McHenry,Republican,PatrickMcHenry,-1
"McMorris Rodgers, Cathy",WA,5,Rep,WA5,McMorris Rodgers,mcmorrisrodgers,Cathy McMorris Rodgers,Republican,CathyMcMorris,-1
"Meadows, Mark",NC,11,Rep,NC11,Meadows,Repmarkmeadows,Mark Meadows,Republican,RepMarkMeadows,-1
"Meehan, Patrick",PA,7,Rep,PA7,Meehan,CongressmanPatrickMeehan,Patrick Meehan,Republican,RepMeehan,-1
"Miller, Candice S.",MI,10,Rep,MI10,Miller,CongresswomanCandiceMiller,Candice S. Miller,Republican,CandiceMiller,-1
"Miller, Jeff",FL,1,Rep,FL1,Miller,RepJeffMiller,Jeff Miller,Republican,,-1
"Mullin, Markwayne",OK,2,Rep,OK2,Mullin,RepMullin,Markwayne Mullin,Republican,RepMullin,-1
"Mulvaney, Mick",SC,5,Rep,SC5,Mulvaney,MulvaneySC5,Mick Mulvaney,Republican,RepMickMulvaney,-1
"Murphy, Tim",PA,18,Rep,PA18,Murphy,reptimmurphy,Tim Murphy,Republican,RepTimMurphy,-1
"Neugebauer, Randy",TX,19,Rep,TX19,Neugebauer,rep.randy.neugebauer,Randy Neugebauer,Republican,RandyNeugebauer,-1
"Noem, Kristi L.",SD,0,Rep,SD0,Noem,,Kristi L. Noem,Republican,RepKristiNoem,-1
"Nunes, Devin",CA,22,Rep,CA22,Nunes,,Devin Nunes,Republican,RepDevinNunes,-1
"Nunnelee, Alan",MS,1,Rep,MS1,Nunnelee,CongressmanNunnelee,Alan Nunnelee,Republican,RepAlanNunnelee,-1
"Olson, Pete",TX,22,Rep,TX22,Olson,Rep.PeteOlson,Pete Olson,Republican,RepPeteOlson,-1
"Pearce, Stevan",NM,2,Rep,NM2,Pearce,RepStevePearce,Stevan Pearce,Republican,RepStevePearce,-1
"Pittenger, Robert",NC,9,Rep,NC9,Pittenger,congressmanpittenger,Robert Pittenger,Republican,RepPittenger,-1
"Pitts, Joseph R.",PA,16,Rep,PA16,Pitts,94156528752,Joseph R. Pitts,Republican,RepJoePitts,-1
"Poe, Ted",TX,2,Rep,TX2,Poe,106631626049851,Ted Poe,Republican,JudgeTedPoe,-1
"Radel, Trey",FL,19,Rep,FL19,Radel,,Trey Radel,Republican,,-1
"Ribble, Reid J.",WI,8,Rep,WI8,Ribble,CongressmanReidRibble,Reid J. Ribble,Republican,RepRibble,-1
"Roby, Martha",AL,2,Rep,AL2,Roby,Representative.Martha.Roby,Martha Roby,Republican,RepMarthaRoby,-1
"Roe, David P.",TN,1,Rep,TN1,Roe,DrPhilRoe,David P. Roe,Republican,DrPhilRoe,-1
"Rogers, Mike J.",MI,8,Rep,MI8,Rogers,,Mike Rogers,Republican,,-1
"Rohrabacher, Dana",CA,48,Rep,CA48,Rohrabacher,RepRohrabacher,Dana Rohrabacher,Republican,reprohrabacher,-1
"Rokita, Todd",IN,4,Rep,IN4,Rokita,RepToddRokita,Todd Rokita,Republican,ToddRokita,-1
"Rothfus, Keith J.",PA,12,Rep,PA12,Rothfus,keithrothfus,Keith J. Rothfus,Republican,KeithRothfus,-1
"Royce, Edward R.",CA,39,Rep,CA39,Royce,EdRoyce,Edward R. Royce,Republican,RepEdRoyce,-1
"Salmon, Matt",AZ,5,Rep,AZ5,Salmon,RepMattSalmon,Matt Salmon,Republican,RepMattSalmon,-1
"Scalise, Steve",LA,1,Rep,LA1,Scalise,RepSteveScalise,Steve Scalise,Republican,SteveScalise,-1
"Schock, Aaron",IL,18,Rep,IL18,Schock,RepAaronSchock,Aaron Schock,Republican,AaronSchock,-1
"Sessions, Pete",TX,32,Rep,TX32,Sessions,petesessions,Pete Sessions,Republican,PeteSessions,-1
"Shimkus, John",IL,15,Rep,IL15,Shimkus,repshimkus,John Shimkus,Republican,RepShimkus,-1
"Smith, Lamar",TX,21,Rep,TX21,Smith,LamarSmithTX21,Lamar Smith,Republican,LamarSmithTX21,-1
"Stewart, Chris",UT,2,Rep,UT2,Stewart,RepChrisStewart,Chris Stewart,Republican,RepChrisStewart,-1
"Stivers, Steve",OH,15,Rep,OH15,Stivers,116058275133542,Steve Stivers,Republican,RepSteveStivers,-1
"Thompson, Glenn",PA,5,Rep,PA5,Thompson,CongressmanGT,Glenn Thompson,Republican,CongressmanGT,-1
"Thornberry, Mac",TX,13,Rep,TX13,Thornberry,repmacthornberry,Mac Thornberry,Republican,MacTXPress,-1
"Tipton, Scott  R.",CO,3,Rep,CO3,Tipton,CongressmanScottTipton,Scott R. Tipton,Republican,RepTipton,-1
"Wagner, Ann",MO,2,Rep,MO2,Wagner,RepAnnWagner,Ann Wagner,Republican,RepAnnWagner,-1
"Walberg, Tim",MI,7,Rep,MI7,Walberg,RepWalberg,Tim Walberg,Republican,RepWalberg,-1
"Walden, Greg",OR,2,Rep,OR2,Walden,repgregwalden,Greg Walden,Republican,RepGregWalden,-1
"Walorski, Jackie",IN,2,Rep,IN2,Walorski,RepJackieWalorski,Jackie Walorski,Republican,RepWalorski,-1
"Weber, Randy K., Sr.",TX,14,Rep,TX14,Weber,TXRandy14,"Randy K. Weber, Sr.",Republican,TXRandy14,-1
"Webster, Daniel",FL,10,Rep,FL10,Webster,RepWebster,Daniel Webster,Republican,RepWebster,-1
"Wenstrup, Brad R.",OH,2,Rep,OH2,Wenstrup,RepBradWenstrup,Brad R. Wenstrup,Republican,RepBradWenstrup,-1
"Westmoreland, Lynn A.",GA,3,Rep,GA3,Westmoreland,71389451419,Lynn A. Westmoreland,Republican,RepWestmoreland,-1
"Williams, Roger",TX,25,Rep,TX25,Williams,RepRogerWilliams,Roger Williams,Republican,RepRWilliams,-1
"Wilson, Joe",SC,2,Rep,SC2,Wilson,JoeWilson,Joe Wilson,Republican,RepJoeWilson,-1
"Womack, Steve",AR,3,Rep,AR3,Womack,RepSteveWomack,Steve Womack,Republican,Rep_SteveWomack,-1
"Woodall, Rob",GA,7,Rep,GA7,Woodall,RepRobWoodall,Rob Woodall,Republican,RepRobWoodall,-1
"Young, C. W. Bill",FL,13,Rep,FL13,Young,,C. W. Bill Young,Republican,,-1
"Hensarling, Jeb",TX,5,Rep,TX5,Hensarling,RepHensarling,Jeb Hensarling,Republican,RepHensarling,-1
"Issa, Darrell E.",CA,49,Rep,CA49,Issa,darrellissa,Darrell E. Issa,Republican,DarrellIssa,-1
"Heck, Joseph J.",NV,3,Rep,NV3,Heck,RepJoeHeck,Joseph J. Heck,Republican,RepJoeHeck,-1
"Messer, Luke",IN,6,Rep,IN6,Messer,RepLukeMesser,Luke Messer,Republican,RepLukeMesser,-1
"Petri, Thomas E.",WI,6,Rep,WI6,Petri,,Thomas E. Petri,Republican,,-1
"Collins, Chris",NY,27,Rep,NY27,Collins,RepChrisCollins,Chris Collins,Republican,RepChrisCollins,-1
"Costa, Jim",CA,16,Rep,CA16,Costa,RepJimCosta,Jim Costa,Democrat,RepJimCosta,-1
"Dent, Charles W.",PA,15,Rep,PA15,Dent,CongressmanDent,Charles W. Dent,Republican,RepCharlieDent,-1
"Green, Gene",TX,29,Rep,TX29,Green,RepGeneGreen,Gene Green,Democrat,RepGeneGreen,-1
