_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_12-44-39,hr,1000,116,PARSED,Jobs for All Act,"To establish a National Full Employment Trust Fund to create employment opportunities for the unemployed, and for other purposes.",False,False,2019-02-06,Labor and Employment,W000808,Frederica Wilson,D,0,0,0,0
2021-02-26_12-44-40,hr,1001,116,PARSED,Family Member Access to Burn Pit Registry Act,To direct the Secretary of Veterans Affairs to provide a process by which a family member of a deceased individual who is eligible for the Department of Veterans Affairs burn pit registry may register for such registry on behalf of the deceased individual.,False,False,2019-02-06,Armed Forces and National Security,C001091,Joaquín Castro,D,17,12,5,0
2021-02-26_12-44-41,hr,1002,116,PARSED,WOOF! Act,"To amend the Animal Welfare Act to prohibit the issuance of licenses to certain individuals connected to dealers of dogs who have had licenses revoked, and for other purposes.",False,False,2019-02-06,Animals,F000466,Brian Fitzpatrick,R,224,198,26,0
2021-02-26_12-44-50,hr,1003,116,PARSED,Aretha Franklin Congressional Gold Medal Act,To posthumously award a Congressional Gold Medal to Aretha Franklin in recognition of her contributions of outstanding artistic and historical significance to culture in the United States.,False,False,2019-02-06,"Arts, Culture, Religion",L000581,Brenda Lawrence,D,68,64,4,0
2021-02-26_12-44-51,hr,1004,116,PARSED,Prohibiting Unauthorized Military Action in Venezuela Act,"To prohibit the introduction of United States Armed Forces into hostilities with respect to Venezuela, and for other purposes.",False,False,2019-02-06,International Affairs,C001084,David Cicilline,D,79,76,3,1
2021-02-26_12-44-53,hr,1005,116,PARSED,Burn Pit Veterans Revision Act,"To direct the Secretary of Veterans Affairs to amend the schedule for rating disabilities to add a diagnostic code and evaluation criteria for obliterative bronchiolitis, and for other purposes.",False,False,2019-02-06,Armed Forces and National Security,C001091,Joaquín Castro,D,12,10,2,0
2021-02-26_12-44-53,hr,1006,116,PARSED,Open Internet Act of 2019,"To amend title I of the Communications Act of 1934 to provide for internet openness, and for other purposes.",False,False,2019-02-06,"Science, Technology, Communications",L000566,Robert E. Latta,R,18,0,18,0
2021-02-26_12-44-54,hr,1007,116,PARSED,Retirement Enhancement and Savings Act of 2019,"To amend the Internal Revenue Code of 1986 to encourage retirement savings, and for other purposes.",False,False,2019-02-06,Taxation,K000188,Ron Kind,D,49,31,18,0
2021-02-26_12-44-55,hr,1008,116,PARSED,Trade Security Act of 2019,"To amend section 232 of the Trade Expansion Act of 1962 to require the Secretary of Defense to initiate investigations and to provide for congressional disapproval of certain actions, and for other purposes.",False,False,2019-02-06,Foreign Trade and International Finance,K000188,Ron Kind,D,18,13,5,0
2021-02-26_12-44-56,hr,1009,116,PARSED,National Evaluation of Techniques for Making Energy Technologies More Efficient and Resilient Act of 2019,"To provide for the study and evaluation of net metering, and for other purposes.",False,False,2019-02-06,Energy,C001097,Tony Cárdenas,D,1,1,0,0
2021-02-26_12-44-57,hr,1010,116,PARSED,"To provide that the rule entitled ""Short-Term, Limited Duration Insurance"" shall have no force or effect.","To provide that the rule entitled ""Short-Term, Limited Duration Insurance"" shall have no force or effect.",False,False,2019-02-06,Health,C001066,Kathy Castor,D,26,26,0,0
2021-02-26_12-44-58,hr,1011,116,PARSED,Protecting Sensitive Locations Act,"To amend section 287 of the Immigration and Nationality Act to limit immigration enforcement actions at sensitive locations, to clarify the powers of immigration officers at sensitive locations, and for other purposes.",False,False,2019-02-06,Immigration,E000297,Adriano Espaillat,D,57,57,0,0
