_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_00-14-23,hr,1,116,PARSED,For the People Act of 2019,"To expand Americans' access to the ballot box, reduce the influence of big money in politics, and strengthen ethics rules for public servants, and for other purposes.",True,False,2019-01-03,Government Operations and Politics,S001168,John Sarbanes,D,236.0,236.0,0.0,0.0
2021-02-26_00-14-23,hr,2,116,PARSED,Moving Forward Act,"To authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",True,False,2020-06-11,Transportation and Public Works,D000191,Peter A. DeFazio,D,129.0,129.0,0.0,0.0
2021-02-26_00-14-24,hr,3,116,PARSED,Elijah E. Cummings Lower Drug Costs Now Act,"To establish a fair price negotiation program, protect the Medicare program from excessive price increases, and establish an out-of-pocket maximum for Medicare part D enrollees, and for other purposes.",True,False,2019-09-19,Health,P000034,Frank Pallone,D,106.0,106.0,0.0,0.0
2021-02-26_00-14-24,hr,4,116,PARSED,Voting Rights Advancement Act of 2019,"To amend the Voting Rights Act of 1965 to revise the criteria for determining which States and political subdivisions are subject to section 4 of the Act, and for other purposes.",True,False,2019-02-26,Government Operations and Politics,S001185,Terri Sewell,D,229.0,229.0,0.0,0.0
2021-02-26_00-14-36,hr,5,116,PARSED,Equality Act,"To prohibit discrimination on the basis of sex, gender identity, and sexual orientation, and for other purposes.",True,False,2019-03-13,"Civil Rights and Liberties, Minority Issues",C001084,David Cicilline,D,240.0,237.0,3.0,0.0
2021-02-26_00-14-47,hr,6,116,PARSED,American Dream and Promise Act of 2019,"To authorize the cancellation of removal and adjustment of status of certain aliens, and for other purposes.",True,False,2019-03-12,Immigration,R000486,Lucille Roybal-Allard,D,232.0,232.0,0.0,0.0
2021-02-26_00-14-53,hr,7,116,PARSED,Paycheck Fairness Act,"To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment of wages on the basis of sex, and for other purposes.",True,False,2019-01-30,Labor and Employment,D000216,Rosa DeLauro,D,239.0,238.0,1.0,0.0
2021-02-26_00-15-05,hr,8,116,PARSED,Bipartisan Background Checks Act of 2019,To require a background check for every firearm sale.,True,False,2019-01-08,Crime and Law Enforcement,T000460,Mike Thompson,D,232.0,227.0,5.0,0.0
2021-02-26_00-15-06,hr,9,116,PARSED,Climate Action Now Act,"To direct the President to develop a plan for the United States to meet its nationally determined contribution under the Paris Agreement, and for other purposes.",True,False,2019-03-27,Environmental Protection,C001066,Kathy Castor,D,224.0,224.0,0.0,0.0
2021-02-26_00-15-13,hr,10,116,QUERY ERROR,,,,,,,,,,,,,
2021-02-26_00-15-13,hr,11,116,PARSED,Commitment to American GROWTH Act,"To amend the Internal Revenue Code of 1986 to encourage investment to renew, restore, and rebuild the American economy for our workers, families, and small businesses, maximize innovation through research and development, and secure America's medical supplies.",False,False,2020-10-09,,B000755,Kevin Brady,R,15.0,0.0,16.0,0.0
2021-02-26_00-15-14,hr,12,116,PARSED,CTF Act,"To enact a comprehensive legislative response to the threats posed by the Chinese Communist Party to the United States of America and to freedom, democracy, and human rights around the world.",False,False,2020-10-20,International Affairs,M001165,Kevin McCarthy,R,28.0,0.0,28.0,0.0
2021-02-26_00-15-15,hr,13,116,PARSED,Commitment to American Security Act,"To enact certain legislation relating to supporting law enforcement, protecting the United States, and for other purposes.",False,False,2020-10-27,Crime and Law Enforcement,R000575,Mike D. Rogers,R,8.0,0.0,8.0,0.0
