_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_00-29-00,hr,1001,116,PARSED,Family Member Access to Burn Pit Registry Act,To direct the Secretary of Veterans Affairs to provide a process by which a family member of a deceased individual who is eligible for the Department of Veterans Affairs burn pit registry may register for such registry on behalf of the deceased individual.,False,False,2019-02-06,Armed Forces and National Security,C001091,Joaquín Castro,D,17,12,5,0
2021-02-26_00-29-01,hr,1002,116,PARSED,WOOF! Act,"To amend the Animal Welfare Act to prohibit the issuance of licenses to certain individuals connected to dealers of dogs who have had licenses revoked, and for other purposes.",False,False,2019-02-06,Animals,F000466,Brian Fitzpatrick,R,224,198,26,0
2021-02-26_00-29-02,hr,1003,116,PARSED,Aretha Franklin Congressional Gold Medal Act,To posthumously award a Congressional Gold Medal to Aretha Franklin in recognition of her contributions of outstanding artistic and historical significance to culture in the United States.,False,False,2019-02-06,"Arts, Culture, Religion",L000581,Brenda Lawrence,D,68,64,4,0
2021-02-26_00-29-02,hr,1004,116,PARSED,Prohibiting Unauthorized Military Action in Venezuela Act,"To prohibit the introduction of United States Armed Forces into hostilities with respect to Venezuela, and for other purposes.",False,False,2019-02-06,International Affairs,C001084,David Cicilline,D,79,76,3,1
2021-02-26_00-29-02,hr,1005,116,PARSED,Burn Pit Veterans Revision Act,"To direct the Secretary of Veterans Affairs to amend the schedule for rating disabilities to add a diagnostic code and evaluation criteria for obliterative bronchiolitis, and for other purposes.",False,False,2019-02-06,Armed Forces and National Security,C001091,Joaquín Castro,D,12,10,2,0
2021-02-26_00-29-03,hr,1006,116,PARSED,Open Internet Act of 2019,"To amend title I of the Communications Act of 1934 to provide for internet openness, and for other purposes.",False,False,2019-02-06,"Science, Technology, Communications",L000566,Robert E. Latta,R,18,0,18,0
2021-02-26_00-29-03,hr,1007,116,PARSED,Retirement Enhancement and Savings Act of 2019,"To amend the Internal Revenue Code of 1986 to encourage retirement savings, and for other purposes.",False,False,2019-02-06,Taxation,K000188,Ron Kind,D,49,31,18,0
2021-02-26_00-29-04,hr,1008,116,PARSED,Trade Security Act of 2019,"To amend section 232 of the Trade Expansion Act of 1962 to require the Secretary of Defense to initiate investigations and to provide for congressional disapproval of certain actions, and for other purposes.",False,False,2019-02-06,Foreign Trade and International Finance,K000188,Ron Kind,D,18,13,5,0
2021-02-26_00-29-04,hr,1009,116,PARSED,National Evaluation of Techniques for Making Energy Technologies More Efficient and Resilient Act of 2019,"To provide for the study and evaluation of net metering, and for other purposes.",False,False,2019-02-06,Energy,C001097,Tony Cárdenas,D,1,1,0,0
2021-02-26_00-29-04,hr,1010,116,PARSED,"To provide that the rule entitled ""Short-Term, Limited Duration Insurance"" shall have no force or effect.","To provide that the rule entitled ""Short-Term, Limited Duration Insurance"" shall have no force or effect.",False,False,2019-02-06,Health,C001066,Kathy Castor,D,26,26,0,0
2021-02-26_00-29-05,hr,1011,116,PARSED,Protecting Sensitive Locations Act,"To amend section 287 of the Immigration and Nationality Act to limit immigration enforcement actions at sensitive locations, to clarify the powers of immigration officers at sensitive locations, and for other purposes.",False,False,2019-02-06,Immigration,E000297,Adriano Espaillat,D,57,57,0,0
2021-02-26_00-29-05,hr,1012,116,PARSED,REUNITE Act,"To reunite families separated at or near ports of entry, and for other purposes.",False,False,2019-02-06,Immigration,E000297,Adriano Espaillat,D,32,32,0,0
2021-02-26_00-29-05,hr,1013,116,PARSED,ICE and CBP Body Camera Accountability Act,"To require agents and officers of U.S. Immigration and Customs Enforcement and U.S. Customs and Border Protection to wear body cameras, and for other purposes.",False,False,2019-02-06,Immigration,E000297,Adriano Espaillat,D,32,32,0,0
2021-02-26_00-29-06,hr,1014,116,PARSED,Offshore Wind for Territories Act,"To amend the Outer Continental Shelf Lands Act to apply to territories of the United States, to establish offshore wind lease sale requirements, to provide dedicated funding for coral reef conservation, and for other purposes.",False,False,2019-02-06,Energy,G000582,Jenniffer González-Colón,R,4,3,1,0
2021-02-26_00-29-06,hr,1015,116,PARSED,Saint Francis Dam Disaster National Memorial Act,"To provide for the establishment of a national memorial and national monument to commemorate those killed by the collapse of the Saint Francis Dam on March 12, 1928, and for other purposes.",False,False,2019-02-06,Water Resources Development,H001087,Katie Hill,D,2,2,0,0
2021-02-26_00-29-06,hr,1016,116,PARSED,Pay Workers What They've Earned Act,"To amend title 31, United States Code, to reimburse employees of the Federal Government and the District of Columbia, Federal contractors, and the States for certain costs incurred as a result of a Government shutdown, and for other purposes.",False,False,2019-02-06,Government Operations and Politics,H001066,Steven Horsford,D,3,3,0,0
2021-02-26_00-29-07,hr,1017,116,PARSED,"To amend title 10, United States Code, to authorize the Secretary of Defense to provide space-available travel on aircraft of the Department of Defense to children, surviving spouses, and siblings of members of the Armed Forces who die while serving in th","To amend title 10, United States Code, to authorize the Secretary of Defense to provide space-available travel on aircraft of the Department of Defense to children, surviving spouses, and siblings of members of the Armed Forces who die while serving in the active military, naval, or air service.",False,False,2019-02-06,Armed Forces and National Security,K000388,Trent Kelly,R,1,1,0,0
2021-02-26_00-29-07,hr,1018,116,PARSED,Improving Corporate Governance Through Diversity Act of 2019,To amend the Securities Exchange Act of 1934 to require the submission by issuers of data relating to diversity and for other purposes.,False,False,2019-02-06,Finance and Financial Sector,M001137,Gregory W. Meeks,D,27,27,0,0
2021-02-26_00-29-07,hr,1019,116,PARSED,Full Military Honors Act of 2019,"To amend title 10, United States Code, to require a full military honors ceremony for certain deceased veterans, and for other purposes.",False,False,2019-02-06,Armed Forces and National Security,P000613,Jimmy Panetta,D,131,71,60,0
2021-02-26_00-29-08,hr,1020,116,PARSED,"To amend the Ethics in Government Act of 1978 to require Members of Congress to disclose business ties with foreign entities, and for other purposes.","To amend the Ethics in Government Act of 1978 to require Members of Congress to disclose business ties with foreign entities, and for other purposes.",False,False,2019-02-06,Congress,P000599,Bill Posey,R,0,0,0,0
2021-02-26_00-29-08,hr,1021,116,PARSED,Public Service Integrity Act,"To amend title 18, United States Code, to establish a uniform 5-year post-employment ban on all lobbying by former Members of Congress, to establish a uniform 2-year post-employment ban on all lobbying by former officers and employees of Congress, to lower the income threshold for applying such ban to former officers and employees of Congress, and for other purposes.",False,False,2019-02-06,Crime and Law Enforcement,P000599,Bill Posey,R,0,0,0,0
2021-02-26_00-29-08,hr,1022,116,PARSED,To provide that a former Member of Congress or former senior Congressional employee who receives compensation as a lobbyist representing a foreign principal shall not be eligible for retirement benefits or certain other Federal benefits.,To provide that a former Member of Congress or former senior Congressional employee who receives compensation as a lobbyist representing a foreign principal shall not be eligible for retirement benefits or certain other Federal benefits.,False,False,2019-02-06,Government Operations and Politics,P000599,Bill Posey,R,0,0,0,0
2021-02-26_00-29-09,hr,1023,116,PARSED,Great Lakes Fishery Research Authorization Act of 2019,"To authorize the Director of the United States Geological Survey to conduct monitoring, assessment, science, and research, in support of the binational fisheries within the Great Lakes Basin, and for other purposes.",False,False,2019-02-06,Public Lands and Natural Resources,Q000023,Mike Quigley,D,18,8,10,0
2021-02-26_00-29-09,hr,1024,116,PARSED,Consumer Protection and Fuel Transparency Act of 2019,"To require the Administrator of the Environmental Protection Agency to revise labeling requirements for fuel pumps that dispense E15, and for other purposes.",False,False,2019-02-06,Energy,S001189,Austin Scott,R,19,11,8,0
2021-02-26_00-29-10,hr,1025,116,PARSED,UIGHUR Act of 2019,"To counter the mass arbitrary detention of Turkic Muslims, including Uighurs, within the Xinjiang Uighur Autonomous Region of the People's Republic of China, and for other purposes.",False,False,2019-02-06,International Affairs,S000344,Brad Sherman,D,38,30,8,0
2021-02-26_00-29-10,hr,1026,116,PARSED,LAND Act,"To provide for consistent and reliable authority and funding to meet conservation and deferred maintenance needs affecting lands under the administrative jurisdiction of the Department of the Interior and the Department of Agriculture, and for other purposes.",False,False,2019-02-06,Public Lands and Natural Resources,S001148,Mike Simpson,R,1,1,0,0
