_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_06-59-27,hr,7001,116,PARSED,World Press Freedom Protection and Reciprocity Act,To protect and promote the freedom of the press globally.,False,False,2020-05-22,International Affairs,S000522,Christopher H. Smith,R,1,1,0,0
2021-02-26_06-59-28,hr,7002,116,PARSED,Stop Coronavirus Scams Act,"To amend title 18, United States Code, to increase the penalties for trafficking in counterfeit goods, services, or drugs related to a major disaster or emergency, and for other purposes.",False,False,2020-05-22,Crime and Law Enforcement,S001213,Bryan Steil,R,2,0,2,0
2021-02-26_06-59-29,hr,7003,116,PARSED,Work for Warriors Act of 2020,To authorize a pilot program in the Department of Defense to enhance efforts to provide job placement assistance and related employment services directly to members of the National Guard and Reserves and veterans of the Armed Forces.,False,False,2020-05-22,Armed Forces and National Security,T000472,Mark Takano,D,1,1,0,0
2021-02-26_06-59-30,hr,7004,116,PARSED,Save Our Rural Health Providers Act,"To ensure that a portion of funds appropriated to the Public Health and Social Services Emergency Fund for payments to eligible health care providers is reserved for such providers located in rural areas, and for other purposes.",False,False,2020-05-22,Health,T000484,Xochitl Torres Small,D,3,2,1,0
2021-02-26_06-59-31,hr,7005,116,PARSED,SHIELD Act,"To require the Secretary of Commerce and Federal Trade Commission to conduct an assessment and analysis of regulations regarding data localization and to establish a compendium of such laws and develop a means for maintaining, tracking, and updating such compendium.",False,False,2020-05-22,Commerce,U000031,Fred Upton,R,0,0,0,0
2021-02-26_06-59-32,hr,7006,116,PARSED,Improving Care in Home Health Agencies Act,"To amend title XI of the Social Security Act to waive the application of certain conditions of payment and conditions of participation for home health services furnished in an emergency area during an emergency period, and for other purposes.",False,False,2020-05-22,Health,V000081,Nydia M. Velázquez,D,12,12,0,0
2021-02-26_06-59-32,hr,7007,116,PARSED,Compensation for Americans Act of 2020,"To initiate negotiations for a bilateral agreement on compensation between the United States and the People's Republic of China relating to the spread of the virus responsible for COVID-19, and for other purposes.",False,False,2020-05-22,International Affairs,W000812,Ann Wagner,R,0,0,0,0
2021-02-26_06-59-33,hr,7008,116,PARSED,Family Savings Flexibility Act,"To amend the Internal Revenue Code of 1986 to provide flexibility for families with health flexible spending arrangements and dependent care flexible spending arrangements, and for other purposes.",False,False,2020-05-22,Taxation,W000815,Brad Wenstrup,R,3,2,1,0
2021-02-26_06-59-35,hr,7009,116,PARSED,Yellow Ribbon for Overseas Education Act of 2020,"To amend title 38, United States Code, to make a technical correction to clarify that colleges and universities located outside the United States may participate in the Yellow Ribbon Program of the Department of Veterans Affairs.",False,False,2020-05-22,Armed Forces and National Security,W000825,Jennifer Wexton,D,1,0,1,0
2021-02-26_06-59-35,hr,7010,116,PARSED,Paycheck Protection Program Flexibility Act of 2020,"To amend the Small Business Act and the CARES Act to modify certain provisions related to the forgiveness of loans under the paycheck protection program, to allow recipients of loan forgiveness under the paycheck protection program to defer payroll taxes, and for other purposes.",True,True,2020-05-26,Commerce,P000616,Dean Phillips,D,86,57,29,0
2021-02-26_06-59-37,hr,7011,116,PARSED,Pandemic Risk Insurance Act of 2020,"To establish a Pandemic Risk Reinsurance Program, and for other purposes.",False,False,2020-05-26,Finance and Financial Sector,M000087,Carolyn B. Maloney,D,29,29,0,0
2021-02-26_06-59-38,hr,7012,116,PARSED,Protecting Democracy From Disinformation Act,"To amend the Federal Election Campaign Act of 1971 to prohibit online platforms and certain intermediaries from targeting the dissemination of political advertisements to a specific group of individuals on the basis of online behavioral data or on the basis of demographic characteristics shared by members of the group, to require online platforms and certain intermediaries to maintain public records of certain political advertisements, and for other purposes.",False,False,2020-05-26,Government Operations and Politics,C001084,David Cicilline,D,8,8,0,0
2021-02-26_06-59-39,hr,7013,116,PARSED,Jump-Start the American Economy Act,"To amend title II of division A of the CARES Act to provide reemployment support benefits to recently unemployed individuals, and for other purposes.",False,False,2020-05-26,Labor and Employment,C001120,Dan Crenshaw,R,1,1,0,0
2021-02-26_06-59-39,hr,7014,116,PARSED,To amend the Federal Election Campaign Act of 1971 to prohibit online platforms from disseminating political advertisements which are targeted to an individual or to a group of individuals on any basis other than the recognized place in which the individu,"To amend the Federal Election Campaign Act of 1971 to prohibit online platforms from disseminating political advertisements which are targeted to an individual or to a group of individuals on any basis other than the recognized place in which the individual or group resides, and for other purposes.",False,False,2020-05-26,Government Operations and Politics,E000215,Anna G. Eshoo,D,0,0,0,0
2021-02-26_06-59-40,hr,7015,116,PARSED,Postal Preservation Act,"To provide financial stability to the United States Postal Service during the coronavirus pandemic, and for other purposes.",False,False,2020-05-26,Government Operations and Politics,M000087,Carolyn B. Maloney,D,36,28,8,0
2021-02-26_06-59-41,hr,7016,116,PARSED,Fairness for Early Withdrawers Act,To waive the 60-day rule in case of rollover of otherwise required minimum distributions in 2020.,False,False,2020-05-26,Taxation,M001199,Brian Mast,R,5,3,2,0
2021-02-26_06-59-41,hr,7017,116,PARSED,Right to Test Act,To allow States to approve the use of diagnostic tests during a public health emergency.,False,False,2020-05-26,Health,M001156,Patrick T. McHenry,R,9,0,9,0
2021-02-26_06-59-42,hr,7018,116,PARSED,COVID–19 Emergency Production Act,"To require the President to use authorities under the Defense Production Act of 1950 to require emergency production of COVID-19 supplies to address the COVID-19 pandemic, and for other purposes.",False,False,2020-05-26,Government Operations and Politics,P000607,Mark Pocan,D,4,4,0,0
2021-02-26_06-59-43,hr,7019,116,PARSED,Strategic Petroleum Reserve Reform Act,"To authorize the Secretary of Energy to carry out a program to lease underutilized Strategic Petroleum Reserve facilities, and for other purposes.",False,False,2020-05-26,Energy,S001176,Steve Scalise,R,16,3,13,0
2021-02-26_06-59-44,hr,7020,116,PARSED,COVID Justice and Accountability Act,"To provide a cause of action for violations of laws related to COVID-19, and for other purposes.",False,False,2020-05-26,Law,S001145,Jan Schakowsky,D,14,14,0,0
2021-02-26_06-59-45,hr,7021,116,PARSED,LAUNCHES Act,To facilitate access to electromagnetic spectrum for commercial space launches and commercial space reentries.,False,False,2020-05-26,"Science, Technology, Communications",S001200,Darren Soto,D,1,0,1,0
2021-02-26_06-59-45,hr,7022,116,PARSED,Rural Broadband Acceleration Act.,"To direct the Federal Communications Commission to take certain actions to accelerate the Rural Digital Opportunity Fund Phase I auction, and for other purposes.",False,False,2020-05-27,"Science, Technology, Communications",C000537,James E. Clyburn,D,40,25,15,0
2021-02-26_06-59-47,hr,7023,116,PARSED,"To require the Secretary of the Treasury to implement a program that provides financial assistance to sports facilities, museums, and community theaters, and for other purposes.","To require the Secretary of the Treasury to implement a program that provides financial assistance to sports facilities, museums, and community theaters, and for other purposes.",False,False,2020-05-27,Commerce,T000482,Lori Trahan,D,66,35,31,0
2021-02-26_06-59-51,hr,7024,116,PARSED,Climate Smart Ports Act,"To direct the Administrator of the Environmental Protection Agency to establish a program to award grants to eligible entities to purchase, and as applicable install, zero emissions port equipment and technology, and for other purposes.",False,False,2020-05-27,Environmental Protection,B001300,Nanette Barragán,D,28,28,0,0
2021-02-26_06-59-52,hr,7025,116,PARSED,Diagnostic Testing for Public Health Labs Act of 2020,"To amend the Public Health Service Act to authorize grants to certain public health laboratories to assist such laboratories in meeting the cost of acquiring high-throughput diagnostic equipment, and for other purposes.",False,False,2020-05-27,Health,B001275,Larry Bucshon,R,4,3,1,0
2021-02-26_06-59-54,hr,7026,116,PARSED,Rapid Testing for Communities Act of 2020,"To amend the Public Health Service Act to authorize grants for acquiring equipment and supplies capable of performing same-day clinical laboratory diagnostic testing in a point-of-care setting, and for other purposes.",False,False,2020-05-27,Health,D000197,Diana DeGette,D,3,1,2,0
2021-02-26_06-59-55,hr,7027,116,PARSED,Child Care Is Essential Act,"Making additional supplemental appropriations for disaster relief requirements for the fiscal year ending September 30, 2020, and for other purposes.",True,False,2020-05-27,Families,D000216,Rosa DeLauro,D,148,147,1,0
