_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
1,2017-01-28 00:11:00,An original bill to provide for reconciliation pursuant to title II of the concurrent resolution on the budget for fiscal year 2018.,False,False,115,,REPORTED,Taxation,s
11,2017-01-03 00:01:00,"A bill to recognize Jerusalem as the capital of Israel, to relocate to Jerusalem the United States Embassy in Israel, and for other purposes.",False,False,115,Jerusalem Embassy and Recognition Act,REFERRED,International affairs,s
12,2017-01-03 00:01:00,"A bill to amend title 38, United States Code, to improve the accountability of employees of the Department of Veterans Affairs, and for other purposes.",False,True,115,Increasing the Department of Veterans Affairs Accountability to Veterans Act of 2017,PASS_OVER:SENATE,Armed forces and national security,s
13,2017-01-03 00:01:00,A bill to amend the Internal Revenue Code of 1986 to prevent high net worth individuals from receiving tax windfalls for entering government service.,False,False,115,No Windfalls for Government Service Act,REFERRED,Taxation,s
14,2017-01-03 00:01:00,A bill to provide that Members of Congress may not receive pay after October 1 of any fiscal year in which Congress has not approved a concurrent resolution on the budget and passed the regular appropriations bills.,False,False,115,"No Budget, No Pay Act",REFERRED,Congress,s
15,2017-01-03 00:01:00,"A bill to impose sanctions with respect to the ballistic missile program of Iran, and for other purposes.",False,False,115,Iran Ballistic Missile Sanctions Act,REFERRED,International affairs,s
16,2017-01-03 00:01:00,"A bill to require a full audit of the Board of Governors of the Federal Reserve System and the Federal reserve banks by the Comptroller General of the United States, and for other purposes.",False,False,115,Federal Reserve Transparency Act of 2017,REFERRED,Finance and financial sector,s
17,2017-01-03 00:01:00,A bill to ensure the Government Accountability Office has adequate access to information.,False,False,115,GAO Access and Oversight Act of 2017,REFERRED,Government operations and politics,s
18,2017-01-03 00:01:00,"A bill to promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.",False,False,115,Fair Tax Act of 2017,REFERRED,Taxation,s
19,2017-01-03 00:01:00,"A bill to provide opportunities for broadband investment, and for other purposes.",False,True,115,Making Opportunities for Broadband Investment and Limiting Excessive and Needless Obstacles to Wireless Act,PASS_OVER:SENATE,"Science, technology, communications",s
20,2017-01-03 00:01:00,A bill to amend the Internal Revenue Code of 1986 to expand the denial of deduction for certain excessive employee remuneration.,False,False,115,CEO-Employee Paycheck Fairness Act of 2017,REFERRED,Taxation,s
21,2017-01-04 00:01:00,"A bill to amend chapter 8 of title 5, United States Code, to provide that major rules of the executive branch shall have no force or effect unless a joint resolution of approval is enacted into law.",False,False,115,Regulations from the Executive in Need of Scrutiny Act of 2017,REPORTED,Government operations and politics,s
22,2017-01-04 00:01:00,"A bill to amend title 54, United States Code, to prohibit the further extension or establishment of national monuments in the State of Nevada except by express authorization of Congress.",False,False,115,Nevada Land Sovereignty Act,REFERRED,Public lands and natural resources,s
23,2017-01-04 00:01:00,"A bill to amend title 38, United States Code, to direct the Secretary of Veterans Affairs to adopt and implement a standard identification protocol for use in the tracking and procurement of biological implants by the Department of Veterans Affairs, and for other purposes.",False,False,115,Biological Implant Tracking and Veteran Safety Act of 2017,REFERRED,Armed forces and national security,s
