_id,_name_x,_state,_district,_title,_clean_name,_facebook,_name_y,_party,_sort_name,_twitter,_twitter_followers
F000461,"Flores, Bill",TX,17,Rep,"Flores, Bill",RepBillFlores,Bill Flores,Republican,"Flores, Bill",RepBillFlores,17853
F000449,"Fortenberry, Jeff",NE,1,Rep,"Fortenberry, Jeff",jefffortenberry,Jeff Fortenberry,Republican,"Fortenberry, Jeff",JeffFortenberry,18541
F000462,"Frankel, Lois",FL,22,Rep,"Frankel, Lois",RepLoisFrankel,Lois Frankel,Democrat,"Frankel, Lois",RepLoisFrankel,20312
F000455,"Fudge, Marcia L.",OH,11,Rep,"Fudge, Marcia",RepMarciaLFudge,Marcia L. Fudge,Democrat,"Fudge, Marcia",RepMarciaFudge,31228
G000559,"Garamendi, John",CA,3,Rep,"Garamendi, John",repgaramendi,John Garamendi,Democrat,"Garamendi, John",RepGaramendi,25240
G000563,"Gibbs, Bob",OH,7,Rep,"Gibbs, Bob",RepBobGibbs,Bob Gibbs,Republican,"Gibbs, Bob",RepBobGibbs,31084
G000564,"Gibson, Christopher P.",NY,19,Rep,"Gibson, Christopher",RepChrisGibson,Christopher P. Gibson,Republican,"Gibson, Christopher",RepChrisGibson,10875
G000568,"Griffith, H. Morgan",VA,9,Rep,"Griffith, Morgan",,,,,,-1
G000570,"Guinta, Frank C.",NH,1,Rep,"Guinta, Frank",repfrankguinta,Frank C. Guinta,Republican,"Guinta, Frank",RepFrankGuinta,4800
G000535,"Gutierrez, Luis V.",IL,4,Rep,"Gutierrez, Luis",,,,,,-1
H001063,"Hahn, Janice",CA,44,Rep,"Hahn, Janice",RepJaniceHahn,Janice Hahn,Democrat,"Hahn, Janice",Rep_JaniceHahn,12
H001051,"Hanna, Richard L.",NY,22,Rep,"Hanna, Richard",reprichardhanna,Richard L. Hanna,Republican,"Hanna, Richard",RepRichardHanna,12360
H001070,"Hardy, Cresent",NV,4,Rep,"Hardy, Cresent",RepCresentHardy,Cresent Hardy,Republican,"Hardy, Cresent",RepHardy,2999
H001045,"Harper, Gregg",MS,3,Rep,"Harper, Gregg",GreggHarper,Gregg Harper,Republican,"Harper, Gregg",GreggHarper,27048
H001052,"Harris, Andy",MD,1,Rep,"Harris, Andy",AndyHarrisMD,Andy Harris,Republican,"Harris, Andy",RepAndyHarrisMD,12993
H000324,"Hastings, Alcee L.",FL,20,Rep,"Hastings, Alcee",95696782238,Alcee L. Hastings,Democrat,"Hastings, Alcee",RepHastingsFL,19555
H001064,"Heck, Denny",WA,10,Rep,"Heck, Denny",CongressmanDennyHeck,Denny Heck,Democrat,"Heck, Denny",RepDennyHeck,21466
H001056,"Herrera Beutler, Jaime",WA,3,Rep,"Herrera Beutler, Jaime",herrerabeutler,Jaime Herrera Beutler,Republican,"Herrera Beutler, Jaime",HerreraBeutler,17676
H001038,"Higgins, Brian",NY,26,Rep,"Higgins, Brian",RepBrianHiggins,Brian Higgins,Democrat,"Higgins, Brian",RepBrianHiggins,22656
H000636,"Hinojosa, Ruben",TX,15,Rep,"Hinojosa, Ruben",,,,,,-1
H000874,"Hoyer, Steny H.",MD,5,Rep,"Hoyer, Steny",WhipHoyer,Steny H. Hoyer,Democrat,"Hoyer, Steny",WhipHoyer,103985
H001067,"Hudson, Richard",NC,8,Rep,"Hudson, Richard",RepRichHudson,Richard Hudson,Republican,"Hudson, Richard",RepRichHudson,14760
H001068,"Huffman, Jared",CA,2,Rep,"Huffman, Jared",RepHuffman,Jared Huffman,Democrat,"Huffman, Jared",RepHuffman,25225
H001058,"Huizenga, Bill",MI,2,Rep,"Huizenga, Bill",RepHuizenga,Bill Huizenga,Republican,"Huizenga, Bill",RepHuizenga,17543
H001059,"Hultgren, Randy",IL,14,Rep,"Hultgren, Randy",RepHultgren,Randy Hultgren,Republican,"Hultgren, Randy",RepHultgren,18309
I000057,"Israel, Steve",NY,3,Rep,"Israel, Steve",RepSteveIsrael,Steve Israel,Democrat,"Israel, Steve",RepSteveIsrael,30631
J000032,"Jackson Lee, Sheila",TX,18,Rep,"Jackson Lee, Sheila",CongresswomanSheilaJacksonLee,Sheila Jackson Lee,Democrat,"Jackson Lee, Sheila",JacksonLeeTX18,54143
J000297,"Jenkins, Evan H.",WV,3,Rep,"Jenkins, Evan",RepEvanJenkins,Evan H. Jenkins,Republican,"Jenkins, Evan",RepEvanJenkins,7760
J000292,"Johnson, Bill",OH,6,Rep,"Johnson, Bill",RepBillJohnson,Bill Johnson,Republican,"Johnson, Bill",RepBillJohnson,31562
J000126,"Johnson, Eddie Bernice",TX,30,Rep,"Johnson, Eddie Bernice",,,,,,-1
J000288,"Johnson, Henry C. ""Hank,"" Jr.",GA,4,Rep,"Johnson, Henry",115356957005,"Henry C. ""Hank"" Johnson, Jr.",Democrat,"Johnson, Henry",RepHankJohnson,29714
J000295,"Joyce, David P.",OH,14,Rep,"Joyce, David",RepDaveJoyce,David P. Joyce,Republican,"Joyce, David",RepDaveJoyce,18876
K000009,"Kaptur, Marcy",OH,9,Rep,"Kaptur, Marcy",RepresentativeMarcyKaptur,Marcy Kaptur,Democrat,"Kaptur, Marcy",RepMarcyKaptur,16778
K000386,"Katko, John",NY,24,Rep,"Katko, John",RepJohnKatko,John Katko,Republican,"Katko, John",RepJohnKatko,10609
K000375,"Keating, William R.",MA,9,Rep,"Keating, William",Congressman.Keating,William R. Keating,Democrat,"Keating, William",USRepKeating,13357
K000385,"Kelly, Robin L.",IL,2,Rep,"Kelly, Robin",reprobinkelly,Robin L. Kelly,Democrat,"Kelly, Robin",RepRobinKelly,22277
K000379,"Kennedy, Joseph P., III",MA,4,Rep,"Kennedy, Joseph, III",,,,,,-1
K000380,"Kildee, Daniel T.",MI,5,Rep,"Kildee, Daniel",RepDanKildee,Daniel T. Kildee,Democrat,"Kildee, Daniel",RepDanKildee,32647
K000381,"Kilmer, Derek",WA,6,Rep,"Kilmer, Derek",derek.kilmer,Derek Kilmer,Democrat,"Kilmer, Derek",RepDerekKilmer,23739
K000188,"Kind, Ron",WI,3,Rep,"Kind, Ron",repronkind,Ron Kind,Democrat,"Kind, Ron",RepRonKind,12947
K000378,"Kinzinger, Adam",IL,16,Rep,"Kinzinger, Adam",RepKinzinger,Adam Kinzinger,Republican,"Kinzinger, Adam",RepKinzinger,38906
K000368,"Kirkpatrick, Ann",AZ,1,Rep,"Kirkpatrick, Ann",RepKirkpatrick,Ann Kirkpatrick,Democrat,"Kirkpatrick, Ann",RepKirkpatrick,-1
K000387,"Knight, Stephen",CA,25,Rep,"Knight, Stephen",,,,,,-1
K000382,"Kuster, Ann M.",NH,2,Rep,"Kuster, Ann",CongresswomanAnnieKuster,Ann M. Kuster,Democrat,"Kuster, Ann",RepAnnieKuster,18618
L000578,"LaMalfa, Doug",CA,1,Rep,"LaMalfa, Doug",RepLaMalfa,Doug LaMalfa,Republican,"LaMalfa, Doug",RepLaMalfa,13807
L000567,"Lance, Leonard",NJ,7,Rep,"Lance, Leonard",CongressmanLance,Leonard Lance,Republican,"Lance, Leonard",RepLanceNJ7,14781
L000559,"Langevin, James R.",RI,2,Rep,"Langevin, James",CongressmanJimLangevin,James R. Langevin,Democrat,"Langevin, James",JimLangevin,21135
L000557,"Larson, John B.",CT,1,Rep,"Larson, John",RepJohnLarson,John B. Larson,Democrat,"Larson, John",RepJohnLarson,22960
L000566,"Latta, Robert E.",OH,5,Rep,"Latta, Robert",boblatta,Robert E. Latta,Republican,"Latta, Robert",BobLatta,35291
L000581,"Lawrence, Brenda L.",MI,14,Rep,"Lawrence, Brenda",395759603917487,Brenda L. Lawrence,Democrat,"Lawrence, Brenda",RepLawrence,11302
L000551,"Lee, Barbara",CA,13,Rep,"Lee, Barbara",RepBarbaraLee,Barbara Lee,Democrat,"Lee, Barbara",RepBarbaraLee,178948
L000287,"Lewis, John",GA,5,Rep,"Lewis, John",RepJohnLewis,John Lewis,Democrat,"Lewis, John",RepJohnLewis,915394
L000582,"Lieu, Ted",CA,33,Rep,"Lieu, Ted",RepTedLieu,Ted Lieu,Democrat,"Lieu, Ted",RepTedLieu,102380
L000563,"Lipinski, Daniel",IL,3,Rep,"Lipinski, Daniel",repdanlipinski,Daniel Lipinski,Democrat,"Lipinski, Daniel",RepLipinski,11677
L000554,"LoBiondo, Frank A.",NJ,2,Rep,"LoBiondo, Frank",FrankLoBiondo,Frank A. LoBiondo,Republican,"LoBiondo, Frank",RepLoBiondo,15869
L000565,"Loebsack, David",IA,2,Rep,"Loebsack, David",DaveLoebsack,David Loebsack,Democrat,"Loebsack, David",DaveLoebsack,7212
L000397,"Lofgren, Zoe",CA,19,Rep,"Lofgren, Zoe",zoelofgren,Zoe Lofgren,Democrat,"Lofgren, Zoe",RepZoeLofgren,33353
L000576,"Long, Billy",MO,7,Rep,"Long, Billy",Rep.Billy.Long,Billy Long,Republican,"Long, Billy",USRepLong,15659
L000579,"Lowenthal, Alan S.",CA,47,Rep,"Lowenthal, Alan",RepLowenthal,Alan S. Lowenthal,Democrat,"Lowenthal, Alan",RepLowenthal,24850
L000569,"Luetkemeyer, Blaine",MO,3,Rep,"Luetkemeyer, Blaine",BlaineLuetkemeyer,Blaine Luetkemeyer,Republican,"Luetkemeyer, Blaine",RepBlainePress,10656
L000570,"Lujan, Ben Ray",NM,3,Rep,"Lujan, Ben Ray",,,,,,-1
M000087,"Maloney, Carolyn B.",NY,12,Rep,"Maloney, Carolyn",RepCarolynMaloney,Carolyn B. Maloney,Democrat,"Maloney, Carolyn",RepMaloney,26177
M001158,"Marchant, Kenny",TX,24,Rep,"Marchant, Kenny",RepKennyMarchant,Kenny Marchant,Republican,"Marchant, Kenny",RepKenMarchant,24127
M001179,"Marino, Tom",PA,10,Rep,"Marino, Tom",CongressmanMarino,Tom Marino,Republican,"Marino, Tom",RepTomMarino,20713
M001163,"Matsui, Doris O.",CA,6,Rep,"Matsui, Doris",doris.matsui,Doris O. Matsui,Democrat,"Matsui, Doris",DorisMatsui,30267
M001157,"McCaul, Michael T.",TX,10,Rep,"McCaul, Michael",michaeltmccaul,Michael T. McCaul,Republican,"McCaul, Michael",RepMcCaul,25086
M001143,"McCollum, Betty",MN,4,Rep,"McCollum, Betty",repbettymccollum,Betty McCollum,Democrat,"McCollum, Betty",BettyMcCollum04,25745
M000312,"McGovern, James P.",MA,2,Rep,"McGovern, James",RepJimMcGovern,James P. McGovern,Democrat,"McGovern, James",RepMcGovern,36755
