_query_time,_bill_type,_bill_id,_session_id,_cosponsor_type,_cosponsor_name,_cosponsor_id,_cosponsor_state,_cosponsor_title,_cosponsor_party,_cosponsor_date
2021-02-26_00-56-16,hr,hr3501-116,116,sponsor,Eliot L. Engel,E000179,NY,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Gerald E. Connolly,C001078,VA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Yvette D. Clarke,C001067,NY,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Robin Kelly,K000385,IL,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Ro Khanna,K000389,CA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Ted Lieu,L000582,CA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Jackie Speier,S001175,CA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Steve Cohen,C001068,TN,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Jan Schakowsky,S001145,IL,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Betty McCollum,M001143,MN,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Chellie Pingree,P000597,ME,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,David Cicilline,C001084,RI,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Alan Lowenthal,L000579,CA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Bobby L. Rush,R000515,IL,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Diana DeGette,D000197,CO,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Brendan Boyle,B001296,PA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Frank Pallone,P000034,NJ,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Peter Welch,W000800,VT,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Andy Levin,L000592,MI,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Jim Himes,H001047,CT,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Jim Langevin,L000559,RI,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Suzanne Bonamici,B001278,OR,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Katherine Clark,C001101,MA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Dina Titus,T000468,NV,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,John Garamendi,G000559,CA,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Adriano Espaillat,E000297,NY,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Marcy Kaptur,K000009,OH,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Gregory W. Meeks,M001137,NY,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Brad Schneider,S001190,IL,Rep.,D,2019-06-26
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Brad Sherman,S000344,CA,Rep.,D,2019-07-09
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,David Trone,T000483,MD,Rep.,D,2019-07-09
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Colin Allred,A000376,TX,Rep.,D,2019-07-15
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Jim Costa,C001059,CA,Rep.,D,2019-07-15
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Bill Keating,K000375,MA,Rep.,D,2019-07-17
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Eleanor Holmes Norton,N000147,DC,Del.,D,2019-07-22
2021-02-26_00-56-16,hr,hr3501-116,116,cosponsor,Albio Sires,S001165,NJ,Rep.,D,2019-07-22
2021-02-26_00-56-18,hr,hr3502-116,116,sponsor,Raul Ruiz,R000599,CA,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Larry Bucshon,B001275,IN,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Joe Morelle,M001206,NY,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Ami Bera,B001287,CA,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Brad Wenstrup,W000815,OH,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Donna Shalala,S001206,FL,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Van Taylor,T000479,TX,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Phil Roe,R000582,TN,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Jim Banks,B001299,IN,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Brian Higgins,H001038,NY,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Raúl M. Grijalva,G000551,AZ,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Gilbert Cisneros,C001123,CA,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Darren Soto,S001200,FL,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Andy Harris,H001052,MD,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Richard Hudson,H001067,NC,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Kim Schrier,S001216,WA,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Roger Marshall,M001198,KS,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Neal Dunn,D000628,FL,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Steve Stivers,S001187,OH,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Scott DesJarlais,D000616,TN,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Tim Burchett,B001309,TN,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Denver Riggleman,R000611,VA,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Steven Watkins,W000824,KS,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,John Joyce,J000302,PA,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Lloyd Smucker,S001199,PA,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Elise Stefanik,S001196,NY,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Glenn Thompson,T000467,PA,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Ron Wright,W000827,TX,Rep.,R,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Donald W. Norcross,N000188,NJ,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Nita M. Lowey,L000480,NY,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Tony Cárdenas,C001097,CA,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Mark DeSaulnier,D000623,CA,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Robin Kelly,K000385,IL,Rep.,D,2019-06-26
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Doug Lamborn,L000564,CO,Rep.,R,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Yvette D. Clarke,C001067,NY,Rep.,D,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,James Baird,B001307,IN,Rep.,R,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,John Shimkus,S000364,IL,Rep.,R,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Tom O'Halleran,O000171,AZ,Rep.,D,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Scott Peters,P000608,CA,Rep.,D,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Jared Huffman,H001068,CA,Rep.,D,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Kathleen Rice,R000602,NY,Rep.,D,2019-06-27
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Austin Scott,S001189,GA,Rep.,R,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,David Rouzer,R000603,NC,Rep.,R,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Brian Fitzpatrick,F000466,PA,Rep.,R,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Derek Kilmer,K000381,WA,Rep.,D,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Sean Patrick Maloney,M001185,NY,Rep.,D,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Bill Flores,F000461,TX,Rep.,R,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Thomas Suozzi,S001201,NY,Rep.,D,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Nydia M. Velázquez,V000081,NY,Rep.,D,2019-07-09
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Colin Allred,A000376,TX,Rep.,D,2019-07-12
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Harley Rouda,R000616,CA,Rep.,D,2019-07-12
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,Peter T. King,K000210,NY,Rep.,R,2019-07-12
2021-02-26_00-56-18,hr,hr3502-116,116,cosponsor,French Hill,H001072,AR,Rep.,R,2019-07-12
