_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
"Enzi, Michael B.",WY,0,Sen,WY0,Enzi,,,,,-1
"Heller, Dean",NV,0,Sen,NV0,Heller,,,,,-1
"Cornyn, John",TX,0,Sen,TX0,Cornyn,,,,,-1
"Cotton, Tom",AR,0,Sen,AR0,Cotton,,,,,-1
"Cruz, Ted",TX,0,Sen,TX0,Cruz,,,,,-1
"Hatch, Orrin G.",UT,0,Sen,UT0,Hatch,,,,,-1
"Inhofe, James M.",OK,0,Sen,OK0,Inhofe,,,,,-1
"Johnson, Ron",WI,0,Sen,WI0,Johnson,,,,,-1
"Rubio, Marco",FL,0,Sen,FL0,Rubio,,,,,-1
"Toomey, Pat",PA,0,Sen,PA0,Toomey,,,,,-1
"Moran, Jerry",KS,0,Sen,KS0,Moran,,,,,-1
"Bennet, Michael F.",CO,0,Sen,CO0,Bennet,,,,,-1
"Blumenthal, Richard",CT,0,Sen,CT0,Blumenthal,,,,,-1
"Whitehouse, Sheldon",RI,0,Sen,RI0,Whitehouse,,,,,-1
"Baldwin, Tammy",WI,0,Sen,WI0,Baldwin,,,,,-1
"Feinstein, Dianne",CA,0,Sen,CA0,Feinstein,,,,,-1
"Warren, Elizabeth",MA,0,Sen,MA0,Warren,,,,,-1
"Barrasso, John",WY,0,Sen,WY0,Barrasso,,,,,-1
"Burr, Richard",NC,0,Sen,NC0,Burr,,,,,-1
"Capito, Shelley Moore",WV,0,Sen,WV0,Capito,,,,,-1
"Ernst, Joni",IA,0,Sen,IA0,Ernst,,,,,-1
"Gardner, Cory",CO,0,Sen,CO0,Gardner,,,,,-1
"Hassan, Margaret Wood",NH,0,Sen,NH0,Hassan,,,,,-1
"Manchin, Joe, III",WV,0,Sen,WV0,Manchin,,,,,-1
"Perdue, David",GA,0,Sen,GA0,Perdue,,,,,-1
"Tillis, Thom",NC,0,Sen,NC0,Tillis,,,,,-1
"Paul, Rand",KY,0,Sen,KY0,Paul,,,,,-1
"Blunt, Roy",MO,0,Sen,MO0,Blunt,,,,,-1
"Boozman, John",AR,0,Sen,AR0,Boozman,,,,,-1
"Daines, Steve",MT,0,Sen,MT0,Daines,,,,,-1
"Grassley, Chuck",IA,0,Sen,IA0,Grassley,,,,,-1
"Isakson, Johnny",GA,0,Sen,GA0,Isakson,,,,,-1
"Lankford, James",OK,0,Sen,OK0,Lankford,,,,,-1
"Lee, Mike",UT,0,Sen,UT0,Lee,,,,,-1
"Portman, Rob",OH,0,Sen,OH0,Portman,,,,,-1
"Risch, James E.",ID,0,Sen,ID0,Risch,,,,,-1
"Scott, Tim",SC,0,Sen,SC0,Scott,,,,,-1
"Young, Todd C.",IN,0,Sen,IN0,Young,,,,,-1
"Sasse, Ben",NE,0,Sen,NE0,Sasse,,,,,-1
"Carper, Thomas R.",DE,0,Sen,DE0,Carper,,,,,-1
"Duckworth, Tammy",IL,0,Sen,IL0,Duckworth,,,,,-1
"McCain, John",AZ,0,Sen,AZ0,McCain,,,,,-1
"McCaskill, Claire",MO,0,Sen,MO0,McCaskill,,,,,-1
"Schatz, Brian",HI,0,Sen,HI0,Schatz,,,,,-1
"Tester, Jon",MT,0,Sen,MT0,Tester,,,,,-1
"Thune, John",SD,0,Sen,SD0,Thune,,,,,-1
"Nelson, Bill",FL,0,Sen,FL0,Nelson,,,,,-1
"Van Hollen, Chris",MD,8,Sen,MD8,Van Hollen,,,,,-1
"Cassidy, Bill",LA,0,Sen,LA0,Cassidy,,,,,-1
"Crapo, Mike",ID,0,Sen,ID0,Crapo,,,,,-1
"Fischer, Deb",NE,0,Sen,NE0,Fischer,,,,,-1
"Flake, Jeff",AZ,0,Sen,AZ0,Flake,,,,,-1
"Hyde-Smith, Cindy",MS,0,Sen,MS0,Hyde-Smith,,,,,-1
"Kennedy, John",LA,0,Sen,LA0,Kennedy,,,,,-1
"Roberts, Pat",KS,0,Sen,KS0,Roberts,,,,,-1
"Rounds, Mike",SD,0,Sen,SD0,Rounds,,,,,-1
"Strange, Luther",AL,0,Sen,AL0,Strange,,,,,-1
"Sullivan, Dan",AK,0,Sen,AK0,Sullivan,,,,,-1
"Wicker, Roger F.",MS,0,Sen,MS0,Wicker,,,,,-1
"Shaheen, Jeanne",NH,0,Sen,NH0,Shaheen,,,,,-1
"Gillibrand, Kirsten E.",NY,0,Sen,NY0,Gillibrand,,,,,-1
"Klobuchar, Amy",MN,0,Sen,MN0,Klobuchar,,,,,-1
"Wyden, Ron",OR,0,Sen,OR0,Wyden,,,,,-1
"Booker, Cory A.",NJ,0,Sen,NJ0,Booker,,,,,-1
"Cantwell, Maria",WA,0,Sen,WA0,Cantwell,,,,,-1
"Cardin, Benjamin L.",MD,0,Sen,MD0,Cardin,,,,,-1
"Coons, Christopher A.",DE,0,Sen,DE0,Coons,,,,,-1
"Franken, Al",MN,0,Sen,MN0,Franken,,,,,-1
"Harris, Kamala D.",CA,0,Sen,CA0,Harris,,,,,-1
"Kaine, Tim",VA,0,Sen,VA0,Kaine,,,,,-1
"Leahy, Patrick J.",VT,0,Sen,VT0,Leahy,,,,,-1
"Markey, Edward J.",MA,0,Sen,MA0,Markey,,,,,-1
"Menendez, Robert",NJ,0,Sen,NJ0,Menendez,,,,,-1
"Merkley, Jeff",OR,0,Sen,OR0,Merkley,,,,,-1
"Murphy, Christopher",CT,0,Sen,CT0,Murphy,,,,,-1
"Stabenow, Debbie",MI,0,Sen,MI0,Stabenow,,,,,-1
"Udall, Tom",NM,0,Sen,NM0,Udall,,,,,-1
"Van Hollen, Chris",MD,0,Sen,MD0,Van Hollen,,,,,-1
"Brown, Sherrod",OH,0,Sen,OH0,Brown,,,,,-1
"Casey, Robert P., Jr.",PA,0,Sen,PA0,Casey,,,,,-1
"Durbin, Richard J.",IL,0,Sen,IL0,Durbin,,,,,-1
"Heinrich, Martin",NM,0,Sen,NM0,Heinrich,,,,,-1
"Heitkamp, Heidi",ND,0,Sen,ND0,Heitkamp,,,,,-1
"Murray, Patty",WA,0,Sen,WA0,Murray,,,,,-1
"Peters, Gary C.",MI,0,Sen,MI0,Peters,,,,,-1
"Smith, Tina",MN,0,Sen,MN0,Smith,,,,,-1
"Collins, Susan M.",ME,0,Sen,ME0,Collins,,,,,-1
"Murkowski, Lisa",AK,0,Sen,AK0,Murkowski,,,,,-1
"Cochran, Thad",MS,0,Sen,MS0,Cochran,,,,,-1
"McConnell, Mitch",KY,0,Sen,KY0,McConnell,,,,,-1
"Sessions, Jeff",AL,0,Sen,AL0,Sessions,,,,,-1
"King, Angus S., Jr.",ME,0,Sen,ME0,King,,,,,-1
"Shelby, Richard C.",AL,0,Sen,AL0,Shelby,,,,,-1
"Hirono, Mazie K.",HI,0,Sen,HI0,Hirono,,,,,-1
"Sanders, Bernard",VT,0,Sen,VT0,Sanders,,,,,-1
"Schumer, Charles E.",NY,0,Sen,NY0,Schumer,,,,,-1
"Cortez Masto, Catherine",NV,0,Sen,NV0,Cortez Masto,,,,,-1
"Donnelly, Joe",IN,0,Sen,IN0,Donnelly,,,,,-1
"Alexander, Lamar",TN,0,Sen,TN0,Alexander,,,,,-1
"Corker, Bob",TN,0,Sen,TN0,Corker,,,,,-1
"Reed, Jack",RI,0,Sen,RI0,Reed,,,,,-1
"Graham, Lindsey",SC,0,Sen,SC0,Graham,,,,,-1
"Hoeven, John",ND,0,Sen,ND0,Hoeven,,,,,-1
