_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_00-56-15,hr,3501,116,PARSED,Safeguard our Elections and Combat Unlawful Interference in Our Democracy Act,"To expose and deter unlawful and subversive foreign interference in elections for Federal office, and for other purposes.",False,False,2019-06-26,Government Operations and Politics,E000179,Eliot L. Engel,D,35,35,0,0
2021-02-26_00-56-16,hr,3502,116,PARSED,Protecting People From Surprise Medical Bills Act,"To amend the Public Health Service Act and title XI of the Social Security Act to protect health care consumers from surprise billing practices, and for other purposes.",False,False,2019-06-26,Health,R000599,Raul Ruiz,D,110,49,61,0
2021-02-26_00-56-18,hr,3503,116,PARSED,Passport Assistance for Disadvantaged Students Act of 2019,To direct the Secretary of Education to carry out a pilot program to make grants to institutions of higher education to pay the costs of obtaining a United States passport necessary for certain students to participate in a study abroad program.,False,False,2019-06-26,Education,J000126,Eddie Bernice Johnson,D,10,9,1,0
2021-02-26_00-56-19,hr,3504,116,PARSED,Ryan Kules and Paul Benne Specially Adaptive Housing Improvement Act of 2019,"To amend title 38, United States Code, to provide for improvements to the specially adapted housing program of the Department of Veterans Affairs, and for other purposes.",True,True,2019-06-26,Armed Forces and National Security,B001257,Gus Bilirakis,R,2,1,1,0
2021-02-26_00-56-19,hr,3505,116,PARSED,"To amend title 10, United States Code, to authorize the Secretary of Defense to access and inspect privatized military housing units, and for other purposes.","To amend title 10, United States Code, to authorize the Secretary of Defense to access and inspect privatized military housing units, and for other purposes.",False,False,2019-06-26,Armed Forces and National Security,B001304,Anthony Brown,D,0,0,0,0
2021-02-26_00-56-20,hr,3506,116,PARSED,"To ensure that the percentage increase in rates of basic pay for prevailing wage employees shall be equal to the percentage increase received by other Federal employees in the same pay locality, and for other purposes.","To ensure that the percentage increase in rates of basic pay for prevailing wage employees shall be equal to the percentage increase received by other Federal employees in the same pay locality, and for other purposes.",False,False,2019-06-26,Government Operations and Politics,C001090,Matt Cartwright,D,0,0,0,0
2021-02-26_00-56-20,hr,3507,116,PARSED,Julia Carson Responsible Fatherhood and Healthy Families Act of 2019,"To amend title IV of the Social Security Act to ensure funding for grants to promote responsible fatherhood and strengthen low-income families, and for other purposes.",False,False,2019-06-26,Social Welfare,D000096,Danny K. Davis,D,1,1,0,0
2021-02-26_00-56-21,hr,3508,116,PARSED,South China Sea and East China Sea Sanctions Act of 2019,"To impose sanctions with respect to the People's Republic of China in relation to activities in the South China Sea and the East China Sea, and for other purposes.",False,False,2019-06-26,International Affairs,G000579,Mike Gallagher,R,2,1,1,0
2021-02-26_00-56-21,hr,3509,116,PARSED,LGBTQ Data Inclusion Act,"To improve Federal population surveys by requiring the collection of voluntary, self-disclosed information on sexual orientation and gender identity in certain surveys, and for other purposes.",False,False,2019-06-26,Government Operations and Politics,G000551,Raúl M. Grijalva,D,148,148,0,0
2021-02-26_00-56-25,hr,3510,116,PARSED,Water Resources Research Amendments Act,To amend the Water Resources Research Act of 1984 to reauthorize grants for and require applied water supply research regarding the water resources research and technology institutes established under that Act.,False,False,2019-06-26,Water Resources Development,H001090,Josh Harder,D,24,15,9,0
